ID	LCS_501	LCS_502	LCS_503	LCS_504	LCS_505	LCS_506	LCS_507	LCS_508	LCS_509	LCS_510	LCS_511	LCS_512	LCS_513	LCS_514	LCS_515	LCS_516	LCS_517	LCS_518	LCS_519	LCS_520	LCS_524	LCS_525	LCS_527	LCS_528	LCS_529	LCS_530	LCS_536	LCS_537	LCS_539	LCS_540	LCS_541	LCS_542	LCS_543	LCS_544	LCS_545	LCS_546	LCS_547	LCS_548	LCS_549	LCS_550	LCS_551	LCS_552	LCS_553	LCS_557	LCS_558	LCS_559	LCS_560	LCS_562	LCS_563	LCS_564	LCS_565	LCS_566	LCS_567	LCS_584
MG(0:0 or 16:0 or 0:0)	21.6567	22.2011	20.8564	21.7029	22.3532	12.7326	18.3647	19.3579	21.7158	22.528	22.103	23.0678	20.9064	18.7564	21.6589	21.8677	12.7326	19.6937	12.7326	20.9439	23.587	19.9764	22.4312	20.3017	21.7757	20.6838	21.3517	20.0364	20.927	16.2962	21.5316	21.1414	22.0562	21.4383	22.8951	19.4864	22.3668	22.373	21.1942	20.0785	23.0408	22.073	21.396	20.2542	21.4674	21.5388	21.8025	22.1696	12.7326	20.7823	21.1942	21.6458	20.8062	12.7326
2-Ethylhydracrylic acid	17.2325	12.7307	12.7307	17.5113	12.7307	17.5851	18.1789	12.7307	19.1884	12.7307	16.3259	16.7715	16.8406	12.7307	17.2292	12.7307	12.7307	18.0861	17.0811	16.556	17.6325	18.8103	17.7187	12.7307	17.9976	17.399	12.7307	17.9451	17.5085	12.7307	16.2592	17.4983	12.7307	12.7307	17.4648	16.7678	17.9127	17.8924	17.6648	16.5977	17.001	17.1117	15.9847	12.7307	18.0053	12.7307	12.7307	17.501	18.1665	12.7307	12.7307	17.6313	17.771	12.7307
3-Methylglutarylcarnitine	17.0346	19.7494	27.4685	22.5848	22.7272	14.1102	20.7409	14.1102	17.296	22.9044	16.9591	23.1205	21.9028	20.5271	22.4405	24.9677	23.8883	22.7213	17.802	23.6074	23.6452	23.3135	23.8419	14.9751	23.4252	20.8228	14.1102	20.0052	23.188	18.0537	24.0844	19.6377	22.5848	25.1451	22.288	17.0242	22.1427	20.8847	21.3437	21.2744	21.0239	14.1102	23.8761	14.1102	24.191	22.5848	23.4898	20.5388	24.4561	21.37	20.925	25.2764	22.8116	14.1102
3-Methylhistidine	14.8906	16.1359	12.9735	19.2672	18.7721	18.3278	18.0437	17.6341	12.9735	16.2574	12.9735	12.9735	16.7833	16.8512	18.1233	12.9735	17.0115	17.4454	18.5951	16.8978	17.0787	12.9735	20.5006	20.1546	16.641	19.2228	12.9735	12.9735	19.465	17.0707	16.8251	14.4815	16.5101	19.2847	15.4532	18.7743	17.2865	16.1537	18.5501	18.8743	17.3327	17.7838	16.9716	16.1942	16.403	20.2581	12.9735	17.6058	18.5362	17.3799	16.3447	18.2851	17.7952	17.6732
Ureidopropionic acid	20.5784	20.067	21.1946	21.3344	18.5071	20.3831	16.243	21.745	21.0878	18.4279	23.3866	15.6044	13.7304	13.7304	17.8262	17.0076	13.7304	21.1572	18.8574	17.8507	16.0514	16.9625	13.7304	19.3653	18.0349	19.366	21.8639	17.3548	17.3548	13.7304	19.3305	19.1266	13.7304	13.7304	17.9239	21.7346	16.3149	16.7676	13.7304	18.1466	18.2046	16.9331	19.7921	13.7304	17.5224	22.9778	13.7304	16.4146	16.8803	13.7304	21.3742	16.7928	18.6749	20.151
Acetaminophen	17.4508	12.4617	18.9336	11.7181	14.6792	11.7181	17.4312	17.9311	18.6879	11.7181	17.281	11.7181	11.7181	14.7109	15.9722	18.2267	11.7181	11.7181	11.7181	19.8682	16.9495	11.7181	13.616	11.7181	11.7181	11.7181	11.7181	18.7135	11.7181	21.2792	11.7181	11.7181	11.7181	24.7101	19.8522	16.6043	17.7373	11.7181	16.6135	11.7181	24.1302	18.3735	11.7181	29.03	11.7181	11.7181	11.7181	16.3309	16.2027	11.7181	11.7181	18.5183	19.0087	18.9855
5-Androstenediol	17.0477	15.5361	11.4818	18.8679	15.9077	18.9475	15.106	14.1029	15.5685	17.6524	13.51	17.5552	11.4818	15.2141	17.9748	16.8913	15.4116	17.4189	14.1538	15.5057	16.8816	15.8905	19.2777	17.8316	21.6008	17.1743	11.4818	16.3098	11.4818	11.4818	11.4818	19.3751	13.2866	18.591	11.4818	13.5097	16.99	12.9645	15.64	17.076	11.4818	11.4818	11.4818	15.2111	17.2192	11.4818	17.7999	14.5664	17.2503	11.4818	15.9623	11.4818	15.8507	18.5287
4-Hydroxybutyric acid	16.6097	16.7172	16.4299	17.8095	14.0694	14.0694	14.0694	17.9905	14.0694	18.5145	15.799	17.1706	18.5177	20.7709	16.8112	18.0566	16.1251	19.8629	14.0694	17.4785	16.8855	14.0694	14.0694	17.9671	17.8418	14.0694	18.8067	16.899	14.0694	14.0694	14.0694	17.5164	14.0694	14.0694	14.0694	17.883	16.8725	14.0694	17.7535	17.3596	17.9489	14.0694	17.8236	18.0352	19.3717	17.8434	18.7639	17.8434	14.0694	16.4721	14.0694	14.0694	14.0694	20.4813
4-Hydroxyhippuric acid	12.3974	12.3974	12.3974	17.6734	15.9348	18.2378	12.3974	14.0474	15.1263	17.5046	12.3974	12.3974	12.3974	17.5018	15.7641	15.9818	13.0185	15.3204	14.0129	16.3303	20.0456	16.7255	16.831	16.6212	17.8758	14.1971	16.5887	13.8702	17.0295	17.4034	12.3974	17.3957	18.6492	16.8121	20.2422	17.349	15.4692	16.2999	17.7798	18.9877	18.0644	15.7777	15.7279	16.115	17.3415	15.795	17.3467	19.433	17.4617	12.3974	12.3974	16.1672	13.3334	13.7804
Dihydrothymine	20.5988	19.3799	12.8929	14.7091	16.413	19.6032	12.8929	21.2029	19.9118	16.71	19.9041	12.8929	20.2677	12.8929	16.1172	12.8929	12.8929	18.1687	17.9135	19.8133	19.0395	12.8929	12.8929	12.8929	12.8929	18.6901	19.3793	17.1992	12.8929	19.2655	17.0495	20.4969	12.8929	12.8929	15.2162	21.2397	20.9319	13.9197	12.8929	15.2186	12.8929	17.6246	12.8929	19.6692	12.8929	21.2715	12.8929	15.2289	12.8929	12.8929	19.6754	12.8929	19.2144	22.3019
Ribothymidine	15.3844	15.2225	10.3509	13.4997	10.3509	10.3509	10.3509	10.3509	10.3509	16.3164	13.8567	15.3168	15.6473	10.3509	13.7089	14.1756	12.528	14.8111	10.3509	15.6473	14.2934	10.3509	13.9586	14.1766	15.0395	17.1559	10.3509	15.2563	10.3509	15.6076	10.3509	13.8491	10.3509	11.3208	15.6473	10.3509	16.3432	14.3559	10.3509	14.6964	12.2342	16.1848	10.3509	15.3676	10.3509	10.3509	14.2278	10.3509	10.3509	10.3509	10.3509	10.3509	10.3509	10.3509
6-Phosphogluconic acid	21.5032	22.3594	20.9724	21.7919	20.3841	20.7793	22.465	20.4312	20.9064	18.8849	19.9466	19.1888	18.8357	16.5187	22.2153	19.0332	21.4428	16.8099	16.6274	21.6608	17.0405	17.8497	19.3328	15.3726	18.7681	16.9527	18.2038	20.9013	17.3423	17.5688	19.7025	17.4977	18.8508	20.6048	16.0199	20.0328	18.6367	20.6393	18.8063	20.0005	19.8577	20.3987	21.5286	12.5418	19.678	21.4887	18.0404	16.747	18.5201	21.7847	20.7188	19.9847	19.9581	18.0926
7alpha-Hydroxy-3-oxo-4-cholestenoate	15.9848	16.5176	12.6131	12.6131	12.6131	12.6131	12.6131	12.6131	18.5906	16.8652	12.9493	12.6131	12.6131	12.6131	12.6131	12.6131	12.6131	16.2995	12.6131	12.6131	12.6131	12.6131	12.6131	16.8967	17.4705	12.6131	16.0915	12.6131	12.6131	17.3049	12.6131	21.8366	12.6131	12.6131	14.9893	12.6131	18.1648	12.6131	12.6131	12.6131	12.6131	13.8773	12.6131	12.6131	12.6131	12.6131	12.6131	12.6131	12.6131	12.6131	12.6131	12.6131	12.6131	12.6131
Acetylcholine	9.95565	9.95565	15.6478	19.5781	18.7668	17.3884	17.3461	19.9499	21.7558	18.3294	19.6465	19.3485	18.3496	18.8125	17.1666	18.4706	16.7855	17.1699	17.6737	20.3747	17.3361	18.5421	17.4243	9.95565	16.0585	18.0101	9.95565	9.95565	9.95565	9.95565	9.95565	15.7745	15.9859	19.8357	9.95565	18.1176	19.3182	9.95565	14.898	18.954	19.356	19.7235	18.2488	18.3307	18.5644	9.95565	18.8431	18.113	19.7603	9.95565	17.4966	18.6664	9.95565	9.95565
3'-AMP	18.2263	18.36	14.3547	19.3811	18.8574	17.279	16.2932	14.3547	17.9898	20.3893	17.3593	19.0416	20.6586	17.6441	18.2611	18.5028	14.3547	20.9381	18.0233	17.3312	18.7319	18.1039	14.3547	17.1779	21.1946	16.9818	18.2332	17.6694	18.2773	17.4126	17.3775	20.9107	21.1986	18.0141	18.9068	14.3547	19.9687	19.1879	19.0446	19.4179	17.2003	20.0655	14.3547	17.072	19.1653	19.8283	14.3547	20.1574	17.6032	14.3547	17.9561	19.4241	16.7726	14.9726
ADP	21.7825	21.7461	20.7021	23.3616	21.3069	20.1648	19.9908	18.9109	19.5228	19.0437	19.7952	17.2504	17.7645	18.9684	22.2958	19.0375	20.4755	17.3087	20.3649	21.7409	19.5537	16.4594	21.742	20.3212	17.2911	16.289	19.0282	20.4143	21.5152	11.6096	18.4656	11.6096	20.3154	20.2929	20.3338	21.2427	20.6615	19.4476	17.9664	21.7674	11.6096	21.0956	22.3511	19.8844	19.2552	20.4462	19.8126	11.6096	19.4333	22.2574	21.8852	20.3919	20.6876	19.6866
Adenylsuccinic acid	18.8451	18.1373	16.4098	19.0999	16.0743	15.7234	17.8484	15.4751	13.5068	18.0874	15.5194	14.7044	11.3365	15.3463	20.9106	15.2252	17.8059	11.3365	15.3902	19.5545	14.0236	16.0202	19.7922	18.0813	15.7404	11.3365	11.3365	19.0251	18.3308	11.3365	17.8679	11.3365	17.3735	16.3116	16.9369	15.1772	17.1987	17.8631	11.3365	19.3465	18.1697	15.7313	17.799	11.3365	17.8315	17.7899	13.0957	11.3365	17.2443	16.8791	19.5719	16.1348	17.1294	15.5409
Adipic acid	18.7679	14.7805	19.6752	14.7805	17.7182	14.7805	18.4457	18.2754	18.8332	19.3005	16.994	19.598	14.7805	20.6224	20.2013	20.1786	18.1989	19.7942	17.9308	19.2541	19.9163	20.3444	14.7805	14.7805	19.2843	14.7805	14.7805	20.0191	19.155	18.8043	19.9168	14.7805	14.7805	19.5766	20.3607	21.3278	19.0221	19.9505	14.7805	18.6777	14.7805	19.2843	14.7805	14.7805	18.9313	20.3225	20.8125	19.6986	19.4443	14.7805	14.7805	20.2148	14.7805	17.7141
Allantoin	12.7682	12.7682	17.7036	17.032	12.7682	16.2455	16.5487	12.7682	12.7682	16.8612	12.7682	12.7682	12.7682	12.7682	15.9003	12.7682	12.7682	12.7682	15.726	12.7682	12.7682	17.3575	17.901	12.7682	17.4512	12.7682	12.7682	12.7682	18.0471	12.7682	12.7682	17.4515	18.3792	12.7682	16.0537	12.7682	17.2175	12.7682	12.7682	12.7682	12.7682	15.7047	16.6638	12.7682	17.1224	12.7682	12.7682	16.3249	16.7368	16.4661	12.7682	16.2819	12.7682	12.7682
Leucinic acid	16.5419	12.9798	17.0259	17.8189	12.9798	17.8065	16.2545	21.109	12.9798	16.7343	12.9798	17.8571	12.9798	16.1619	12.9798	18.3236	12.9798	17.6096	17.788	16.6839	15.3918	14.3786	17.3301	17.7922	19.0441	16.3387	15.4297	16.3345	16.678	19.018	16.8122	16.479	15.03	15.8618	14.5151	16.0764	15.7915	15.7758	16.7775	16.1812	12.9798	12.9798	14.5433	16.7145	17.3114	18.1245	16.071	16.6243	15.2374	15.5455	16.2625	12.9798	17.0801	20.8808
Caffeine	22.06	22.6863	24.9367	17.55	14.4206	18.182	16.8734	19.0417	16.8744	18.4992	14.4206	17.7355	19.5491	15.153	14.4206	16.9501	23.1658	17.8198	17.9892	20.0771	17.6378	18.1336	22.3486	17.4158	17.2254	16.2107	16.8286	17.6289	18.3994	18.903	18.4813	17.5672	22.5787	21.1779	16.5886	16.9809	19.7299	14.4206	17.2158	16.2471	18.9931	17.6829	20.9517	17.0194	21.8977	16.5192	14.9164	20.6695	18.3792	16.1488	20.0094	16.4211	15.3421	18.812
Carnosine	13.8413	12.0423	13.5672	15.5816	12.0423	15.01	14.4183	12.0423	12.0423	12.0423	17.019	12.0423	19.4163	12.0423	15.3447	14.0495	12.0423	12.0423	13.6724	12.0423	12.0423	12.0423	18.1757	17.1522	12.0423	16.7176	15.0567	12.1696	13.3651	12.0423	12.0423	12.0423	12.0423	13.0288	16.2743	14.5834	12.0423	12.8366	16.9895	12.0423	15.3447	17.2044	12.384	14.1315	12.0423	15.1676	12.0423	15.3243	12.0423	12.3953	15.5737	14.5713	14.6092	12.0423
Chenodeoxycholic acid	14.1667	14.2338	17.6545	10.6935	13.74	13.265	15.8982	15.0436	17.8936	18.1769	10.6935	18.0461	15.8465	18.1558	10.6935	16.5148	16.589	10.6935	15.6788	13.9858	16.177	16.5768	17.8356	10.6935	18.7538	17.9897	10.6935	10.6935	16.9369	15.6556	10.6935	19.5423	10.6935	17.1627	11.8222	15.7206	16.705	14.8207	19.4847	17.1929	10.6935	17.3414	10.6935	10.6935	17.4519	10.6935	13.9983	17.2336	16.4594	10.6935	10.6935	16.2294	14.8204	10.6935
Cholic acid	11.7603	11.7603	11.7603	15.6033	11.7603	11.7603	14.4253	11.7603	16.2102	17.8962	13.8108	17.9392	18.17	21.6228	11.7603	16.9566	18.6557	11.7603	11.7603	11.7603	16.5995	20.3354	14.2582	11.7603	14.7561	18.1902	11.7603	11.7603	11.7603	13.6862	11.7603	17.6303	11.7603	19.1687	11.7603	11.7603	14.5635	11.7603	11.7603	17.0762	11.7603	16.9808	11.7603	11.7603	19.1371	11.7603	11.7603	16.5384	16.2102	15.917	11.7603	11.7603	11.7603	11.7603
Cortisone	12.9638	17.757	12.9638	12.9638	12.9638	15.916	12.9638	12.9638	18.3518	17.9559	17.8062	12.9638	12.9638	12.9638	17.7041	12.9638	18.3016	17.9948	18.0821	18.467	12.9638	12.9638	12.9638	14.4027	12.9638	12.9638	17.8173	18.3601	12.9638	12.9638	12.9638	18.5389	12.9638	12.9638	18.0704	12.9638	18.532	16.9512	12.9638	12.9638	12.9638	17.6963	12.9638	20.135	12.9638	16.1314	12.9638	16.8487	12.9638	17.0607	12.9638	12.9638	18.113	12.9638
Cysteinylglycine	21.299	22.0038	17.6922	20.2619	21.4164	20.3006	20.7037	27.533	21.868	23.3211	19.7311	21.758	19.9128	21.1104	21.7078	17.0204	22.3897	21.2143	21.8431	18.2108	22.2177	22.5889	21.8998	20.111	20.3815	20.199	21.7527	21.1211	23.3458	22.7354	24.2959	12.7908	22.3078	19.3588	23.3207	23.0044	21.2512	23.1121	22.7271	20.805	21.3856	20.9564	21.9877	21.2686	22.5587	23.1646	21.8846	20.2676	21.6374	20.1773	20.524	21.629	17.9976	22.7106
L-Cystine	14.5715	14.5715	17.9969	20.6134	21.7973	14.5715	14.5715	16.9397	21.6126	20.0498	22.1881	17.6555	23.6977	14.5715	14.5715	14.5715	14.5715	22.2368	21.7719	14.5715	20.4088	16.7607	20.3781	19.6516	22.8347	23.8931	21.7549	21.938	16.8222	24.526	23.0936	23.0046	20.7955	21.3204	24.5261	21.2402	24.5357	19.3175	22.7311	18.3216	16.9314	24.1124	22.6394	24.088	18.9053	22.0915	22.8876	22.7111	20.3143	14.5715	19.9756	22.6794	21.8676	18.3639
L-Dihydroorotic acid	15.1518	15.1518	15.1518	15.1518	15.1518	18.5128	18.2664	15.1518	18.5986	15.1518	15.1518	15.1518	17.3566	15.1518	15.1518	15.1518	15.1518	15.1518	21.674	18.9128	15.1518	15.1518	15.1518	15.1518	15.1518	19.1219	15.1518	15.1518	15.1518	19.2342	15.1518	18.1069	15.1518	15.1518	15.1518	15.1518	15.1518	15.1518	15.1518	15.1518	15.1518	15.1518	19.843	15.1518	15.1518	15.1518	15.1518	15.1518	15.1518	15.1518	23.8126	15.1518	15.1518	19.4028
Docosatrienoic acid	18.7658	17.9577	13.5028	17.6721	13.5028	17.1807	13.5028	18.0047	17.4799	16.7079	13.5028	18.7477	13.5028	13.5028	15.2155	13.5028	13.5028	13.5028	13.5028	16.9686	13.5028	13.5028	17.1134	13.5028	16.6813	13.5028	19.0875	16.871	13.5028	13.5028	13.5028	23.7555	13.5028	13.5028	16.5403	13.5028	18.4703	16.7805	13.5028	17.3877	16.8317	19.0215	13.5028	18.4899	15.1677	13.5028	16.2613	18.3245	13.5028	16.5439	18.4461	17.2839	18.5062	18.9996
Fructose 6-phosphate	20.4078	22.0624	20.0797	19.8227	19.3734	13.4427	21.9226	20.7418	22.8843	17.1277	19.1953	22.2839	21.7975	22.6722	18.8771	19.9997	19.1977	15.2017	13.4427	19.2011	20.1781	18.7185	19.0967	13.4427	16.5754	13.4427	22.0908	13.4427	22.0727	13.4427	19.8499	13.4427	20.4428	20.13	19.2878	18.6016	18.7096	18.9064	21.8153	20.5563	21.9475	19.8461	17.8689	13.4427	20.4301	22.3142	18.9002	19.5265	13.4427	21.5954	18.3791	18.8175	17.5665	16.4076
epsilon-(gamma-Glutamyl)lysine	20.4464	18.8671	17.3605	21.4274	15.0674	21.3913	19.9718	19.2502	19.7222	20.8759	22.0422	20.0849	21.4294	17.4703	20.0647	15.0674	16.664	21.0845	18.4143	22.5327	19.772	20.6365	20.2676	23.0139	15.0674	15.0674	18.2184	23.4272	15.0674	19.0506	16.8149	22.7037	18.2251	19.5902	17.4281	16.0173	15.0674	15.0674	19.8783	17.3675	20.7505	17.6134	18.6338	20.5995	17.5458	19.0261	15.0674	21.6961	15.0674	15.7484	19.3965	19.7604	22.2139	19.5048
gamma-Glutamyltryptophan	17.5674	16.447	13.1491	13.1491	16.0453	13.1491	13.1491	17.4849	16.6658	17.9905	17.5909	13.1491	15.3725	13.1491	19.0854	13.1491	13.1491	16.1993	18.6187	13.1491	16.5285	13.1491	17.898	19.0314	13.1491	18.1516	13.1491	18.214	13.1491	17.5803	17.2333	15.8361	15.777	13.1491	19.4108	19.419	18.6557	18.3585	17.2468	17.9047	13.6407	13.1491	19.9112	20.1717	14.7979	17.7014	14.2542	13.1491	13.1491	13.1491	19.6388	17.1483	16.8617	16.8332
gamma-Glutamyltyrosine	14.1564	14.1564	14.1564	18.1368	16.5291	15.9951	14.1564	19.4195	14.1564	15.1745	16.7161	14.1564	14.1564	14.1564	18.6216	14.1564	14.1564	14.1564	19.2243	14.1564	16.0258	14.1564	18.4893	19.6523	16.253	17.9611	14.1564	20.1897	14.1564	20.0627	19.2758	16.8578	16.2996	17.9155	19.7057	14.1564	19.411	15.703	17.8711	16.8374	17.3727	18.9137	19.7327	20.3728	14.1564	19.595	14.1564	14.1564	14.1564	14.1564	17.122	18.3177	16.1732	18.1066
Gluconic acid	22.0874	23.2737	22.1785	21.8675	21.949	21.3454	22.3615	19.1956	23.3818	25.107	21.1791	21.6696	22.6571	22.9944	22.3985	21.6964	21.7012	23.3327	16.7982	22.8876	22.439	23.4921	22.3531	14.1904	21.8614	24.0057	22.5993	22.8149	22.7179	24.3386	21.5581	19.1713	14.1904	24.9423	22.4251	22.2034	20.1829	23.618	23.3126	22.153	21.2332	21.1056	22.1912	19.4177	22.7892	21.836	21.227	23.2702	21.7251	23.8272	14.1904	22.6954	22.3145	14.1904
Glucosamine 6-phosphate	21.504	21.7385	20.9553	20.0151	18.979	18.5763	20.9958	18.719	21.4414	13.86	19.1646	19.7994	20.0984	21.3007	19.8276	19.5605	18.9631	16.5023	13.86	19.7098	14.8727	17.8125	18.9147	13.86	18.1603	13.86	21.0284	16.6885	22.572	13.86	16.2476	13.86	20.8097	19.2397	13.86	19.957	13.86	19.4541	14.815	19.9331	13.86	18.7334	17.427	13.86	20.1848	20.2226	18.5967	18.4499	13.86	20.957	18.6212	18.9542	17.3921	13.86
D-Glucose	27.4319	27.4657	29.4666	27.6183	28.6191	28.191	30.0114	26.5178	27.0645	27.7959	22.5437	29.1437	26.5301	30.7553	30.2337	29.5489	29.4095	27.9891	22.4454	27.3127	30.0534	29.2063	29.7631	19.4594	26.4538	26.6274	27.6243	27.6172	29.1751	28.5545	26.7895	25.5773	29.2533	29.2427	29.395	26.433	27.5667	29.8069	28.8176	28.5959	29.1236	26.5394	28.5836	20.6176	29.947	27.289	30.1845	30.5916	28.3094	27.8018	28.6644	30.6641	28.469	22.3604
Glucose 6-phosphate	20.1681	20.4077	21.1107	20.0847	13.2685	13.2685	21.7914	18.626	20.4484	17.915	14.8123	17.7777	18.6634	19.6717	18.4507	19.7572	18.1402	13.2685	16.3456	18.8912	13.2685	17.714	18.9514	13.2685	13.2685	13.2685	20.4394	13.2685	22.8111	13.2685	13.2685	13.2685	19.5662	20.1845	13.2685	18.4456	13.2685	19.189	17.8359	19.9246	16.7927	13.2685	17.223	13.2685	20.4537	18.6658	17.3925	13.2685	13.2685	20.193	17.3014	13.2685	13.2685	13.2685
Glutathione	29.5573	27.9703	24.7882	28.4971	24.4621	26.6379	31.4638	30.0954	27.4517	29.8234	18.6159	27.8181	24.6119	28.4527	28.7081	28.6661	30.1426	29.5075	29.7594	26.8717	30.2907	28.2822	29.4535	27.0252	26.5797	24.7491	26.0497	26.6884	29.8821	27.1057	26.5946	16.4494	28.2274	29.7837	26.9742	28.4962	24.8641	29.121	27.2098	28.92	29.6368	21.686	26.07	23.4717	30.2952	27.6192	27.1869	25.4114	28.5179	26.5846	26.4929	26.5355	22.1954	27.9486
Chenodeoxycholic acid glycine conjugate	21.5584	23.0267	26.119	25.4054	20.7711	20.9979	26.7417	17.5397	20.0542	22.9196	21.2045	25.2497	22.4892	25.8186	24.1947	29.3284	24.0547	17.2987	21.7493	22.7834	23.7145	22.9542	26.4753	18.4536	27.1618	24.7467	18.5136	22.2373	28.231	21.1012	19.0386	28.2926	26.0266	23.9192	21.096	16.3993	23.9351	24.8477	25.3706	23.9063	22.8674	24.7145	22.3536	20.0521	24.2378	22.7614	22.0811	24.4657	22.6371	24.0887	23.9501	26.168	23.4737	19.628
Glycocholic acid	19.8917	21.1411	21.5911	24.006	19.5301	20.0651	25.0691	13.4112	20.9449	20.4657	20.3091	23.6068	22.4304	26.8122	22.5846	26.3278	24.0723	15.9133	23.514	21.7229	25.0231	24.5158	24.763	15.0016	23.7365	23.9247	16.2229	17.2145	22.9692	17.5637	17.4485	27.9105	26.2639	22.7027	18.8504	13.4112	23.4969	22.2705	21.3745	25.1313	22.8836	24.8273	20.017	20.2178	24.3594	22.0483	21.9939	24.8636	19.8054	24.6126	24.2032	24.7561	22.5906	15.5585
Deoxycholic acid glycine conjugate	20.7201	21.5105	12.3576	23.8234	12.3576	12.3576	23.2129	12.3576	19.2589	19.8732	16.8585	12.3576	12.3576	20.8469	16.9865	25.9826	22.4272	14.3993	18.7815	21.8552	12.3576	21.2974	22.3316	15.3471	23.5797	12.3576	12.3576	19.7071	12.3576	18.4565	12.3576	27.9421	24.2183	12.3576	16.9239	12.3576	21.712	24.306	20.0826	21.6695	17.6968	12.3576	12.3576	18.2535	12.3576	21.6386	19.9385	12.3576	20.3484	12.3576	22.5334	12.3576	21.1696	13.5765
Sulfolithocholylglycine	19.4247	18.6049	18.5971	23.0691	11.5255	11.5255	21.7151	15.2342	17.3304	17.2944	16.0036	18.8973	16.0534	18.0913	16.6624	19.7815	18.738	15.9884	16.0044	18.8463	18.0789	15.377	20.2154	17.5521	23.552	15.6333	11.5255	16.2629	19.576	16.767	13.7573	22.6649	19.1063	17.8412	19.0228	14.2509	20.5431	19.1815	18.6765	19.9017	11.5255	21.5918	16.9488	11.5255	16.0665	20.1456	18.6134	12.6733	17.0392	19.4367	18.6566	20.2752	18.8408	14.9032
Glycoursodeoxycholic acid	19.2786	19.0221	12.6202	18.6823	12.6202	16.0191	20.6906	12.6202	16.3432	16.4165	14.0997	19.5911	15.5377	20.2762	19.232	22.414	18.3464	12.6202	16.4596	12.6202	16.1027	20.3368	19.7675	12.6202	20.8024	18.6055	12.6202	12.6202	18.4417	16.9314	12.6202	22.3092	19.9575	19.0236	12.6202	12.6202	20.8683	18.6967	18.1633	18.9723	20.9278	17.8668	16.7942	12.6202	21.6655	18.6659	17.5301	19.3322	16.4031	19.0765	20.3397	20.5257	12.6202	12.6202
Guanidoacetic acid	22.7777	22.3879	16.1198	24.3145	17.5191	21.4351	19.1191	16.1198	19.2709	16.1198	23.1753	22.1016	16.1198	24.4399	16.1198	23.2349	18.6802	21.5927	22.989	24.158	21.7568	21.1065	19.8382	21.6627	25.0452	24.1608	22.4014	22.4686	16.1198	20.7246	20.7873	23.4384	16.1198	20.947	16.1198	24.5933	16.1198	19.9552	19.4171	21.302	17.2259	16.1198	26.5819	16.1198	22.1611	22.0653	22.3125	18.3122	21.4158	16.1198	24.2132	16.1198	23.4659	25.963
Guanidinosuccinic acid	15.0672	15.0672	15.0672	19.7519	15.0672	20.114	20.1123	15.0672	15.0672	18.6124	15.0672	17.1498	15.0672	15.0672	23.0698	17.3478	15.0672	15.0672	15.0672	15.0672	15.0672	18.9825	15.0672	15.0672	19.4054	15.0672	16.3937	15.0672	15.0672	15.0672	15.0672	15.0672	22.0559	15.0672	21.5695	18.4986	18.7821	16.6143	21.1011	15.0672	15.0672	17.8894	22.5221	15.0672	20.2528	21.6497	21.3304	20.4906	15.0672	19.2591	20.7273	21.8043	19.5814	15.0672
Guanine	22.8248	21.2236	16.7683	18.8794	17.2746	20.28	17.8502	19.6752	15.4725	21.226	24.1817	17.2142	20.8374	15.6996	19.6681	16.1614	17.7733	18.7256	20.674	19.9645	19.4888	18.5931	18.81	25.0773	13.4475	21.0119	18.9336	20.9884	19.036	17.6494	18.8955	21.9392	18.0606	17.06	21.637	21.9758	20.2001	18.4521	19.7674	18.9157	19.4123	22.0804	20.2907	17.9543	18.1069	21.2186	17.9806	18.1587	17.0856	20.3227	20.024	19.406	17.4088	18.69
Heme	13.9349	17.8736	24.1294	18.0067	13.9349	13.9349	13.9349	13.9349	13.9349	13.9349	13.9349	13.9349	13.9349	13.9349	13.9349	13.9349	13.9349	21.9501	13.9349	13.9349	13.9349	13.9349	13.9349	18.8223	15.8968	13.9349	19.6402	19.6595	13.9349	13.9349	13.9349	19.0189	13.9349	13.9349	13.9349	13.9349	13.9349	13.9349	13.9349	17.2912	13.9349	13.9349	13.9349	13.9349	13.9349	13.9349	13.9349	13.9349	13.9349	17.8849	13.9349	13.9349	19.0431	13.9349
Histamine	23.9717	20.129	22.2872	27.2268	25.5724	26.2001	24.5024	21.5399	24.0826	24.9041	20.6136	15.1305	27.5477	15.1305	25.4574	20.3362	23.0101	19.0359	20.9022	21.8106	20.3108	23.7607	23.2936	22.522	24.1977	19.5006	25.8632	24.4122	23.0302	18.9257	21.7064	23.047	23.6049	22.4848	24.1977	23.9225	24.2044	27.1364	24.889	19.4536	25.9047	27.2599	23.6409	22.7036	25.134	25.8366	24.1028	24.0197	18.6334	19.5218	25.9631	26.2795	26.2035	23.0852
(S)-Homostachydrine	19.5116	21.1107	20.3121	21.6097	19.4943	16.9888	16.3009	19.9755	14.702	20.451	18.4884	17.4914	17.6795	19.0122	19.8905	19.0449	16.9511	20.3775	16.4312	16.9264	18.1166	18.4906	12.7669	10.8626	17.7526	15.3596	17.0359	18.5577	19.5891	19.5962	10.8626	16.2406	18.0582	19.7501	17.987	10.8626	22.2537	17.0158	16.5001	21.7082	20.9927	18.3997	22.6456	18.2439	18.9024	18.3449	10.8626	19.2335	17.354	18.6859	17.987	18.5582	17.9218	15.319
