ID	LCS_501	LCS_502	LCS_503	LCS_504	LCS_505	LCS_506	LCS_507	LCS_508	LCS_509	LCS_510	LCS_511	LCS_512	LCS_513	LCS_514	LCS_515	LCS_516	LCS_517	LCS_518	LCS_519	LCS_520	LCS_524	LCS_525	LCS_527	LCS_528	LCS_529	LCS_530	LCS_536	LCS_537	LCS_539	LCS_540	LCS_541	LCS_542	LCS_543	LCS_544	LCS_545	LCS_546	LCS_547	LCS_548	LCS_549	LCS_550	LCS_551	LCS_552	LCS_553	LCS_557	LCS_558	LCS_559	LCS_560	LCS_562	LCS_563	LCS_564	LCS_565	LCS_566	LCS_567	LCS_584
Phenylalanylalanine	21.1314	22.0924	15.1568	17.128	17.2481	18.6145	18.5715	20.0201	20.7462	20.3891	18.7409	21.3332	20.398	17.3556	14.1142	18.6976	16.3542	21.4924	18.1201	14.1142	20.7758	18.8694	17.7854	14.1142	19.2559	19.0393	19.7409	14.1142	20.2556	19.5563	18.5348	14.1142	16.5137	19.2839	19.0673	18.7409	17.8444	19.3181	19.3307	18.7424	18.8247	19.9222	14.1142	17.9021	14.1142	18.9528	18.5162	18.6242	17.7845	16.6662	18.7259	16.5758	19.9742	19.7885
Phenylpyruvic acid	16.0427	16.8556	15.9775	16.3214	11.4661	15.9768	16.6108	16.0231	16.9754	16.6137	11.4661	15.9954	16.6882	11.4661	11.4661	15.4993	15.7826	11.4661	16.6854	11.4661	11.4661	11.4661	14.6061	20.2574	16.2107	16.3828	17.3028	17.0427	15.784	15.3152	11.4661	17.5923	13.9792	15.6553	16.2775	15.4508	16.6091	11.4661	16.6852	11.4661	16.2544	17.117	16.0414	17.8558	11.4661	17.2264	14.2167	16.6071	11.4661	15.0397	16.1351	11.4661	16.5855	16.7854
Piperine	17.0842	16.8771	22.7034	19.4589	18.4148	20.691	21.4024	18.0489	13.8362	14.2728	13.8362	22.4422	17.8113	13.8362	19.6528	19.0168	16.3722	13.8362	17.8401	21.6486	18.9691	13.843	21.258	13.8362	16.9133	13.8362	19.0168	19.7425	18.8228	17.2866	18.6587	13.8362	18.0797	21.8904	17.3005	17.43	13.8362	22.1024	13.8362	20.3984	18.9586	18.7299	18.2871	19.3144	16.0146	19.0168	20.4124	20.6923	13.8362	13.8362	19.0743	18.7105	13.8362	18.9676
Pregnanediol	16.956	17.5251	15.3351	21.9488	15.1848	18.2348	17.1594	15.2713	17.9385	17.6702	11.5817	18.6609	11.5817	11.5817	16.558	18.2436	15.3314	15.8615	11.5817	17.904	17.3747	17.8768	19.9953	19.478	22.7249	16.6369	11.5817	16.091	17.3344	11.5817	11.5817	19.6308	11.5817	18.4268	11.5817	11.5817	17.9295	14.2198	16.8828	17.1246	11.5817	16.9042	11.5817	11.5817	18.3869	13.6296	15.8686	12.7394	16.921	11.5817	14.3128	11.5817	16.5417	15.4621
Pterin	13.247	13.247	13.247	18.205	16.5202	13.247	13.247	13.247	15.114	18.3858	13.247	16.6264	13.247	13.247	17.2863	13.247	19.0215	18.1501	16.8838	17.1387	18.7655	13.247	20.4932	18.8949	18.9679	13.247	13.247	14.4855	17.6115	15.8808	13.247	13.247	18.2006	20.1993	19.352	13.247	18.609	16.5178	16.2843	13.247	17.3994	13.247	17.7133	13.247	18.5731	13.247	16.1843	13.247	13.247	13.247	14.5909	13.6022	16.5775	13.247
Quinolinic acid	22.4254	16.8911	15.5133	20.8774	20.0264	19.1871	19.4471	18.1066	19.3421	15.5133	22.0966	15.5133	19.6382	15.5133	20.3242	15.5133	15.5133	19.3161	18.3723	21.5542	18.5748	17.9386	19.8384	23.1127	15.5133	15.5133	21.3652	23.9556	15.5133	16.9997	19.3213	20.7035	18.6934	15.5133	25.4501	15.5133	23.2832	18.231	17.7111	19.4201	24.2118	20.8869	20.8328	18.6127	15.5133	19.5191	15.5133	17.4697	15.5133	18.1429	23.4967	20.5879	20.2122	15.5133
Ranitidine	12.1315	12.1315	23.5255	20.4552	14.4307	29.4366	14.1078	21.7218	28.8713	12.1315	12.1315	14.774	20.2135	24.6716	12.1315	23.5253	12.1315	22.6852	14.4522	12.1315	12.1315	20.3443	12.1315	12.1315	18.9582	23.4458	12.1315	12.1315	13.5732	14.4822	19.3457	12.1315	12.1315	19.951	12.1315	21.9537	15.4282	12.1315	22.5723	12.1315	22.3242	22.9426	15.4883	21.2972	14.4077	22.2444	25.5712	18.3468	12.1315	12.1315	20.5151	12.1315	12.1315	20.0595
Stearoylcarnitine	19.5283	18.86	18.3593	17.386	11.7686	17.4125	16.7704	22.2224	18.6814	17.0315	17.9418	17.6615	19.2339	19.2562	18.7599	16.2938	19.7915	17.3654	17.8124	17.8051	17.7497	16.6371	15.0031	19.9229	11.7686	17.6768	17.2416	16.0276	17.0288	16.3219	16.229	18.5871	11.7686	13.7619	17.6785	17.0393	15.8601	18.7798	17.9328	20.1998	18.9275	19.3195	15.4828	17.0901	16.5112	18.4305	17.3368	17.1882	17.2256	11.7686	15.2353	17.2312	17.3179	19.4524
Taurochenodesoxycholic acid	22.2691	22.7676	24.2867	24.2122	21.7477	19.6131	25.0565	17.1207	18.206	23.8522	21.4742	24.2088	22.2063	20.9675	25.0669	27.8013	22.3493	20.9898	23.1849	21.8886	23.3441	20.481	27.1832	16.8332	27.7169	22.8656	17.6244	21.6021	26.1497	20.6879	21.268	26.5497	23.8113	23.3763	23.0373	16.5841	22.2864	26.4432	23.8037	23.3856	21.6072	24.9696	21.8331	15.7851	23.3224	22.1665	22.8244	23.1749	24.6688	21.6666	22.5059	24.1105	23.1972	17.3918
Taurocholic acid	19.9906	20.5186	20.7547	23.8604	19.0646	17.2839	24.2059	13.3126	16.1448	21.5571	20.572	22.9491	22.7567	21.8161	23.4722	26.2245	22.9581	17.4137	20.9736	20.6606	24.9072	22.1301	26.1822	13.3126	24.0144	21.1017	13.7069	17.1409	21.3519	15.4616	19.6189	26.2666	24.2875	23.3193	21.5159	13.3126	21.3462	24.1691	20.0971	24.753	21.4367	23.6552	19.9238	16.3097	24.4358	19.0019	22.0304	23.616	22.1886	22.4192	21.9497	21.4326	22.0429	13.3126
Taurodeoxycholic acid	12.0607	12.0607	12.0607	23.1056	12.0607	12.0607	21.1606	13.6251	15.9682	12.0607	12.0607	12.0607	12.0607	17.8658	12.0607	24.7569	20.5535	12.0607	12.0607	19.9903	12.0607	19.2255	12.0607	12.0607	12.0607	12.0607	12.0607	17.6756	12.0607	12.0607	12.0607	24.8807	21.471	12.0607	12.0607	12.0607	19.9974	23.5212	12.0607	20.3496	12.0607	12.0607	12.0607	12.0607	12.0607	12.0607	19.5657	12.0607	21.5498	12.0607	20.0891	12.0607	20.2769	12.0607
Taurolithocholic acid 3-sulfate	18.8348	18.5767	17.6289	21.1735	15.9633	11.9618	20.0887	16.4518	11.9618	16.697	14.4596	17.6091	18.1983	14.4235	15.3636	18.7154	13.8276	18.9758	16.7606	17.6485	14.7916	11.9618	20.7946	17.2902	22.8439	11.9618	11.9618	14.4041	17.6468	13.5428	17.2367	19.1796	17.5949	17.8366	20.8023	11.9618	20.5904	20.5095	17.1677	18.7684	15.1874	22.264	17.5197	11.9618	15.8734	19.0634	17.9158	11.9618	18.9257	17.5123	15.0997	17.5852	19.062	11.9618
Tauroursodeoxycholic acid	18.252	18.0835	12.3802	16.0353	12.3802	12.3802	18.3054	12.3802	12.3802	15.9381	12.3802	14.2507	12.3802	14.3872	15.9497	19.6029	14.9396	12.3802	14.7714	12.3802	14.6259	16.2732	19.1295	12.3802	18.5146	12.3802	12.3802	12.3802	15.0942	15.0707	12.3802	19.1825	16.8536	17.8575	12.3802	12.3802	16.4434	17.947	12.3802	17.228	18.3031	17.8481	17.1665	12.3802	18.7775	15.7428	17.1074	16.5823	17.6613	14.8523	16.7601	16.3692	12.3802	12.3802
Theobromine	21.5087	22.4308	22.451	22.0982	14.6904	21.4724	18.5392	21.7849	16.451	20.4994	13.705	21.8959	18.2322	13.705	19.3553	16.6428	20.1341	20.7216	20.7538	19.1117	17.3006	19.2881	19.8187	17.3838	21.0935	19.8414	13.705	14.8771	19.9302	18.8145	21.4231	21.9756	20.6238	22.594	16.0378	16.3218	20.6572	16.7377	19.4491	18.9766	23.84	16.4378	22.8138	20.0154	20.3361	15.5511	13.705	19.9713	16.0871	13.705	22.2916	20.5116	13.705	21.0163
Thymine	16.1162	15.1474	10.4605	16.7583	14.5121	14.4036	14.1533	15.8156	15.5144	15.0856	17.6692	16.5523	17.944	15.4665	13.0566	10.4605	14.4508	18.7979	16.139	16.0773	15.8776	10.4605	15.4864	15.2842	16.3079	18.4514	15.5892	16.1699	10.4605	18.9987	15.0569	15.8428	10.4605	15.8982	14.3276	15.6928	17.4201	14.7898	10.4605	15.2835	13.9298	17.4888	14.6292	17.7448	13.1782	14.0504	16.4608	14.606	10.4605	10.4605	12.9381	10.4605	17.174	16.2709
Thymol	15.6083	10.062	10.062	10.062	10.062	10.062	10.062	16.0112	10.062	13.8754	15.4222	10.062	10.062	10.062	15.8065	17.1627	10.062	10.062	10.062	15.3693	10.062	10.062	16.6162	18.1731	16.8018	10.062	17.8732	10.062	10.062	10.062	10.062	17.7411	16.3409	15.4906	10.062	15.4444	16.9838	15.7533	16.1134	17.1432	10.062	15.8781	10.062	10.062	10.062	10.062	10.062	10.062	10.062	10.062	15.034	10.062	15.3607	17.1781
Uridine diphosphate glucuronic acid	17.2966	18.3784	10.9936	13.4932	15.9465	13.3123	16.6946	10.9936	12.7372	15.9465	17.4948	14.8708	10.9936	10.9936	18.0683	10.9936	10.9936	10.9936	10.9936	17.3187	17.876	10.9936	15.9427	17.6765	10.9936	14.069	14.2337	18.9584	16.7316	10.9936	15.8309	10.9936	18.0805	14.7232	16.4783	17.1898	15.8334	10.9936	10.9936	16.8153	10.9936	15.9681	19.2137	17.0594	14.2011	16.149	15.5363	10.9936	13.5342	14.8957	16.4855	15.3496	16.7719	13.4362
Uridine 5'-diphosphate	18.6456	18.5672	16.9824	18.4569	18.6996	17.1441	18.1068	17.258	16.5865	16.5953	16.7893	14.3777	10.1111	10.1111	18.814	15.9404	16.8504	10.1111	14.8639	18.3131	18.0423	10.1111	18.0228	16.846	13.489	15.3224	10.1111	17.6329	17.1919	14.0183	15.3151	10.1111	16.5047	15.4201	17.7919	17.305	17.5244	17.7513	14.7215	18.7988	16.8595	16.9159	20.0745	16.2616	17.1775	17.8348	17.0143	10.1111	16.6512	18.0299	17.9384	17.4225	16.3404	16.0754
