ID	StromalScore_mic	ImmuneScore_mic	ESTIMATEScore_mic	TumorPurity_mic	SLCO1B3_RNA	SLC10A1_RNA	SLCO1A2_RNA	SLC7A9_RNA	ABCC3_RNA	SLC10A2_RNA	SLCO1B1_RNA	SLC51B_RNA	ABCC4_RNA	ABCC11_RNA	BAAT_RNA	SLC51A_RNA	ABCB11_RNA	SULT2A1_RNA	meta
LCS_501	-470.672697732706	2080.42831690595	1609.75561917325	0.666508648918248	10.1726502198871	7.88151082013435	3.26327741532742	6.39254358045881	8.21951065692241	3.23776748763301	8.61493609408568	5.41405358780549	6.83633456822081	4.7523529342921	9.03762233766838	5.72745880901503	5.59776049183288	6.20113211946226	19.8917
LCS_502	673.077446092575	3014.57890163221	3687.65634772478	0.411868810235354	5.7456639846149	8.39069216692309	3.09415481524961	6.48701884476944	8.70065828573848	3.47902556335984	9.65650182064599	5.25692083164458	6.17522041392318	4.93420715638767	10.4043239491836	6.13186647968455	6.87423544483866	8.73393726825711	21.1411
LCS_503	55.3353111621776	2519.74071297875	2575.07602414093	0.55454645047659	10.7693832251347	9.62059921008727	3.53344216141025	6.28832157557416	8.78968516312116	3.24612151375654	10.1380875739065	5.27129646067949	4.13181066610796	5.26859941401027	11.5748738655826	5.99461574767391	8.46112051003053	10.0503140210933	21.5911
LCS_504	-382.683021806808	2128.26656484136	1745.58354303455	0.651513464005902	10.6020352649821	8.72454226845305	3.11870155068163	6.11283856199526	8.05501709979477	3.32786679890711	9.55148017295857	5.50196970934703	4.55039377845002	5.11076659354957	11.7988236024917	6.07210877648353	8.81366229238157	10.0707962469543	24.006
LCS_505	-1042.7325046965	1740.562055554	697.829550857494	0.760040766057954	10.6015939815432	5.1994160375586	3.32462995885054	7.36521619552453	6.83566839108335	3.24835169709893	10.5968324502081	5.44238605594186	5.28240167587916	4.96153216016701	8.6879705862026	5.86024889907178	8.39661458313386	6.55059600538633	19.5301
LCS_506	31.9338250645928	2258.86726124236	2290.80108630695	0.588777932623808	8.39365779875081	5.90521931373222	3.15597314887293	7.0369326889572	8.95566735010655	3.0602178448656	9.10496559616081	5.31116148238432	7.50099781880523	4.97009493421897	9.75499670730138	5.92952651354353	5.98945996432249	8.18058525914609	20.0651
LCS_507	-76.5914269340714	1839.28608248695	1762.69465555288	0.649605932443747	10.3196661411092	10.9418234570012	3.40532251022338	6.81566569967007	8.93253466563499	2.98474301010122	10.6783699168535	5.3519009483601	6.60108260439134	4.72727467798753	11.1604925438088	6.86813628474116	9.97145415990742	9.7085333201285	25.0691
LCS_508	-2357.11879390502	7.43541463960941	-2349.68337926541	0.966369167370311	3.78453098280226	5.04764629386574	4.4722660328046	7.41309664579319	9.32397509536583	3.16468991671819	7.21638206010858	5.5479138954902	7.04100291346569	4.99152977250824	9.67723379457423	5.9685806837981	5.43580117869149	4.84772772607191	13.4112
LCS_509	432.421691219434	3470.01141456103	3902.43310578047	0.38294037764497	5.75319345508659	4.74255837201606	3.17611734004158	4.98841075485041	7.0994910499806	3.23174000026996	5.56600362065387	5.1033082162509	8.50560793765288	4.50378723048548	10.1637635828096	5.52262817352408	3.58840785905313	6.39525116416677	20.9449
LCS_510	-1933.48920743981	413.682760319663	-1519.80644712015	0.927959237567297	9.31549137236877	7.31976385867752	3.51975012315592	6.57254867837626	6.89153451173182	3.03829086278443	9.02289196807952	5.39394765544736	3.81793245597055	5.21191104273375	9.29276467529	5.82607833278192	6.43823476028101	8.55258362525113	20.4657
LCS_511	-747.168870623609	2837.62519011353	2090.45631948992	0.612290490488028	10.2877970227773	4.91447843906019	3.73461780685269	6.5098227061267	6.97769342341351	3.0633208079684	7.91481810607126	4.87347644968477	7.89933160751469	4.52315462673885	10.1699794917332	7.02714567480784	4.81238685805912	6.56152841564146	20.3091
