ID	StromalScore_mic	ImmuneScore_mic	ESTIMATEScore_mic	TumorPurity_mic	SLC22A6_RNA	QPRT_RNA	meta
LCS_501	-470.672697732706	2080.42831690595	1609.75561917325	0.666508648918248	5.30168090656918	8.80411671922462	22.4254
LCS_502	673.077446092575	3014.57890163221	3687.65634772478	0.411868810235354	5.65163398793962	8.32530382041838	16.8911
LCS_503	55.3353111621776	2519.74071297875	2575.07602414093	0.55454645047659	5.54933940261474	7.8890530762079	15.5133
LCS_504	-382.683021806808	2128.26656484136	1745.58354303455	0.651513464005902	5.79108194182597	7.89165720004435	20.8774
LCS_505	-1042.7325046965	1740.562055554	697.829550857494	0.760040766057954	5.73882801245308	8.2052930135295	20.0264
LCS_506	31.9338250645928	2258.86726124236	2290.80108630695	0.588777932623808	5.81291408640838	8.28909090760172	19.1871
LCS_507	-76.5914269340714	1839.28608248695	1762.69465555288	0.649605932443747	5.3080137373834	7.61551575500615	19.4471
LCS_508	-2357.11879390502	7.43541463960941	-2349.68337926541	0.966369167370311	5.67671137993127	8.31914245580637	18.1066
LCS_509	432.421691219434	3470.01141456103	3902.43310578047	0.38294037764497	5.22815952748645	7.59524056554484	19.3421
LCS_510	-1933.48920743981	413.682760319663	-1519.80644712015	0.927959237567297	5.79420476360839	8.44216384351687	15.5133
LCS_511	-747.168870623609	2837.62519011353	2090.45631948992	0.612290490488028	5.452572096629	8.26878272117925	22.0966
LCS_512	-1438.32455062577	1483.71956840484	45.3950177790673	0.818701290036842	5.78337536259173	8.60569448227366	15.5133
LCS_513	-1114.92092951233	1515.53941761458	400.618488102249	0.787660787287152	5.81226996730142	8.3119717307639	19.6382
LCS_514	-1843.02128116645	-95.5286535184085	-1938.54993468486	0.949099890773949	5.73013889212026	8.97220977040229	15.5133
LCS_515	-337.529136913069	1886.7433412681	1549.21420435503	0.673107311739951	5.50056272507592	8.02248020211104	20.3242
LCS_516	-1496.26422088716	391.706039614699	-1104.55818127246	0.903533688588042	5.71692328399578	8.3687583996723	15.5133
LCS_517	-814.740814285405	1942.36460270668	1127.62378842127	0.717556039365337	5.72588976977172	8.57048801338186	15.5133
LCS_518	-170.056475920447	2055.63108749102	1885.57461157057	0.635787728125185	5.40376389399893	8.29162377638957	19.3161
LCS_519	-448.069378761734	1557.41726553608	1109.34788677435	0.719421950979402	5.36076990704694	8.37504661748701	18.3723
LCS_520	-1536.51292492728	1996.73102208341	460.218097156136	0.782240663567048	5.7365779660021	8.66859944523908	21.5542
LCS_524	-129.243492455974	1304.92145980273	1175.67796734676	0.712625254396935	5.53526158118498	8.65584495428648	18.5748
LCS_525	-986.465069122892	1103.26123194575	116.796162822854	0.812638118520169	5.71657423015819	8.96762833061628	17.9386
LCS_527	-172.869873190638	2568.46854896596	2395.59867577532	0.576274704048085	5.50454720746574	8.65892409070483	19.8384
LCS_528	-253.908643110841	4462.34285362128	4208.43421051044	0.34107459294862	5.57567447127209	7.89347977134015	23.1127
LCS_529	-1683.00775373879	386.884725608618	-1296.12302813017	0.915224593848394	5.6132123935401	8.87978222576676	15.5133
LCS_530	-1722.81588282704	881.415951816198	-841.399931010843	0.886310772109038	5.52511967344298	8.22522494365108	15.5133
LCS_536	968.628452432619	3163.35025632939	4131.97870876201	0.351602712982951	5.24410415770817	7.30630913827906	21.3652
LCS_537	-374.365567996126	3921.32548775548	3546.95991975935	0.430599181892479	5.44437851630655	7.70150634303826	23.9556
LCS_539	-1246.96105932859	571.711710387345	-675.249348941243	0.874753991438372	5.6202340218566	8.40323025876666	15.5133
LCS_540	-1859.11538149709	558.007462080499	-1301.10791941659	0.915519192758418	5.58384385813206	8.86122301500908	16.9997
LCS_541	-684.751933731234	1991.14725788875	1306.39532415752	0.699033802923045	5.29948834882272	8.08696699807973	19.3213
LCS_542	-2140.00594716023	172.764791253783	-1967.24115590644	0.950418000052259	5.56631289813761	8.39967962398383	20.7035
LCS_543	-442.943505956796	1786.48705234122	1343.54354638442	0.695124102726048	5.62060579708478	8.7166818512375	18.6934
LCS_544	-1768.41777608032	665.595646369296	-1102.82212971103	0.903424459292441	5.47167393017962	8.36837143660374	15.5133
LCS_545	-894.493605390053	1580.18230191996	685.68869652991	0.761197725217868	5.47688482440283	8.01449327246407	25.4501
LCS_546	-256.696376528105	834.987144963546	578.290768435441	0.771326480861476	5.5961930341463	7.52424888668913	15.5133
LCS_547	-658.284389976838	1388.69922242498	730.414832448137	0.756923637762204	5.3012579184621	8.02236110064262	23.2832
LCS_548	279.772042887333	3052.18030474733	3331.95234763466	0.458864839837542	5.66037574816855	8.16998598439183	18.231
LCS_549	-679.27241256799	1344.65767212879	665.385259560799	0.763127131413909	5.79584717900842	8.5233461037264	17.7111
LCS_550	-926.21720202217	1097.997848259	171.780646236826	0.807908126279973	5.43457753597121	8.13125260142109	19.4201
LCS_551	885.332179694325	4283.1833521003	5168.51553179462	0.205653074782108	5.25031142291196	8.15116773577509	24.2118
LCS_552	448.518530435538	1988.03634297334	2436.55487340888	0.571351062178	5.425304588955	8.34505414504881	20.8869
LCS_553	-765.244071148196	1182.35506205567	417.110990907474	0.786166936955717	5.50197536723247	7.98994445454253	20.8328
LCS_557	-731.070028069615	2540.34282216622	1809.2727940966	0.644392717031367	5.33802698373236	7.11741063856403	18.6127
LCS_558	-735.535888804043	1261.00005828588	525.464169481838	0.776238406216948	5.53344123836617	8.61766775598239	15.5133
LCS_559	-732.541401862142	2120.11861844145	1387.57721657931	0.690462975667497	5.46259442275352	8.54484142718768	19.5191
