ID	StromalScore_mic	ImmuneScore_mic	ESTIMATEScore_mic	TumorPurity_mic	UGT1A1_RNA	UGT2B4_RNA	UGT2B28_RNA	SLC35D1_RNA	UGT2B11_RNA	UGT2B17_RNA	UGT2B10_RNA	UGT3A1_RNA	UGT2B7_RNA	UGT2A3_RNA	UGT3A2_RNA	UGT2B15_RNA	UGDH_RNA	EXT2_RNA	UXS1_RNA	CHPF2_RNA	ALG5_RNA	HAS3_RNA	CHPF_RNA	CSGALNACT2_RNA	CHSY1_RNA	EXT1_RNA	B3GAT2_RNA	B3GAT3_RNA	CSGALNACT1_RNA	HAS2_RNA	CHSY3_RNA	HAS1_RNA	B3GAT1_RNA	Uridine 5'-diphosphate_upmeta	meta
LCS_501	-470.672697732706	2080.42831690595	1609.75561917325	0.666508648918248	7.6396517653696	9.20166654140981	5.19745564378536	7.71498500585254	5.5130458699833	6.43299410979297	8.25782670710919	4.44743208993888	8.04990419345032	6.65997238827114	3.65430170566672	7.99202848594897	9.20668493178514	7.39315448402907	6.53861313913871	6.21055903671721	5.38636181741679	5.70155397050969	5.96807238355555	7.5372384749652	6.88662914485294	8.160800499243	4.56130264893145	6.29914291923809	5.29296104629801	4.33953089292016	4.65419995004449	5.32397724699511	5.3966505209365	18.6456	17.2966
LCS_502	673.077446092575	3014.57890163221	3687.65634772478	0.411868810235354	9.01458580975572	10.78028312333	6.23972553271378	7.82300989370304	6.49403063365929	9.05436882856727	9.83547623446902	5.36096541259092	9.19730756436	7.13065701047238	3.64735439916421	10.8438600828856	10.5872198244473	7.02229197661765	5.9533570525234	6.2097487262079	5.16945393751856	5.91922162503982	6.00472272689025	7.20309363515531	6.88865072212981	9.56904026017399	4.715717521156	6.31438939347669	5.76410109644189	4.44928313218097	5.17254667096657	5.97541350777121	5.79334816865742	18.5672	18.3784
LCS_503	55.3353111621776	2519.74071297875	2575.07602414093	0.55454645047659	9.50835264394393	11.1202746139781	6.78260449758889	8.7604287936292	6.36198404822856	9.09112181726831	10.4124240543689	6.53033293502241	10.5209439924542	5.33939079273089	3.70537475861539	10.9482594408235	10.8825844829438	6.72322713915112	5.67076508028101	6.32604478406175	5.34899852409749	5.95782681403839	5.91252911700491	6.59405149888912	6.47211867752497	7.9634821553546	4.90961960805446	6.26852828408404	5.46473883198182	3.96215576036575	4.97023053006517	5.85445510043257	5.78351982922089	16.9824	10.9936
LCS_504	-382.683021806808	2128.26656484136	1745.58354303455	0.651513464005902	8.63699240826631	9.67357178977956	5.87547862442315	8.08224202180559	5.49588480432299	8.34225535675739	9.88317158273841	6.03076876342485	9.42823682350603	5.91748703354175	3.68616415780547	10.393006447587	9.65066704630271	6.84150346019626	5.61945944647848	6.19941882554149	5.41307932030493	5.99883629785344	5.99265601287097	6.76546647505438	6.45872915856016	8.22515051328509	4.74830982457894	6.22055527759677	5.03767941677407	4.21696127658464	5.02610934680445	6.04125540673148	5.79420630622659	18.4569	13.4932
LCS_505	-1042.7325046965	1740.562055554	697.829550857494	0.760040766057954	7.76741775280678	8.20288373312272	4.49017043055296	8.58985946556002	4.11312916083855	5.29790511743044	7.00826330340555	4.56302629686593	7.25974971406516	6.95561102201765	3.60227125987211	5.73528913510541	10.3308475078224	6.74076764242853	6.07035057046403	6.10847107374922	5.64166334905608	5.94996723680262	5.67158606546814	6.54341997558071	6.00322545981454	8.50627926300269	4.84103764350123	6.30246577341887	5.27966696288993	4.13399308298044	4.81778208165764	5.91507798787196	5.7301193852525	18.6996	15.9465
LCS_506	31.9338250645928	2258.86726124236	2290.80108630695	0.588777932623808	8.57679577082646	10.7539698111127	5.86126205816656	7.9863773917552	6.40512924657835	8.52161238309596	8.27969396393159	4.71964696855399	9.11905705331878	6.55640630863091	4.74046248533497	10.312147948415	10.7287725347112	6.81624442758064	6.00301225908268	6.07195924607285	5.55214717109326	5.95809279734998	5.84938792690647	6.84609766463663	6.24390218103518	7.59022165739866	4.7127903824105	6.30289875925838	5.19745614268878	4.12380008800249	5.12384788150252	5.84615305663726	5.71842818648205	17.1441	13.3123
LCS_507	-76.5914269340714	1839.28608248695	1762.69465555288	0.649605932443747	9.32976321224321	10.3976770537461	6.10263218920405	8.78749646603773	6.02540845747588	8.96728931128574	10.2378118781644	6.11622117843584	9.93347279131521	6.99605139652151	3.39373616762935	10.7116986282409	10.6410511891866	7.13668405016434	6.00703875283643	6.04224889795165	6.03585243822302	5.61138966000934	5.63503115457032	7.6017655797131	6.60431643718173	8.97294924952873	4.47375884839134	6.04658101929204	5.63475306255047	3.84901585483758	4.72370882907909	5.34496873547132	5.566034896064	18.1068	16.6946
LCS_508	-2357.11879390502	7.43541463960941	-2349.68337926541	0.966369167370311	9.39328129416181	10.6369587226831	6.79970009369067	7.60481796037748	6.85063230795363	8.29698269155553	9.37577499081626	4.69451407335553	9.2206822139736	7.44910599553734	3.23298873361621	10.0311837114716	11.8830799681327	7.4243724279182	5.92343729560695	6.08516875831274	5.42257479757909	5.99075728081342	5.68136310905576	6.6313178712019	5.87604691278851	8.64917572720179	4.87277687204115	6.09757767437481	4.7677048372179	3.96896435095008	4.5361643567066	5.72983703217731	5.67311414735636	17.258	10.9936
LCS_509	432.421691219434	3470.01141456103	3902.43310578047	0.38294037764497	9.48845105273877	10.4461506469239	4.66052806139627	6.96387634612894	4.78760457362822	7.05295872684074	4.89735817921127	4.24625730930778	7.66517315825496	6.55229087708085	3.21067390228306	8.83273108974296	10.6052823511133	7.29946757003694	6.73558994548622	6.69188879608495	5.35463175562122	5.67100508832513	5.30367117793362	6.93969356987325	6.85061229884815	7.56330936148898	4.60612405072205	6.465216623363	5.08233629043149	3.98725756998869	4.73097826755306	5.36247891348129	5.42917082974955	16.5865	12.7372
LCS_510	-1933.48920743981	413.682760319663	-1519.80644712015	0.927959237567297	7.79150029696036	9.68803196969585	5.97974737482986	7.89796845171716	6.94234755866508	6.05369836448056	8.24408590490207	7.19769148305583	8.68943995809568	5.87764532098925	3.99732453782307	6.98904949547858	10.0920442860932	6.98560745742987	6.24099158100348	6.13305799668765	5.45561955613946	5.94207021572155	5.80685463073258	6.5457829888163	5.47201199153332	7.97642327756636	4.9004628971648	6.12621213999099	5.09403422972497	3.93218463592991	4.64942592308207	5.91864914413755	5.68620871655822	16.5953	15.9465
