ID	StromalScore_mic	ImmuneScore_mic	ESTIMATEScore_mic	TumorPurity_mic	SLC22A3_RNA	HNMT_RNA	MAOB_RNA	MAOA_RNA	AOC1_RNA	AOC2_RNA	AOC3_RNA	Histamine_upmeta	meta
LCS_530	-1722.81588282704	881.415951816198	-841.399931010843	0.886310772109038	7.27638101767306	5.99055934410331	5.77907443942471	8.12859548410761	5.00309359826602	4.50923033586538	6.12907475995537	19.5006	14.8466
LCS_536	968.628452432619	3163.35025632939	4131.97870876201	0.351602712982951	5.75648458900661	6.07323474732364	5.58475747819957	7.59145264761045	5.04075878667207	4.4322103947297	6.01676446697927	25.8632	18.664
LCS_537	-374.365567996126	3921.32548775548	3546.95991975935	0.430599181892479	7.02492152765376	7.3432531382734	4.96016812628367	8.567541047383	5.23311938770402	4.7572161588166	6.18649423180526	24.4122	22.4127
LCS_539	-1246.96105932859	571.711710387345	-675.249348941243	0.874753991438372	8.39626823095786	7.6555159941931	6.45683461301423	8.62470299842997	5.52284474107854	4.59441241025416	6.32659424452934	23.0302	18.7861
LCS_540	-1859.11538149709	558.007462080499	-1301.10791941659	0.915519192758418	7.58992430615116	6.95632511327911	5.26862454212654	8.6648448522598	5.20172056872473	4.57419384174629	6.1675501476098	18.9257	14.8466
LCS_541	-684.751933731234	1991.14725788875	1306.39532415752	0.699033802923045	7.83502449025609	7.76431291912283	4.76342518643014	7.49617492842135	5.02249916512375	4.62443514812397	6.18546352691197	21.7064	20.1778
LCS_542	-2140.00594716023	172.764791253783	-1967.24115590644	0.950418000052259	7.63020260562514	7.76259299647585	5.02616911624019	8.51053024122913	5.23803505918851	4.83276174267506	6.30843068098711	23.047	22.0023
LCS_543	-442.943505956796	1786.48705234122	1343.54354638442	0.695124102726048	7.02739636144047	7.12954042820304	6.67009457523842	8.38648672987204	5.64824962682594	4.82940207055817	6.6487769565969	23.6049	21.6073
LCS_544	-1768.41777608032	665.595646369296	-1102.82212971103	0.903424459292441	8.56168503025728	7.73554334100995	6.00987857174104	8.98498579556411	5.11659115104232	4.92325103947657	5.91893609794361	22.4848	16.6871
LCS_545	-894.493605390053	1580.18230191996	685.68869652991	0.761197725217868	8.23970702205378	7.72533946844695	6.01072870083089	8.14923431249178	5.236149909981	4.86535572467738	6.27568163069275	24.1977	23.0775
LCS_546	-256.696376528105	834.987144963546	578.290768435441	0.771326480861476	6.46008698880228	6.39868037054118	5.07514893293592	7.0616103682296	5.18513591401219	4.51371356583514	6.26617133231086	23.9225	20.1705
LCS_547	-658.284389976838	1388.69922242498	730.414832448137	0.756923637762204	7.93862333788997	7.17088132644564	5.47842057564682	7.83852584049405	5.11770464536887	4.50005812796947	6.247183091956	24.2044	22.1984
LCS_548	279.772042887333	3052.18030474733	3331.95234763466	0.458864839837542	5.65363789411657	7.03229358665373	6.01141219013768	7.27514718721994	5.21687311000194	4.67440192274389	6.36250503407356	27.1364	23.6515
LCS_549	-679.27241256799	1344.65767212879	665.385259560799	0.763127131413909	7.22568633313713	7.28961412931272	4.81375828133424	7.60288495718784	5.46041823443804	4.65611132377376	6.18721112797991	24.889	20.4835
LCS_550	-926.21720202217	1097.997848259	171.780646236826	0.807908126279973	6.78905510653599	7.20005896627462	5.73920217744274	7.54168002419753	5.3264799147472	4.8429887901772	5.74198087555563	19.4536	17.9482
LCS_551	885.332179694325	4283.1833521003	5168.51553179462	0.205653074782108	8.19424196262407	6.94695512689924	6.05389030215149	7.94373516009601	5.04125427533575	4.48228684869918	6.44264902463337	25.9047	22.5864
LCS_552	448.518530435538	1988.03634297334	2436.55487340888	0.571351062178	7.15027828118485	6.84916758497548	5.23322055816266	7.46323708306504	5.24545537696661	4.42751828175784	6.54781670385598	27.2599	23.3002
LCS_553	-765.244071148196	1182.35506205567	417.110990907474	0.786166936955717	8.92258825601703	7.47660347253134	5.55957049848184	8.9192641517307	5.11210178098314	4.76944497335239	6.4144812676001	23.6409	22.6393
LCS_557	-731.070028069615	2540.34282216622	1809.2727940966	0.644392717031367	5.80920527265656	6.91856314671641	5.5546156118505	5.82997416483409	5.14714199619447	5.25503769278961	5.90040130957422	22.7036	17.0333
LCS_558	-735.535888804043	1261.00005828588	525.464169481838	0.776238406216948	9.13526442461247	6.91048885423026	6.16327293434466	8.91580032375769	5.10677622795933	4.81077000787637	6.76559162439446	25.134	19.6771
LCS_559	-732.541401862142	2120.11861844145	1387.57721657931	0.690462975667497	8.30267377110685	7.24617873582157	5.17829550396021	7.75451409506478	5.14164493872364	4.46538313925823	6.4158500169766	25.8366	20.6952
LCS_560	1050.79795802234	2769.14090380943	3819.93886183177	0.394098179795824	7.72186658780571	7.19228295154993	5.76325376539044	8.27305018299192	5.14884831347067	4.74221566573983	6.52618871583915	24.1028	20.4092
LCS_562	367.888319374694	2390.97516011786	2758.86347949255	0.531897678495312	6.64847379723988	7.0804590825294	5.18563503506561	7.63891703846555	5.39775406255457	4.81906965725735	6.50690050567907	24.0197	18.9636
LCS_563	-1069.90207138095	1396.7756889601	326.873617579149	0.79428382385009	7.75524905146569	7.74133770413888	6.17327908712161	8.90388615056897	5.09078923210635	4.45566789925594	6.24792736091977	18.6334	14.8466
LCS_564	-1358.85888056846	682.042223387104	-676.816657181351	0.874865449130554	8.29859225132636	7.61101534382877	6.08250603002668	8.46314210839068	5.22381348886538	4.46965119374462	7.35095965500717	19.5218	18.4144
LCS_565	-308.672207292931	1711.5607977257	1402.88859043277	0.688835440953126	7.68754593269712	6.95921183967558	6.31134838787953	8.28639294014492	5.4310295369836	5.07405060982008	6.45325956349643	25.9631	22.9043
LCS_566	1032.81237406442	2891.97260970668	3924.7849837711	0.379907425827753	6.85885395250735	6.6875457605769	5.64118720365753	7.93069357815791	5.31159968415935	4.9043756679894	6.46663631967489	26.2795	22.6485
LCS_567	200.288120444856	2361.8775291651	2562.16564960996	0.556122460814873	7.12969777794944	6.40597278163314	5.19524004027097	6.63567729959549	6.0261371774126	4.72763694991004	6.16856062365255	26.2035	24.0697
LCS_584	-1919.20859057219	1011.19536340005	-908.013227172137	0.890796460581212	7.53818328880802	6.29829009402428	5.12221701018624	9.07207417689477	5.3183727006853	4.5523012347504	5.49869876402668	23.0852	14.8466
