ID	StromalScore_mic	ImmuneScore_mic	ESTIMATEScore_mic	TumorPurity_mic	SLC22A3_RNA	HNMT_RNA	MAOB_RNA	MAOA_RNA	AOC1_RNA	AOC2_RNA	AOC3_RNA	Histamine_upmeta	meta
LCS_501	-470.672697732706	2080.42831690595	1609.75561917325	0.666508648918248	7.61892890451715	6.8093295096993	6.2832846708524	7.51693346979225	5.08469571065453	4.71225110711599	5.70384187436913	23.9717	20.6952
LCS_502	673.077446092575	3014.57890163221	3687.65634772478	0.411868810235354	6.34036108944286	7.11167493745603	4.70657608615803	8.21985899119368	5.43449031593421	4.92072094608491	6.51946636357773	20.129	17.293
LCS_503	55.3353111621776	2519.74071297875	2575.07602414093	0.55454645047659	8.28151776628086	7.18481438703112	6.149570106302	8.64001624944597	5.50939514277583	4.84863678630651	6.51061772295482	22.2872	17.9117
LCS_504	-382.683021806808	2128.26656484136	1745.58354303455	0.651513464005902	8.86546058540966	6.83117404326321	5.46209610526475	8.62031754525166	5.44835716785202	4.82736238101074	5.94632658583427	27.2268	21.8815
LCS_505	-1042.7325046965	1740.562055554	697.829550857494	0.760040766057954	7.8873570709783	7.1991646572533	5.60188730783111	7.39415785445296	5.41345916858711	4.64531659778631	6.46978475470118	25.5724	22.4552
LCS_506	31.9338250645928	2258.86726124236	2290.80108630695	0.588777932623808	7.26655192637187	6.51330898529317	5.0928113104362	7.58117671711596	5.36606774690305	5.06369905698294	6.22459315011101	26.2001	22.9004
LCS_507	-76.5914269340714	1839.28608248695	1762.69465555288	0.649605932443747	9.23249361925336	7.95706565900674	5.56340145617954	9.25727507124054	5.00879107430406	4.7369293486162	6.43153332115454	24.5024	20.7091
LCS_508	-2357.11879390502	7.43541463960941	-2349.68337926541	0.966369167370311	5.55519518127271	6.22537847831815	5.10353884582426	7.99959674829475	5.9964560352594	4.55093101983733	5.78477896004248	21.5399	14.8466
LCS_509	432.421691219434	3470.01141456103	3902.43310578047	0.38294037764497	5.7637967228172	5.93475351916086	5.33534938866649	8.01696330450731	5.02693780233155	4.5597715172931	5.90213479473633	24.0826	14.8466
LCS_510	-1933.48920743981	413.682760319663	-1519.80644712015	0.927959237567297	7.82536500857693	6.81945363613523	5.10095474343745	7.67271306665388	5.38118919250823	4.96441879660901	6.38736145045343	24.9041	17.3352
LCS_511	-747.168870623609	2837.62519011353	2090.45631948992	0.612290490488028	7.65825055368544	6.67438051335441	4.78157274968517	7.97342042550572	5.18610743073086	4.6613625942868	6.06584887544612	20.6136	15.2061
