ID	StromalScore_mic	ImmuneScore_mic	ESTIMATEScore_mic	TumorPurity_mic	FABP5_RNA	FABP4_RNA	FABP12_RNA	BAAT_RNA	FABP7_RNA	SLC27A4_RNA	CD36_RNA	FABP1_RNA	ABCA1_RNA	SLC27A3_RNA	SLC27A1_RNA	FABP2_RNA	FABP6_RNA	CEL_RNA	SLC27A6_RNA	LIPA_RNA	FABP9_RNA	ACOT6_RNA	FABP3_RNA	ACSBG1_RNA	ACSBG2_RNA	ACSL4_RNA	SLC27A2_RNA	ACSL6_RNA	ACSL5_RNA	ACSL1_RNA	ACSL3_RNA	meta
LCS_501	-470.672697732706	2080.42831690595	1609.75561917325	0.666508648918248	5.34052067255736	2.73683583648183	2.39528799796697	9.03762233766838	2.97702327506509	6.77158951262464	3.92987458320075	7.77129981464141	8.09610786281661	6.06372759529346	6.22374106733623	2.4826819800385	4.68891974963576	4.97885108727481	2.98712303550806	6.74752821862949	2.85908579043951	3.32829897531244	6.32751911154085	4.82165897265989	3.73897119710059	9.80430990148779	7.9601432450869	4.46449716710968	7.37384839361972	8.90760127754624	9.11771369173898	18.7658
LCS_502	673.077446092575	3014.57890163221	3687.65634772478	0.411868810235354	5.43850455846187	4.28116125875378	2.49894713383425	10.4043239491836	3.17751484511446	6.89540005425776	4.59959624800051	9.63447101563943	8.39281373984833	6.38927523673041	6.22670995788188	2.48224075435597	5.21805116756379	5.31492793490812	3.22841472797703	6.63609975128268	2.86220089218448	3.58227226138786	4.83021676967913	5.01397120337226	3.97821023999014	8.89621571173189	9.47660896268518	4.44994849363876	7.30233978248698	9.64332477101603	7.59130640348108	17.9577
LCS_503	55.3353111621776	2519.74071297875	2575.07602414093	0.55454645047659	5.01998438646181	3.96246205916696	2.27798023052995	11.5748738655826	3.22810739219698	6.98209818450542	4.8433316137297	9.04297657217299	9.02363617741376	6.42776398719908	6.47952604688567	2.52941190580623	5.16201367657581	5.55824711527401	3.22407868966915	7.04551522722538	2.93144511845097	3.7610582212509	5.15667859672994	5.11519732206885	4.05344771491573	5.66910810434171	10.0695044207269	4.82406476280723	8.82862903102302	10.7445065026803	7.27932974234655	13.5028
LCS_504	-382.683021806808	2128.26656484136	1745.58354303455	0.651513464005902	4.84512824779488	3.00607241567166	2.37084474689721	11.7988236024917	3.06079484884467	6.88618974331535	4.43282485778421	8.38070005360008	8.27525000241633	6.13898107019624	6.22904434663782	2.47309990313394	5.23453658330272	5.44473270366866	3.1971333223573	6.32695079537773	2.93720129345144	3.37620342872861	4.61334799794465	5.13553468179489	4.05672728619484	6.25147139115402	9.29707904629526	4.74341189116396	9.33214037770948	9.63160273574051	7.22027577129971	17.6721
LCS_505	-1042.7325046965	1740.562055554	697.829550857494	0.760040766057954	4.78693502232316	3.3044778813502	2.35282693488373	8.6879705862026	3.08074453187753	6.41030385965684	4.84393392645141	10.2962508498837	8.52603577080763	6.4076440489065	6.27266878771635	2.39382159455875	5.1287499281879	5.20923101259954	3.1427555597375	6.23946493164584	2.90468922609288	3.04304414827546	4.88099093756236	5.01070715589285	3.86618276020115	10.0560726310448	8.8280206493549	4.28864904996562	7.46830898208622	7.78467948969848	8.26945207968048	13.5028
LCS_506	31.9338250645928	2258.86726124236	2290.80108630695	0.588777932623808	4.7951152616066	2.99182903725573	2.43741602948171	9.75499670730138	3.09448472351089	6.50015879148815	4.84212457214588	6.6570626515587	7.7182923586514	6.91478971171351	6.14660429961806	2.53535916113572	5.03774704778218	6.13102918346146	3.16523077624687	6.48839177237117	2.83548224933526	3.23969923233391	5.26194187615519	4.94138195318756	3.82884001124654	8.9095722512591	9.41492060747662	4.379777148241	8.29514091295543	9.47660732456574	7.42966994064313	17.1807
LCS_507	-76.5914269340714	1839.28608248695	1762.69465555288	0.649605932443747	4.48131763766681	3.27098212044902	2.25965906800023	11.1604925438088	2.81599900030669	6.79252807829976	4.04272791598064	10.188658670341	9.07491373341556	6.14135190551038	5.82195746866262	2.33255306260629	4.74326566843643	5.14381658431617	3.00369970057794	6.66977963864572	2.80545445369236	3.04606510753132	4.45333096954419	4.6733078380355	3.64134537913323	9.67638911438122	10.2537378653406	4.88144844692924	9.7043737556735	10.0918385145907	8.6363342072973	13.5028
LCS_508	-2357.11879390502	7.43541463960941	-2349.68337926541	0.966369167370311	5.13588651770374	2.8140841405553	2.25906331495531	9.67723379457423	2.90381120910118	6.89899210032188	7.26478349183174	7.53905884986015	8.23725342859319	6.08273747151069	6.2425340138826	2.38942241759666	5.11044565867695	5.52971817356197	3.12938708775301	5.84369190347669	2.93400799744756	3.06184685187842	5.28644183981239	5.03136564012032	3.94060111112141	9.08083846383461	7.47861118046362	4.26497346357002	5.12759937780695	7.24668640028892	8.95097146769342	18.0047
LCS_509	432.421691219434	3470.01141456103	3902.43310578047	0.38294037764497	5.81399493317555	2.71573902353245	2.31744202338397	10.1637635828096	2.89358141336387	7.85689373322866	5.13793907179773	4.46936410901351	8.8052077713194	5.93194150603551	6.12339527625923	2.41810408993639	5.385596569461	5.15839373006016	3.27136949349105	6.50660254889758	2.89139397210057	3.22803161742841	8.25073994194534	4.73696182271049	3.58024892265568	7.26809885340861	6.36410494817525	4.24811832852354	6.10204884639199	8.63387446403308	7.47611230610421	17.4799
LCS_510	-1933.48920743981	413.682760319663	-1519.80644712015	0.927959237567297	4.66252787673337	2.86415956500322	2.29087140465118	9.29276467529	2.91811343041313	6.88036840509102	5.17245598649639	10.1485373123164	9.24375598891525	6.65594915149912	6.13485559914334	2.3750058240509	5.11124894468283	5.35673708008326	3.15623371993793	6.30022107832178	2.84258652077396	3.23365944787186	4.56285416527357	4.98877946495558	3.96197233205024	10.0263045356943	8.38800760196802	4.48631017585091	7.21984908344773	9.78730831441451	8.9583111287967	16.7079
LCS_511	-747.168870623609	2837.62519011353	2090.45631948992	0.612290490488028	5.48328179301313	2.63758338388868	2.28662033461619	10.1699794917332	2.77808357780299	6.67945920589268	3.80242260730674	10.0678358495207	8.7998406410358	6.44023524251452	6.18298235839216	2.51231994495841	4.82503448289596	6.66582299113826	3.03525141850585	6.46466533603584	2.76225305193046	3.12246690656016	5.32915083231493	4.81810903991706	3.6597617570467	10.1527635881702	8.08372054107329	4.0613919859021	8.69615995251831	8.06422833613617	9.49259075827322	13.5028
LCS_512	-1438.32455062577	1483.71956840484	45.3950177790673	0.818701290036842	4.88217087246096	2.72190459832099	2.42683940350223	10.6772090397436	3.05904604284762	7.51390162587134	4.03843389026668	9.32111100374571	8.24105833302648	6.27581105045745	6.28798226228709	2.46640460185406	5.21636341068406	5.51117219562573	3.2864076182606	6.62448665100543	2.89900328417279	3.18223783398648	5.02146299747417	5.40309079742658	3.8952670586503	7.38122962752172	9.73496464160345	4.62270756512782	8.19529819739454	9.67975543217935	7.67877720161599	18.7477
LCS_513	-1114.92092951233	1515.53941761458	400.618488102249	0.787660787287152	5.01827993585605	2.78673052578534	2.35906342804549	10.4416894666188	3.1460411979493	6.70023535508763	3.68336212106414	10.4498663084313	8.14756936542592	6.92602143920843	6.47373820150882	2.34479860894137	5.13934065049914	5.57464327626839	3.22367154417648	6.06849850128866	2.85897608986204	3.14765443378857	4.7371339613556	5.16120787640616	3.8317978775548	10.1588628748507	7.33196502105834	4.75853290037803	6.14161643342926	7.5559769949006	8.21646323698231	13.5028
LCS_514	-1843.02128116645	-95.5286535184085	-1938.54993468486	0.949099890773949	4.63085037255384	3.08733461614267	2.28098023526167	11.8255679369252	3.05659419037711	7.49119816134586	4.44006242275918	10.6589512087103	8.10019758233373	6.39405393077031	6.25844444985546	2.49600088154439	5.00177006915272	5.43050251084692	3.14110102676726	5.80301304525939	2.91345733338615	3.35706578459871	4.54721416390888	4.91569135203558	3.9417875541775	7.50718914233897	10.8805625216392	4.25126236507905	8.99666703407598	10.3839275613369	7.4715726263716	13.5028
LCS_515	-337.529136913069	1886.7433412681	1549.21420435503	0.673107311739951	5.01396260172295	3.07347099279792	2.30060136687522	10.377466090092	2.94884242434071	6.82719021073534	4.56873765206891	11.1291416868149	8.37179431651573	6.64528105211391	6.22856229479125	2.40666588033547	5.06064507010602	5.49363395405543	3.09191992747586	6.15129748091331	2.82017105344138	2.95790460443867	4.52256576488423	4.87113442071394	3.71316757005707	10.4137912047671	9.53156186773737	4.79012312412742	8.26234103581989	9.62658666618531	8.19117044844571	15.2155
LCS_516	-1496.26422088716	391.706039614699	-1104.55818127246	0.903533688588042	4.62804637210666	3.25430476310795	2.41757751444886	11.4536273808459	2.96113392100996	6.7936064854578	5.27793987501618	9.9780070071955	7.74429032078639	6.14744666600612	6.12353608833648	2.97251258171315	4.9757762136808	5.46236386528413	3.15857404232813	6.74409930985898	2.84775526584552	3.18004452706099	4.64890950658536	4.80276903895222	3.74956491939069	4.65222999914202	9.45844932858395	5.53548296560123	10.1040809724774	9.35218267308788	7.32605021375071	13.5028
