ID	StromalScore_mic	ImmuneScore_mic	ESTIMATEScore_mic	TumorPurity_mic	ATG9B_RNA	TXNRD1_RNA	TXNRD2_RNA	SLC3A2_RNA	SLC3A1_RNA	SLC7A6_RNA	SLC7A11_RNA	SLC7A9_RNA	CTH_RNA	meta
LCS_501	-470.672697732706	2080.42831690595	1609.75561917325	0.666508648918248	5.35181728640439	7.51214006362535	6.44793323284101	8.88714178164664	4.21431553928606	7.19239384588151	5.47918458957399	6.39254358045881	6.11348826517697	14.5715
LCS_502	673.077446092575	3014.57890163221	3687.65634772478	0.411868810235354	5.59233889653381	8.22232673470263	6.45565726339061	9.09995060768864	4.75877412414679	6.52847603995127	5.61845550586297	6.48701884476944	5.91768184465645	14.5715
LCS_503	55.3353111621776	2519.74071297875	2575.07602414093	0.55454645047659	5.72306480780582	8.25773782551401	6.31872474086136	8.28978143768135	4.86334112502569	7.37120280663728	3.59160282823467	6.28832157557416	9.11994196350346	17.9969
LCS_504	-382.683021806808	2128.26656484136	1745.58354303455	0.651513464005902	5.72116492291168	7.55717537460254	6.48380655739338	8.65419031345357	3.88203506082456	6.72692458680757	3.86397816791337	6.11283856199526	8.93512352262162	20.6134
LCS_505	-1042.7325046965	1740.562055554	697.829550857494	0.760040766057954	5.63913866151395	6.82320352476191	6.36245558622766	7.04749701098013	4.13288965415779	5.87637619392974	4.03312643591928	7.36521619552453	5.6978215763516	21.7973
LCS_506	31.9338250645928	2258.86726124236	2290.80108630695	0.588777932623808	5.62311594317988	8.18254621016849	6.21663133079974	8.74320912368658	5.57082665254494	6.35351621027269	4.39848888293927	7.0369326889572	6.86455055840417	14.5715
LCS_507	-76.5914269340714	1839.28608248695	1762.69465555288	0.649605932443747	5.25372586389205	7.96600645065062	6.24029867593262	8.03985169363045	5.01048952919381	6.10100671762959	4.06223463932841	6.81566569967007	7.10758795595683	14.5715
LCS_508	-2357.11879390502	7.43541463960941	-2349.68337926541	0.966369167370311	5.56524535583246	9.81505128012908	6.35983616073022	8.83022105972563	4.8271035937066	5.9538136686617	7.98285272641688	7.41309664579319	6.60596152656263	16.9397
LCS_509	432.421691219434	3470.01141456103	3902.43310578047	0.38294037764497	5.20273248110663	9.43541700932898	6.01956046361253	10.1246356303896	5.59769067154583	6.75065948282711	7.90265891206446	4.98841075485041	5.08598787766085	21.6126
LCS_510	-1933.48920743981	413.682760319663	-1519.80644712015	0.927959237567297	5.59528878016319	7.09463709575019	6.70430271444001	8.22536014085944	4.05399931097713	6.26791728163949	3.94612850606302	6.57254867837626	8.0874300399775	20.0498
LCS_511	-747.168870623609	2837.62519011353	2090.45631948992	0.612290490488028	5.29499909543081	7.03431954688423	6.02236610039223	8.78437978081248	4.52565047833267	6.02188034753956	3.75078889539225	6.5098227061267	4.14834508519052	22.1881
LCS_512	-1438.32455062577	1483.71956840484	45.3950177790673	0.818701290036842	5.69600748846676	7.95508624196305	6.34852006793247	9.62138872894417	6.15905056461345	5.99145594209473	3.65039706135027	6.54417458717437	5.89522688335973	17.6555
