ID	StromalScore_mic	ImmuneScore_mic	ESTIMATEScore_mic	TumorPurity_mic	GATM_RNA	GAMT_RNA	meta
LCS_501	-470.672697732706	2080.42831690595	1609.75561917325	0.666508648918248	3.06382976315982	6.58865220596487	22.7777
LCS_502	673.077446092575	3014.57890163221	3687.65634772478	0.411868810235354	4.78127237049799	7.71223601198052	22.3879
LCS_503	55.3353111621776	2519.74071297875	2575.07602414093	0.55454645047659	3.34509948644248	7.84405968739068	16.1198
LCS_504	-382.683021806808	2128.26656484136	1745.58354303455	0.651513464005902	4.01884475375582	7.73286865432065	24.3145
LCS_505	-1042.7325046965	1740.562055554	697.829550857494	0.760040766057954	2.89234533959808	7.60034162334305	17.5191
LCS_506	31.9338250645928	2258.86726124236	2290.80108630695	0.588777932623808	2.97257133918631	7.49756124971558	21.4351
LCS_507	-76.5914269340714	1839.28608248695	1762.69465555288	0.649605932443747	3.3065750205101	8.26965688517207	19.1191
LCS_508	-2357.11879390502	7.43541463960941	-2349.68337926541	0.966369167370311	2.69925069401959	7.08364351235768	16.1198
LCS_509	432.421691219434	3470.01141456103	3902.43310578047	0.38294037764497	2.69108255523246	7.4589313653669	19.2709
LCS_510	-1933.48920743981	413.682760319663	-1519.80644712015	0.927959237567297	2.73150640334255	7.94777330903049	16.1198
LCS_511	-747.168870623609	2837.62519011353	2090.45631948992	0.612290490488028	2.69061798725116	7.86421330542738	23.1753
LCS_512	-1438.32455062577	1483.71956840484	45.3950177790673	0.818701290036842	3.13940794390729	8.1210113002793	22.1016
LCS_513	-1114.92092951233	1515.53941761458	400.618488102249	0.787660787287152	2.67380812447773	8.32033525258708	16.1198
LCS_514	-1843.02128116645	-95.5286535184085	-1938.54993468486	0.949099890773949	5.83239369325018	7.28596268680579	24.4399
LCS_515	-337.529136913069	1886.7433412681	1549.21420435503	0.673107311739951	3.37419598211513	8.29110918505432	16.1198
LCS_516	-1496.26422088716	391.706039614699	-1104.55818127246	0.903533688588042	4.1914826199213	8.3776366632882	23.2349
LCS_517	-814.740814285405	1942.36460270668	1127.62378842127	0.717556039365337	5.2346416796735	8.45627470511951	18.6802
LCS_518	-170.056475920447	2055.63108749102	1885.57461157057	0.635787728125185	3.05400346862707	8.54592820290591	21.5927
LCS_519	-448.069378761734	1557.41726553608	1109.34788677435	0.719421950979402	3.7207830213613	7.90577807309998	22.989
LCS_520	-1536.51292492728	1996.73102208341	460.218097156136	0.782240663567048	2.89609308681854	7.25019110433192	24.158
LCS_524	-129.243492455974	1304.92145980273	1175.67796734676	0.712625254396935	3.50262988732431	7.79061310206607	21.7568
LCS_525	-986.465069122892	1103.26123194575	116.796162822854	0.812638118520169	3.84344123575363	8.17073829977321	21.1065
LCS_527	-172.869873190638	2568.46854896596	2395.59867577532	0.576274704048085	3.19893940296751	8.68298949506434	19.8382
LCS_528	-253.908643110841	4462.34285362128	4208.43421051044	0.34107459294862	3.10884639877405	7.70116709602611	21.6627
LCS_529	-1683.00775373879	386.884725608618	-1296.12302813017	0.915224593848394	4.49524056537692	8.85205832661474	25.0452
LCS_530	-1722.81588282704	881.415951816198	-841.399931010843	0.886310772109038	2.83233849033836	9.11491588556408	24.1608
LCS_536	968.628452432619	3163.35025632939	4131.97870876201	0.351602712982951	3.30266115294587	6.73857560214014	22.4014
LCS_537	-374.365567996126	3921.32548775548	3546.95991975935	0.430599181892479	3.44095367905002	7.32879688972405	22.4686
LCS_539	-1246.96105932859	571.711710387345	-675.249348941243	0.874753991438372	3.40790757186886	8.76837985335285	16.1198
LCS_540	-1859.11538149709	558.007462080499	-1301.10791941659	0.915519192758418	4.08495927277286	8.66328090011975	20.7246
LCS_541	-684.751933731234	1991.14725788875	1306.39532415752	0.699033802923045	3.27114154662519	7.67690741724449	20.7873
LCS_542	-2140.00594716023	172.764791253783	-1967.24115590644	0.950418000052259	3.69847205237324	8.41218938792715	23.4384
LCS_543	-442.943505956796	1786.48705234122	1343.54354638442	0.695124102726048	4.14059083105121	9.06947086345115	16.1198
LCS_544	-1768.41777608032	665.595646369296	-1102.82212971103	0.903424459292441	3.63779527294651	8.27684764181115	20.947
LCS_545	-894.493605390053	1580.18230191996	685.68869652991	0.761197725217868	3.26851968926405	8.75600572386444	16.1198
LCS_546	-256.696376528105	834.987144963546	578.290768435441	0.771326480861476	2.27560589651277	6.65297893461101	24.5933
LCS_547	-658.284389976838	1388.69922242498	730.414832448137	0.756923637762204	3.51076718138149	8.71772350314706	16.1198
LCS_548	279.772042887333	3052.18030474733	3331.95234763466	0.458864839837542	2.72625543578817	8.95075923759696	19.9552
LCS_549	-679.27241256799	1344.65767212879	665.385259560799	0.763127131413909	4.71701591441582	8.56980386438903	19.4171
LCS_550	-926.21720202217	1097.997848259	171.780646236826	0.807908126279973	3.69759378870986	7.8474106124633	21.302
LCS_551	885.332179694325	4283.1833521003	5168.51553179462	0.205653074782108	3.2854950510604	8.71601322806845	17.2259
LCS_552	448.518530435538	1988.03634297334	2436.55487340888	0.571351062178	3.00160906081975	8.60580568941046	16.1198
LCS_553	-765.244071148196	1182.35506205567	417.110990907474	0.786166936955717	4.25951880378967	7.9332432959177	26.5819
LCS_557	-731.070028069615	2540.34282216622	1809.2727940966	0.644392717031367	2.70446115587705	6.7632091680459	16.1198
LCS_558	-735.535888804043	1261.00005828588	525.464169481838	0.776238406216948	4.09622735037402	7.8934276533453	22.1611
LCS_559	-732.541401862142	2120.11861844145	1387.57721657931	0.690462975667497	3.87859278343724	7.83725417086876	22.0653
