ID	StromalScore_mic	ImmuneScore_mic	ESTIMATEScore_mic	TumorPurity_mic	SLCO1A2_RNA	SLC22A3_RNA	SLCO1B3_RNA	SLC22A1_RNA	SLC22A2_RNA	HDC_RNA	SLC18A1_RNA	DDC_RNA	SLC18A2_RNA	HNMT_RNA	AOC1_RNA	AOC2_RNA	AOC3_RNA	meta
LCS_524	-129.243492455974	1304.92145980273	1175.67796734676	0.712625254396935	2.89430328424762	6.59753142904402	5.697825599747	8.86320025151338	3.28676207648722	4.36010416632746	4.00284809269901	6.68917579432269	4.4750866423786	7.20798204473096	5.23314882174751	4.8321023081004	6.56768243526152	20.3108
LCS_525	-986.465069122892	1103.26123194575	116.796162822854	0.812638118520169	3.40390287706075	6.99003843349735	4.45313697790127	11.1090435408767	3.7488220844286	4.81005507372683	4.33817487140694	6.27999310526837	4.64265014617462	7.04128821328451	5.75468359560608	5.20254890007076	6.54444957160778	23.7607
LCS_527	-172.869873190638	2568.46854896596	2395.59867577532	0.576274704048085	3.12430647525306	8.36570598128447	10.320032701607	10.4454715921787	3.32806269708209	4.48412811419882	4.07333566454879	6.35020764702058	4.45228377206201	7.38287476069698	5.29974272832661	4.52039168815552	6.34185622598991	23.2936
LCS_528	-253.908643110841	4462.34285362128	4208.43421051044	0.34107459294862	3.75454253722948	6.84415679768251	3.92265371056634	6.07160822721458	3.46888146952836	4.69483264020181	4.23131158572204	5.82868623685447	4.74842349196662	6.16250235589531	5.48156727249085	5.00114713979785	6.00475379864383	22.522
LCS_529	-1683.00775373879	386.884725608618	-1296.12302813017	0.915224593848394	3.50915012995151	8.68753826174503	11.0987148553286	6.15871456961696	3.34073906303247	4.54857377174566	4.02236983094041	6.17749721113157	4.53083731272218	7.14074691127863	5.14869997454316	4.45722976209716	5.91497622667895	24.1977
LCS_530	-1722.81588282704	881.415951816198	-841.399931010843	0.886310772109038	3.26813299782395	7.27638101767306	3.96686254622286	8.66043972099351	3.2790324206164	4.29933210634037	3.87383457316951	6.34932749422622	4.26375496584772	5.99055934410331	5.00309359826602	4.50923033586538	6.12907475995537	19.5006
LCS_536	968.628452432619	3163.35025632939	4131.97870876201	0.351602712982951	2.85436947191863	5.75648458900661	9.51867872331892	5.36808600745419	3.22024002144231	4.21295382551689	3.75931132344428	5.06229271793593	4.35473145577559	6.07323474732364	5.04075878667207	4.4322103947297	6.01676446697927	25.8632
LCS_537	-374.365567996126	3921.32548775548	3546.95991975935	0.430599181892479	2.99111062222455	7.02492152765376	4.33871603634212	6.44158272150272	3.33051299232884	4.42881237122116	3.94858619037195	6.60483688920403	4.35082822579767	7.3432531382734	5.23311938770402	4.7572161588166	6.18649423180526	24.4122
LCS_539	-1246.96105932859	571.711710387345	-675.249348941243	0.874753991438372	3.05524954372549	8.39626823095786	10.0984087494383	9.29190944550303	3.36398227880787	4.58250585980803	4.17335517044227	6.16685562449138	4.52095735716914	7.6555159941931	5.52284474107854	4.59441241025416	6.32659424452934	23.0302
LCS_540	-1859.11538149709	558.007462080499	-1301.10791941659	0.915519192758418	3.28508277742388	7.58992430615116	3.89718500312746	7.24517230723601	3.33218927029517	4.41767201353129	4.00639002558992	7.15103920457364	4.4135566366094	6.95632511327911	5.20172056872473	4.57419384174629	6.1675501476098	18.9257
LCS_541	-684.751933731234	1991.14725788875	1306.39532415752	0.699033802923045	4.72051467988921	7.83502449025609	9.39382194757796	5.66883994675967	3.33771328302822	4.28091178879085	3.93250192024662	7.27397847968162	4.36131855924737	7.76431291912283	5.02249916512375	4.62443514812397	6.18546352691197	21.7064
LCS_542	-2140.00594716023	172.764791253783	-1967.24115590644	0.950418000052259	3.43607417406944	7.63020260562514	3.55333711148641	7.91068474782587	3.34185257420855	4.33560772642812	4.00715496830813	7.84242052905899	4.40761966742858	7.76259299647585	5.23803505918851	4.83276174267506	6.30843068098711	23.047
LCS_543	-442.943505956796	1786.48705234122	1343.54354638442	0.695124102726048	3.62200476542796	7.02739636144047	10.4843302836042	10.9934004605669	3.49769209840704	4.6273811118991	4.1456680711279	6.79989219934435	4.73268727133676	7.12954042820304	5.64824962682594	4.82940207055817	6.6487769565969	23.6049
LCS_544	-1768.41777608032	665.595646369296	-1102.82212971103	0.903424459292441	3.24831687456879	8.56168503025728	10.1075242040216	8.05132794405009	3.3283953790222	4.34165343564448	3.96780650365775	7.5635864992692	4.36200659859565	7.73554334100995	5.11659115104232	4.92325103947657	5.91893609794361	22.4848
LCS_545	-894.493605390053	1580.18230191996	685.68869652991	0.761197725217868	3.03310218906553	8.23970702205378	10.2569118867677	7.00799519040267	3.32851205005608	4.58479561773578	3.95426413673387	7.15037211647985	4.61257581138614	7.72533946844695	5.236149909981	4.86535572467738	6.27568163069275	24.1977
LCS_546	-256.696376528105	834.987144963546	578.290768435441	0.771326480861476	3.08623348436495	6.46008698880228	5.1040384477029	5.65348960084246	3.24515529604241	4.40929833942889	3.9873116853243	5.37186493217327	4.46521796120212	6.39868037054118	5.18513591401219	4.51371356583514	6.26617133231086	23.9225
LCS_547	-658.284389976838	1388.69922242498	730.414832448137	0.756923637762204	2.96987001283098	7.93862333788997	9.80502435675275	7.33071385421613	3.30212292950037	4.44453158217439	3.97991989922429	6.46558369122764	4.44429436111098	7.17088132644564	5.11770464536887	4.50005812796947	6.247183091956	24.2044
LCS_548	279.772042887333	3052.18030474733	3331.95234763466	0.458864839837542	3.84260865502196	5.65363789411657	9.36927003763396	8.85336886442875	3.22403599689905	4.45373655346932	3.94726001250231	5.71193922220363	4.53171531430574	7.03229358665373	5.21687311000194	4.67440192274389	6.36250503407356	27.1364
LCS_549	-679.27241256799	1344.65767212879	665.385259560799	0.763127131413909	2.99358649246815	7.22568633313713	6.59623601955705	7.90101363312296	3.46751496225199	4.47621574141109	4.06789506581973	6.71171323695147	4.56169222730451	7.28961412931272	5.46041823443804	4.65611132377376	6.18721112797991	24.889
LCS_550	-926.21720202217	1097.997848259	171.780646236826	0.807908126279973	3.00090127694725	6.78905510653599	4.40876168333356	10.2531279641461	3.42871218547058	4.669802331268	4.10083363898675	5.9131350631055	4.58915126275241	7.20005896627462	5.3264799147472	4.8429887901772	5.74198087555563	19.4536
LCS_551	885.332179694325	4283.1833521003	5168.51553179462	0.205653074782108	3.07136386713485	8.19424196262407	6.24061143154042	8.96975332460374	3.22128532299736	4.34894580067095	3.91910612295384	5.91735145935344	4.45073873974908	6.94695512689924	5.04125427533575	4.48228684869918	6.44264902463337	25.9047
LCS_552	448.518530435538	1988.03634297334	2436.55487340888	0.571351062178	2.96013594933118	7.15027828118485	9.44484240534879	6.91854683456461	3.28020372471492	4.52367430786695	4.00919404675394	6.75929554413353	4.59946582817944	6.84916758497548	5.24545537696661	4.42751828175784	6.54781670385598	27.2599
LCS_553	-765.244071148196	1182.35506205567	417.110990907474	0.786166936955717	3.01841715173231	8.92258825601703	10.1147190999345	7.74211981710439	3.32820717338732	4.42707523891446	3.97772288365139	6.44374361482862	4.53658304557785	7.47660347253134	5.11210178098314	4.76944497335239	6.4144812676001	23.6409
LCS_557	-731.070028069615	2540.34282216622	1809.2727940966	0.644392717031367	3.16835531553173	5.80920527265656	4.32260342919218	5.5384323801404	3.36013223703643	4.47495047266943	3.907332923773	5.63215373772661	4.49292221965661	6.91856314671641	5.14714199619447	5.25503769278961	5.90040130957422	22.7036
LCS_558	-735.535888804043	1261.00005828588	525.464169481838	0.776238406216948	3.44555136344767	9.13526442461247	11.0421090335962	11.0899071714449	3.56791621487015	4.51925595572368	3.95716187823326	6.5186696932997	4.41359394416078	6.91048885423026	5.10677622795933	4.81077000787637	6.76559162439446	25.134
LCS_559	-732.541401862142	2120.11861844145	1387.57721657931	0.690462975667497	3.16776444013751	8.30267377110685	10.9157471724309	6.21998055690371	3.27769781409131	4.39503870306323	3.95231753638912	6.72146180894071	4.46022694620177	7.24617873582157	5.14164493872364	4.46538313925823	6.4158500169766	25.8366
LCS_560	1050.79795802234	2769.14090380943	3819.93886183177	0.394098179795824	3.00533865456519	7.72186658780571	11.3316704384272	10.1776499029799	3.38278513182931	4.43271010021427	4.05080545294391	6.66744833484014	4.51940618372921	7.19228295154993	5.14884831347067	4.74221566573983	6.52618871583915	24.1028
LCS_562	367.888319374694	2390.97516011786	2758.86347949255	0.531897678495312	2.94755184910007	6.64847379723988	7.08631416325989	10.1322307746677	3.21895223743125	4.32893073733379	3.90753429163991	6.94675752578539	4.40857063727248	7.0804590825294	5.39775406255457	4.81906965725735	6.50690050567907	24.0197
LCS_563	-1069.90207138095	1396.7756889601	326.873617579149	0.79428382385009	3.26303025203158	7.75524905146569	6.54161343971933	7.39843164243125	3.30046111777564	4.23831280671641	3.8408841537554	6.54899711434118	4.29969309198678	7.74133770413888	5.09078923210635	4.45566789925594	6.24792736091977	18.6334
LCS_564	-1358.85888056846	682.042223387104	-676.816657181351	0.874865449130554	3.28455932439239	8.29859225132636	10.8653808609907	11.3753075258892	3.33335899875353	4.35288413262975	3.97520127276257	5.45395543094259	4.41679656776589	7.61101534382877	5.22381348886538	4.46965119374462	7.35095965500717	19.5218
LCS_565	-308.672207292931	1711.5607977257	1402.88859043277	0.688835440953126	3.23456389835131	7.68754593269712	10.5594655556566	10.3663863525748	3.57505434647142	4.65214001023016	4.17132985627801	6.79266561426069	4.72596803114953	6.95921183967558	5.4310295369836	5.07405060982008	6.45325956349643	25.9631
LCS_566	1032.81237406442	2891.97260970668	3924.7849837711	0.379907425827753	3.71027595911667	6.85885395250735	8.91595000151014	8.5292054338242	3.39325492470079	4.55943861799437	4.07338829073396	6.59216237481144	4.5486479765811	6.6875457605769	5.31159968415935	4.9043756679894	6.46663631967489	26.2795
LCS_567	200.288120444856	2361.8775291651	2562.16564960996	0.556122460814873	3.01496843851366	7.12969777794944	9.25896811934203	7.97101295038854	3.41962362159295	4.5116446814475	4.03929467850958	5.58225272824274	4.56304215473651	6.40597278163314	6.0261371774126	4.72763694991004	6.16856062365255	26.2035
LCS_584	-1919.20859057219	1011.19536340005	-908.013227172137	0.890796460581212	2.90327984168981	7.53818328880802	9.2007381180219	6.1024748204976	3.15122390191752	4.25449104937512	3.8733219718486	6.56384542642464	4.34221420543131	6.29829009402428	5.3183727006853	4.5523012347504	5.49869876402668	23.0852
