ID	StromalScore_mic	ImmuneScore_mic	ESTIMATEScore_mic	TumorPurity_mic	PLPP3_RNA	LPIN1_RNA	PLPPR4_RNA	LPIN2_RNA	FAAH_RNA	LPIN3_RNA	PLPPR3_RNA	PLPP2_RNA	PLPP4_RNA	PLPP5_RNA	PLPPR2_RNA	PLPP1_RNA	PTGS1_RNA	PTGS2_RNA	meta
LCS_501	-470.672697732706	2080.42831690595	1609.75561917325	0.666508648918248	8.09806209789945	6.68601127118692	3.44781071681265	7.76187271434726	5.94977378349474	5.92131350282458	5.71322922299384	8.99909689274078	5.2124019425478	6.75350751816516	6.81333748824466	7.69838602014301	5.69722199333908	4.38096369747212	18.6066
LCS_502	673.077446092575	3014.57890163221	3687.65634772478	0.411868810235354	8.19341420741451	6.74724391590376	3.76761058537464	8.79996576837586	6.30642141926422	6.15049556636437	5.97492117123535	6.22775190181868	5.58468910251505	6.29498305197274	6.70179335419521	8.1332722940679	5.59274111126366	5.72327619367827	17.9055
LCS_503	55.3353111621776	2519.74071297875	2575.07602414093	0.55454645047659	8.71433959221929	7.06589222786461	3.77257787163243	9.41082749840611	6.6005518082596	6.40574989800048	6.09458259648274	6.21160410221671	5.26042013908001	6.26685034504136	6.65245113364347	9.07110710606773	5.40084963251927	4.04679057567945	20.0911
LCS_504	-382.683021806808	2128.26656484136	1745.58354303455	0.651513464005902	8.88235886911119	6.72791882719769	3.77109928106201	8.61395895648107	6.53469987883184	6.19218899914007	6.1130455005296	6.03686704314373	5.51386087095614	6.62354175500674	6.71187484065196	9.4072074652284	5.46852427058348	4.33542943604365	20.2239
LCS_505	-1042.7325046965	1740.562055554	697.829550857494	0.760040766057954	8.44555985245891	6.1566151032223	3.60146270463658	8.20517926040467	6.177036550414	6.15399867622865	6.0472475345768	6.01624569273035	5.24763496430072	6.51090567553824	6.49959605009522	8.10932530428239	5.15801591837066	4.03908923789063	19.2661
LCS_506	31.9338250645928	2258.86726124236	2290.80108630695	0.588777932623808	8.27728941701589	6.46746816554993	3.60187305180334	8.60727619269688	6.55382370834152	6.2145847601665	5.96907368395835	7.46086707397632	5.4419245165603	6.44343803112098	6.47899848424828	7.56068913463216	5.79246742196854	4.11333350579525	20.0241
LCS_507	-76.5914269340714	1839.28608248695	1762.69465555288	0.649605932443747	8.24232106015876	7.22695940878793	3.52430374004707	10.2726274381247	6.4479458703216	6.65934334687923	5.68991827752254	5.7341666754943	4.940564367391	6.6430452025558	6.63608377864325	8.75118193990643	4.99001686563059	3.94251604525593	19.0162
LCS_508	-2357.11879390502	7.43541463960941	-2349.68337926541	0.966369167370311	7.98610077977297	6.38239687349309	4.18511924486305	6.13651280705766	6.1756364262862	6.20711623358051	5.950724539094	7.36382302577472	5.25082062074073	6.66705284979839	6.52426411043772	7.17193821844083	5.50411686787439	3.93300838373298	17.8986
LCS_509	432.421691219434	3470.01141456103	3902.43310578047	0.38294037764497	7.85653697429382	7.51802150729238	3.36309636206825	7.658980232221	6.27518354830526	6.38772520205678	5.7184825514601	8.17355009378384	5.33508489498826	6.05294280506013	6.87120176975149	7.42319314287566	6.49376227488745	4.39757062164525	18.5255
LCS_510	-1933.48920743981	413.682760319663	-1519.80644712015	0.927959237567297	8.66666767965447	6.3778651960062	3.61003822130447	9.89276368049808	6.06765771780035	5.95629162904448	6.04629908553599	6.2108336416773	5.28888877201717	6.28194343741706	6.62347934148801	7.88933201704305	5.17735968792137	3.9049525980798	19.0475
LCS_511	-747.168870623609	2837.62519011353	2090.45631948992	0.612290490488028	7.93755495167053	6.67511768255211	3.4358281369951	7.34060862971803	6.1123393171757	6.06358822442881	5.8528455299367	5.88780775355488	5.0610514922216	6.36708523517291	6.45872066915125	8.28874736082424	5.20365519203787	4.71232509587423	19.2134
LCS_512	-1438.32455062577	1483.71956840484	45.3950177790673	0.818701290036842	8.38256819240298	7.5947190144499	3.71997997687062	8.36049861776923	6.80635636707587	6.24579204761117	6.21479741662195	6.21559885465273	5.49154248038888	6.86711227762707	6.84091744465259	7.82385782082977	5.54561461528949	4.165232931029	19.0079
LCS_513	-1114.92092951233	1515.53941761458	400.618488102249	0.787660787287152	7.51925088557175	6.27735563931792	3.80565041488905	9.25180394176914	6.39761096658055	6.48020100420578	6.2115959623169	8.126043393326	5.46204631221614	6.78973683147464	6.8955162695082	6.73780615467058	5.23930721220769	4.0962632846204	18.836
LCS_514	-1843.02128116645	-95.5286535184085	-1938.54993468486	0.949099890773949	8.78808246402864	6.78914171332381	3.53397860277044	8.31357593244583	6.93038888597706	6.56482283596967	5.98604264204868	6.01007583311441	5.23605343508342	6.8679494899486	7.38581272028383	8.69456020279892	5.04481035093539	3.78199449661142	17.3651
LCS_515	-337.529136913069	1886.7433412681	1549.21420435503	0.673107311739951	8.29760626078758	6.45026775784305	3.60836652862734	8.43234914447459	6.21669401965625	6.36350871566632	5.90427558865856	6.75769186059497	5.2923204575272	6.470940135683	6.57498317193051	8.32687395370868	5.21657489120674	4.00125746800129	19.9133
LCS_516	-1496.26422088716	391.706039614699	-1104.55818127246	0.903533688588042	8.66861556673096	6.81233964712895	3.43378895286988	7.86460062195888	6.53091600446884	6.3583834813426	5.84065078354633	5.772956588513	5.1460873957528	6.5047673535607	6.99889483847702	8.85684145882775	5.13561510567318	3.65363399431937	19.0484
LCS_517	-814.740814285405	1942.36460270668	1127.62378842127	0.717556039365337	8.11571051701849	6.24731920585436	3.53328341194262	10.220226364429	6.04498704910841	6.42475502376311	6.11940804367649	5.90703099397585	5.24588779335281	6.87484850913485	6.62802138401883	8.29550947581551	4.96588695380603	3.85397576840562	19.263
LCS_518	-170.056475920447	2055.63108749102	1885.57461157057	0.635787728125185	8.22023679289532	7.15126394712632	3.79764028780461	7.90246694948377	6.24457931061354	6.32705959102564	5.7795054121025	5.92685777721397	5.10984906332687	7.56750090533529	7.18014150939666	7.51207960227271	5.2670164693334	5.47129199856954	8.98014
LCS_519	-448.069378761734	1557.41726553608	1109.34788677435	0.719421950979402	8.16864214272085	6.46668945920191	3.50352928157251	8.53867487475964	6.4535092975976	5.74199879349379	5.77689960876381	7.45040991051374	4.97781924423576	6.57519331346276	6.25790254345226	7.08545642515047	5.78805096025611	3.8697545499184	14.8985
LCS_520	-1536.51292492728	1996.73102208341	460.218097156136	0.782240663567048	8.37065812416586	6.64489424127701	3.63051861560228	9.10543018472414	6.88866610171247	6.26712941500129	5.96987079943439	6.00143596562813	5.20086503191433	6.58603658236518	6.48025624988424	8.34232823557174	5.2729861755938	3.74685759463871	18.0221
LCS_524	-129.243492455974	1304.92145980273	1175.67796734676	0.712625254396935	8.89532339739945	6.03418529327957	3.55336091781987	8.67435426286372	6.11156467319261	6.05392705003641	5.99816466813141	7.26354695511124	5.28234647378581	7.21004584731272	7.06481778745997	8.62597879864469	5.32225414698604	3.95603872046729	18.3779
LCS_525	-986.465069122892	1103.26123194575	116.796162822854	0.812638118520169	8.56272652328012	6.73458882390269	3.65466254851399	9.55361464138443	7.26613194285598	6.85578284868259	6.13231619796532	6.26928832049067	5.48212500617748	6.29490949559203	7.35516294079291	8.38712248677125	5.51945533336189	4.02818250962795	19.1795
LCS_527	-172.869873190638	2568.46854896596	2395.59867577532	0.576274704048085	8.92178390305256	6.7524628036807	3.49538529657316	9.13077457466069	6.97383548481046	6.22107051248163	5.78372016601303	8.65945286686474	5.24438933649084	6.03084739438644	7.22453195955751	8.62193966153293	5.40718112670332	4.1489347312293	19.6647
LCS_528	-253.908643110841	4462.34285362128	4208.43421051044	0.34107459294862	7.62915901090826	6.83372796716872	3.7412552471738	6.94331339148127	6.1147368997842	6.12509412359448	6.1332442908206	6.72828028550185	5.55428001378253	6.27385044385102	6.52882374601481	6.52746496710738	5.39186233277768	6.55144852081307	8.98014
LCS_529	-1683.00775373879	386.884725608618	-1296.12302813017	0.915224593848394	7.90911222274428	7.88536113659167	3.94187091364326	7.39191721823843	6.51313480172284	6.04330320818828	5.99932306307967	5.95604248685958	5.18978886456536	6.2031288068932	6.8460577314952	8.63973933766321	5.12506711625631	3.78067567717031	19.6826
LCS_530	-1722.81588282704	881.415951816198	-841.399931010843	0.886310772109038	7.26626291171813	7.25611896392476	3.46401111117392	8.6770944791301	6.59139790467021	6.09581318053259	5.71527340739495	7.56444755702938	4.90229618290014	6.35266722124208	6.64736879416869	7.14460752333144	5.518306676577	3.81193727914754	18.7818
