ID	StromalScore_mic	ImmuneScore_mic	ESTIMATEScore_mic	TumorPurity_mic	SLC22A6_RNA	SLC22A8_RNA	KYAT3_RNA	KYAT1_RNA	AADAT_RNA	meta
LCS_501	-470.672697732706	2080.42831690595	1609.75561917325	0.666508648918248	5.30168090656918	4.76585516775051	6.44345086626195	5.836011298089	5.9170079608105	11.5314
LCS_502	673.077446092575	3014.57890163221	3687.65634772478	0.411868810235354	5.65163398793962	5.08884936461365	5.80234382552874	6.01085817383756	5.66206251221631	11.5314
LCS_503	55.3353111621776	2519.74071297875	2575.07602414093	0.55454645047659	5.54933940261474	5.13441598135346	6.07363497332143	6.21164207706492	5.68283912683606	11.5314
LCS_504	-382.683021806808	2128.26656484136	1745.58354303455	0.651513464005902	5.79108194182597	5.16096041932206	6.25855973778775	5.95823468358741	5.82309594141786	15.9983
LCS_505	-1042.7325046965	1740.562055554	697.829550857494	0.760040766057954	5.73882801245308	5.08669988476573	6.10087970388245	6.04889431301945	5.83226391871131	11.5314
LCS_506	31.9338250645928	2258.86726124236	2290.80108630695	0.588777932623808	5.81291408640838	5.0523261577192	6.34025464108711	6.01957693954153	5.74598937142152	11.5314
LCS_507	-76.5914269340714	1839.28608248695	1762.69465555288	0.649605932443747	5.3080137373834	4.57045386469112	6.25030448366769	6.01479699922563	6.00260406080188	14.8874
LCS_508	-2357.11879390502	7.43541463960941	-2349.68337926541	0.966369167370311	5.67671137993127	4.97803516369134	6.23509288631898	6.04731811033993	5.67611211495018	11.5314
LCS_509	432.421691219434	3470.01141456103	3902.43310578047	0.38294037764497	5.22815952748645	4.61129931456798	6.23236162921125	6.02693223527251	5.32883931657739	11.5314
LCS_510	-1933.48920743981	413.682760319663	-1519.80644712015	0.927959237567297	5.79420476360839	5.09227080097265	6.45022598308641	6.68981683644839	5.64912951407006	16.2054
LCS_511	-747.168870623609	2837.62519011353	2090.45631948992	0.612290490488028	5.452572096629	5.33811755239027	5.80355617144431	6.08142230958321	5.20754216143297	16.8942
LCS_512	-1438.32455062577	1483.71956840484	45.3950177790673	0.818701290036842	5.78337536259173	5.13476381814063	5.8466964811133	6.21995026456768	5.40098005814225	16.7507
LCS_513	-1114.92092951233	1515.53941761458	400.618488102249	0.787660787287152	5.81226996730142	5.09874343919836	5.56057447391066	6.14063460841062	5.27239227108876	15.6469
LCS_514	-1843.02128116645	-95.5286535184085	-1938.54993468486	0.949099890773949	5.73013889212026	5.05125964189011	5.87302048550564	6.45720426356215	6.57310737368402	15.1972
LCS_515	-337.529136913069	1886.7433412681	1549.21420435503	0.673107311739951	5.50056272507592	4.86269927118943	6.15620662985604	6.05146121168324	5.40656535791783	15.2952
LCS_516	-1496.26422088716	391.706039614699	-1104.55818127246	0.903533688588042	5.71692328399578	4.95745327390577	6.36262853841092	5.97383025691775	6.61841258949822	15.1598
LCS_517	-814.740814285405	1942.36460270668	1127.62378842127	0.717556039365337	5.72588976977172	4.91213445143976	6.01315257959581	7.154312364645	6.16387165837498	13.2332
LCS_518	-170.056475920447	2055.63108749102	1885.57461157057	0.635787728125185	5.40376389399893	4.8092134895302	6.31536747288007	6.48081557395533	5.63897237386787	16.5287
LCS_519	-448.069378761734	1557.41726553608	1109.34788677435	0.719421950979402	5.36076990704694	4.75364405806364	5.98827493040378	6.19194535041682	5.29212298881324	15.5699
LCS_520	-1536.51292492728	1996.73102208341	460.218097156136	0.782240663567048	5.7365779660021	5.0611324789039	6.67357902428415	6.32276725652178	5.50574434223059	11.5314
LCS_524	-129.243492455974	1304.92145980273	1175.67796734676	0.712625254396935	5.53526158118498	4.96427459182803	6.17379014867262	6.41616457882434	6.07758829875863	15.8625
LCS_525	-986.465069122892	1103.26123194575	116.796162822854	0.812638118520169	5.71657423015819	5.19093655194149	6.14774683017126	6.75943144165052	7.10386122114694	11.5314
LCS_527	-172.869873190638	2568.46854896596	2395.59867577532	0.576274704048085	5.50454720746574	4.77027113235762	6.23772465981138	6.15214443269858	5.9675536817934	19.2189
LCS_528	-253.908643110841	4462.34285362128	4208.43421051044	0.34107459294862	5.57567447127209	5.07025884390197	5.9206239764987	6.15419254265886	5.21067347400919	11.5314
LCS_529	-1683.00775373879	386.884725608618	-1296.12302813017	0.915224593848394	5.6132123935401	4.86935663880333	6.1342428338824	5.98066344036473	6.12951988830587	11.5314
LCS_530	-1722.81588282704	881.415951816198	-841.399931010843	0.886310772109038	5.52511967344298	4.75562807700725	6.54924859623915	5.92884298817277	5.59121761736336	13.7749
LCS_536	968.628452432619	3163.35025632939	4131.97870876201	0.351602712982951	5.24410415770817	4.62807568579358	5.99128009254154	6.04349938441774	5.89123510061135	15.0061
LCS_537	-374.365567996126	3921.32548775548	3546.95991975935	0.430599181892479	5.44437851630655	4.85116411650692	6.41438661948457	6.2318809674903	5.60494460425078	15.968
LCS_539	-1246.96105932859	571.711710387345	-675.249348941243	0.874753991438372	5.6202340218566	5.0131154775758	6.48278660543347	6.1097319617085	6.25417813429365	11.5314
LCS_540	-1859.11538149709	558.007462080499	-1301.10791941659	0.915519192758418	5.58384385813206	5.03790402537255	5.82754965098413	6.3421184254176	5.26710523783289	11.7087
LCS_541	-684.751933731234	1991.14725788875	1306.39532415752	0.699033802923045	5.29948834882272	4.73208040562966	6.23600720219462	5.99565784341609	5.59241413500102	11.5314
