ID	StromalScore_mic	ImmuneScore_mic	ESTIMATEScore_mic	TumorPurity_mic	ACOT8_RNA	meta
LCS_501	-470.672697732706	2080.42831690595	1609.75561917325	0.666508648918248	5.54588691538435	18.7679
LCS_502	673.077446092575	3014.57890163221	3687.65634772478	0.411868810235354	5.77199850813232	14.7805
LCS_503	55.3353111621776	2519.74071297875	2575.07602414093	0.55454645047659	5.81817604939084	19.6752
LCS_504	-382.683021806808	2128.26656484136	1745.58354303455	0.651513464005902	5.69377669585169	14.7805
LCS_505	-1042.7325046965	1740.562055554	697.829550857494	0.760040766057954	5.55602712599259	17.7182
LCS_506	31.9338250645928	2258.86726124236	2290.80108630695	0.588777932623808	5.8784094402875	14.7805
LCS_507	-76.5914269340714	1839.28608248695	1762.69465555288	0.649605932443747	6.14206821172726	18.4457
LCS_508	-2357.11879390502	7.43541463960941	-2349.68337926541	0.966369167370311	5.53471316977687	18.2754
LCS_509	432.421691219434	3470.01141456103	3902.43310578047	0.38294037764497	5.88988195857938	18.8332
LCS_510	-1933.48920743981	413.682760319663	-1519.80644712015	0.927959237567297	5.64117956164053	19.3005
LCS_511	-747.168870623609	2837.62519011353	2090.45631948992	0.612290490488028	5.78513589444323	16.994
LCS_512	-1438.32455062577	1483.71956840484	45.3950177790673	0.818701290036842	6.04590694270447	19.598
LCS_513	-1114.92092951233	1515.53941761458	400.618488102249	0.787660787287152	5.80143634100077	14.7805
LCS_514	-1843.02128116645	-95.5286535184085	-1938.54993468486	0.949099890773949	5.64906990092528	20.6224
LCS_515	-337.529136913069	1886.7433412681	1549.21420435503	0.673107311739951	5.75002830308798	20.2013
LCS_516	-1496.26422088716	391.706039614699	-1104.55818127246	0.903533688588042	5.80587195826218	20.1786
LCS_517	-814.740814285405	1942.36460270668	1127.62378842127	0.717556039365337	5.46105743908183	18.1989
LCS_518	-170.056475920447	2055.63108749102	1885.57461157057	0.635787728125185	5.61704733766794	19.7942
LCS_519	-448.069378761734	1557.41726553608	1109.34788677435	0.719421950979402	5.63400957110779	17.9308
LCS_520	-1536.51292492728	1996.73102208341	460.218097156136	0.782240663567048	5.98350447851374	19.2541
LCS_524	-129.243492455974	1304.92145980273	1175.67796734676	0.712625254396935	5.70151954133165	19.9163
LCS_525	-986.465069122892	1103.26123194575	116.796162822854	0.812638118520169	6.0493769166922	20.3444
LCS_527	-172.869873190638	2568.46854896596	2395.59867577532	0.576274704048085	5.8206867050764	14.7805
LCS_528	-253.908643110841	4462.34285362128	4208.43421051044	0.34107459294862	5.82199800858693	14.7805
LCS_529	-1683.00775373879	386.884725608618	-1296.12302813017	0.915224593848394	5.71028774802395	19.2843
LCS_530	-1722.81588282704	881.415951816198	-841.399931010843	0.886310772109038	5.87015591076412	14.7805
LCS_536	968.628452432619	3163.35025632939	4131.97870876201	0.351602712982951	5.48737951004539	14.7805
LCS_537	-374.365567996126	3921.32548775548	3546.95991975935	0.430599181892479	5.53926872651218	20.0191
LCS_539	-1246.96105932859	571.711710387345	-675.249348941243	0.874753991438372	5.67600495975803	19.155
LCS_540	-1859.11538149709	558.007462080499	-1301.10791941659	0.915519192758418	5.79084962588115	18.8043
LCS_541	-684.751933731234	1991.14725788875	1306.39532415752	0.699033802923045	5.42724865496483	19.9168
LCS_542	-2140.00594716023	172.764791253783	-1967.24115590644	0.950418000052259	6.29528658287519	14.7805
LCS_543	-442.943505956796	1786.48705234122	1343.54354638442	0.695124102726048	5.72958159703373	14.7805
