ID	StromalScore_mic	ImmuneScore_mic	ESTIMATEScore_mic	TumorPurity_mic	GOT1_RNA	GOT2_RNA	TAT_RNA	MPC1_RNA	SLC16A7_RNA	SLC16A3_RNA	MPC2_RNA	SLC16A1_RNA	HPD_RNA	MIF_RNA	meta
LCS_501	-470.672697732706	2080.42831690595	1609.75561917325	0.666508648918248	9.14611573234627	7.89088252163871	6.23915163788008	7.04240961188858	7.00691199104675	6.48433329865896	9.55224984069518	6.97483951001549	8.25218927620535	9.21153359470291	16.0427
LCS_502	673.077446092575	3014.57890163221	3687.65634772478	0.411868810235354	9.04312032943815	8.4572275627737	9.05224170695884	6.65483326485355	6.26169555726969	6.48773048049764	8.95679930905933	6.56484784501231	10.2704238838795	8.95256325213554	16.8556
LCS_503	55.3353111621776	2519.74071297875	2575.07602414093	0.55454645047659	8.98420244099366	8.9154952035792	11.8594155521971	8.05287753294536	6.45313245596481	6.48938909302744	8.84262801361196	6.98074847401024	11.039368840833	8.12752347138698	15.9775
LCS_504	-382.683021806808	2128.26656484136	1745.58354303455	0.651513464005902	7.96378680330088	9.15973743114128	11.6728188112762	7.21536375395874	6.79878800110318	6.28170008298661	8.91972616840008	8.21096337917273	11.4601032343222	8.34612366812547	16.3214
LCS_505	-1042.7325046965	1740.562055554	697.829550857494	0.760040766057954	9.07072417880423	8.85604944953378	4.97102760979422	6.87370435612289	5.39291977713685	6.38172732157348	9.82557823128326	6.81880325247256	8.85134408594374	7.94712921694057	11.4661
LCS_506	31.9338250645928	2258.86726124236	2290.80108630695	0.588777932623808	8.97105904576572	8.22298675411118	7.97085757629416	7.53731661145678	6.13484261565044	6.638580474436	9.3196625847771	7.26785475753174	8.25193466572605	8.08087899530571	15.9768
LCS_507	-76.5914269340714	1839.28608248695	1762.69465555288	0.649605932443747	9.99905993731123	7.75619286888828	11.783275920018	8.06171154694645	6.07043600145076	5.83847615473989	9.35647454985268	6.65176482877263	10.9875258531301	7.89194336442425	16.6108
LCS_508	-2357.11879390502	7.43541463960941	-2349.68337926541	0.966369167370311	7.04541176665546	7.45486793429135	5.95196065465868	6.78941832222559	6.15125655277784	6.6118236624341	10.215999284075	6.57686232402148	7.57372215981647	8.60881967504315	16.0231
LCS_509	432.421691219434	3470.01141456103	3902.43310578047	0.38294037764497	9.78784732310646	8.291330133426	4.53151316002837	7.76636011923018	7.78601552272222	6.43680566278291	9.27902480426576	7.33973410398158	5.24199234245027	9.26607521070582	16.9754
LCS_510	-1933.48920743981	413.682760319663	-1519.80644712015	0.927959237567297	9.31740852669064	9.18383462527054	8.755554504327	8.25376378480492	7.17379647900952	6.20597233567355	9.08967968917958	7.1789776046073	10.159982730147	8.1860258264479	16.6137
