ID	StromalScore_mic	ImmuneScore_mic	ESTIMATEScore_mic	TumorPurity_mic	SLCO1B3_RNA	SLCO1A2_RNA	ABCC3_RNA	SLC10A2_RNA	ABCC11_RNA	BAAT_RNA	SLC10A1_RNA	ABCB11_RNA	SULT2A1_RNA	meta
LCS_501	-470.672697732706	2080.42831690595	1609.75561917325	0.666508648918248	10.1726502198871	3.26327741532742	8.21951065692241	3.23776748763301	4.7523529342921	9.03762233766838	7.88151082013435	5.59776049183288	6.20113211946226	19.2786
LCS_502	673.077446092575	3014.57890163221	3687.65634772478	0.411868810235354	5.7456639846149	3.09415481524961	8.70065828573848	3.47902556335984	4.93420715638767	10.4043239491836	8.39069216692309	6.87423544483866	8.73393726825711	19.0221
LCS_503	55.3353111621776	2519.74071297875	2575.07602414093	0.55454645047659	10.7693832251347	3.53344216141025	8.78968516312116	3.24612151375654	5.26859941401027	11.5748738655826	9.62059921008727	8.46112051003053	10.0503140210933	12.6202
LCS_504	-382.683021806808	2128.26656484136	1745.58354303455	0.651513464005902	10.6020352649821	3.11870155068163	8.05501709979477	3.32786679890711	5.11076659354957	11.7988236024917	8.72454226845305	8.81366229238157	10.0707962469543	18.6823
LCS_505	-1042.7325046965	1740.562055554	697.829550857494	0.760040766057954	10.6015939815432	3.32462995885054	6.83566839108335	3.24835169709893	4.96153216016701	8.6879705862026	5.1994160375586	8.39661458313386	6.55059600538633	12.6202
LCS_506	31.9338250645928	2258.86726124236	2290.80108630695	0.588777932623808	8.39365779875081	3.15597314887293	8.95566735010655	3.0602178448656	4.97009493421897	9.75499670730138	5.90521931373222	5.98945996432249	8.18058525914609	16.0191
LCS_507	-76.5914269340714	1839.28608248695	1762.69465555288	0.649605932443747	10.3196661411092	3.40532251022338	8.93253466563499	2.98474301010122	4.72727467798753	11.1604925438088	10.9418234570012	9.97145415990742	9.7085333201285	20.6906
LCS_508	-2357.11879390502	7.43541463960941	-2349.68337926541	0.966369167370311	3.78453098280226	4.4722660328046	9.32397509536583	3.16468991671819	4.99152977250824	9.67723379457423	5.04764629386574	5.43580117869149	4.84772772607191	12.6202
LCS_509	432.421691219434	3470.01141456103	3902.43310578047	0.38294037764497	5.75319345508659	3.17611734004158	7.0994910499806	3.23174000026996	4.50378723048548	10.1637635828096	4.74255837201606	3.58840785905313	6.39525116416677	16.3432
LCS_510	-1933.48920743981	413.682760319663	-1519.80644712015	0.927959237567297	9.31549137236877	3.51975012315592	6.89153451173182	3.03829086278443	5.21191104273375	9.29276467529	7.31976385867752	6.43823476028101	8.55258362525113	16.4165
LCS_511	-747.168870623609	2837.62519011353	2090.45631948992	0.612290490488028	10.2877970227773	3.73461780685269	6.97769342341351	3.0633208079684	4.52315462673885	10.1699794917332	4.91447843906019	4.81238685805912	6.56152841564146	14.0997
LCS_512	-1438.32455062577	1483.71956840484	45.3950177790673	0.818701290036842	9.67101503064689	3.10137440505288	8.47680780528185	3.31399024360825	5.12517503193994	10.6772090397436	9.96912446859107	7.83987798136998	9.86137784632435	19.5911
LCS_513	-1114.92092951233	1515.53941761458	400.618488102249	0.787660787287152	6.37530585776127	3.05944594257748	8.59417998949942	3.30764120011173	5.0145164077288	10.4416894666188	8.76631143931566	5.86448579944197	7.27895638845079	15.5377
LCS_514	-1843.02128116645	-95.5286535184085	-1938.54993468486	0.949099890773949	4.64595860855815	3.12956976751526	9.29342570905576	3.07717613990381	5.42034435394294	11.8255679369252	11.1655655233271	10.0311089645132	9.8527407207684	20.2762
LCS_515	-337.529136913069	1886.7433412681	1549.21420435503	0.673107311739951	9.66466366098125	2.93509877915464	7.91686235052166	3.17018865970657	4.7159632983248	10.377466090092	8.25018393189529	7.92964241686065	8.71102830867054	19.232
LCS_516	-1496.26422088716	391.706039614699	-1104.55818127246	0.903533688588042	11.5631269790842	3.00438315136364	8.5286419129955	3.15518908997555	4.84220142154185	11.4536273808459	10.702324897025	10.6753449087937	9.11729961194166	22.414
