ID	StromalScore_mic	ImmuneScore_mic	ESTIMATEScore_mic	TumorPurity_mic	CHAT_RNA	SLCO1A2_RNA	SLC22A3_RNA	SLCO1B3_RNA	SLC22A1_RNA	SLC22A2_RNA	SLC7A9_RNA	SLC18A3_RNA	BCHE_RNA	ACHE_RNA	meta
LCS_501	-470.672697732706	2080.42831690595	1609.75561917325	0.666508648918248	5.59360461184585	3.26327741532742	7.61892890451715	10.1726502198871	5.81822535755211	3.30707784857589	6.39254358045881	8.86489786647812	5.90727361236365	5.94468237570242	9.95565
LCS_502	673.077446092575	3014.57890163221	3687.65634772478	0.411868810235354	5.8139878316945	3.09415481524961	6.34036108944286	5.7456639846149	8.15867803582001	3.3564505187725	6.48701884476944	9.45154247104118	6.3277150209925	6.34776710814075	9.95565
LCS_503	55.3353111621776	2519.74071297875	2575.07602414093	0.55454645047659	5.88451045974282	3.53344216141025	8.28151776628086	10.7693832251347	10.1995162965372	3.56394484522658	6.28832157557416	9.39235121867159	5.37009065406821	6.24850251637572	15.6478
LCS_504	-382.683021806808	2128.26656484136	1745.58354303455	0.651513464005902	5.95600427917883	3.11870155068163	8.86546058540966	10.6020352649821	7.81153487903902	3.41716372702104	6.11283856199526	9.35326690034394	5.10562250824034	6.35643131833538	19.5781
LCS_505	-1042.7325046965	1740.562055554	697.829550857494	0.760040766057954	5.79535785347698	3.32462995885054	7.8873570709783	10.6015939815432	5.86878373787842	3.36840867358345	7.36521619552453	9.18747020105062	6.41463417187563	6.28283927286012	18.7668
LCS_506	31.9338250645928	2258.86726124236	2290.80108630695	0.588777932623808	5.86548300340993	3.15597314887293	7.26655192637187	8.39365779875081	6.35419295351576	3.3578836130635	7.0369326889572	9.4437437452738	4.21698926756685	6.29840909721951	17.3884
LCS_507	-76.5914269340714	1839.28608248695	1762.69465555288	0.649605932443747	5.42247530698645	3.40532251022338	9.23249361925336	10.3196661411092	9.36198818461364	3.29036338602817	6.81566569967007	8.61252039170184	6.08693840376848	5.87684261702033	17.3461
LCS_508	-2357.11879390502	7.43541463960941	-2349.68337926541	0.966369167370311	5.80303464758879	4.4722660328046	5.55519518127271	3.78453098280226	5.70955549500078	3.33835489943617	7.41309664579319	9.01293522347413	5.75810177788523	6.30328571550175	19.9499
LCS_509	432.421691219434	3470.01141456103	3902.43310578047	0.38294037764497	5.39385447407738	3.17611734004158	5.7637967228172	5.75319345508659	5.7539102840316	3.21093658798693	4.98841075485041	8.87451937968851	5.79976759633264	5.84805048979001	21.7558
LCS_510	-1933.48920743981	413.682760319663	-1519.80644712015	0.927959237567297	5.76965168550889	3.51975012315592	7.82536500857693	9.31549137236877	5.82899545655937	3.30020325470293	6.57254867837626	8.6608727200744	3.82853587756109	6.13121655336349	18.3294
LCS_511	-747.168870623609	2837.62519011353	2090.45631948992	0.612290490488028	5.59331605037127	3.73461780685269	7.65825055368544	10.2877970227773	5.77195064253497	3.27333845317958	6.5098227061267	8.71686791843394	5.69202852543105	5.9802471817476	19.6465
LCS_512	-1438.32455062577	1483.71956840484	45.3950177790673	0.818701290036842	5.9104690512513	3.10137440505288	8.03911724492327	9.67101503064689	7.07348615235075	3.38134231166621	6.54417458717437	9.12325416225761	4.10381196985483	6.64535436542988	19.3485
LCS_513	-1114.92092951233	1515.53941761458	400.618488102249	0.787660787287152	5.96168755893939	3.05944594257748	7.58456420552847	6.37530585776127	6.14165811891265	3.45604328725902	6.75555966504555	9.28012626459673	3.52121018818888	6.67529566913263	18.3496
LCS_514	-1843.02128116645	-95.5286535184085	-1938.54993468486	0.949099890773949	5.80606298636609	3.12956976751526	7.54474145624732	4.64595860855815	11.3498754748272	3.54392059425002	6.24227780845097	9.0948918503456	4.75519007631266	6.24135115477776	18.8125
LCS_515	-337.529136913069	1886.7433412681	1549.21420435503	0.673107311739951	5.65971619548813	2.93509877915464	7.535033877135	9.66466366098125	7.51648937664649	3.28815175174066	6.64072258865752	8.95491462262386	5.25069231765935	6.1878933566753	17.1666
LCS_516	-1496.26422088716	391.706039614699	-1104.55818127246	0.903533688588042	5.75752970524529	3.00438315136364	9.68600781248034	11.5631269790842	9.65224408304164	3.27786482360985	6.64036031974502	8.64112120766899	5.97611127259635	6.10216326859263	18.4706
LCS_517	-814.740814285405	1942.36460270668	1127.62378842127	0.717556039365337	5.74063418914791	3.25133194369037	6.17545929428171	4.04053995255181	8.49041632867917	3.35750350676499	7.32560232741346	8.79206758549312	7.38184645066671	6.36079396923416	16.7855
LCS_518	-170.056475920447	2055.63108749102	1885.57461157057	0.635787728125185	5.52452239733009	3.05376156470113	6.81755011608072	4.32598892653911	5.54063058617892	3.23421960802683	5.93401135325568	9.0986236958367	5.61402874544689	6.1706937193524	17.1699
LCS_519	-448.069378761734	1557.41726553608	1109.34788677435	0.719421950979402	5.38524746543438	3.09252886829183	8.35958729847467	5.94384687784557	8.42167450179457	3.22364868698068	7.1132422749759	8.58621454212306	6.45311786616308	5.84207911207023	17.6737
LCS_520	-1536.51292492728	1996.73102208341	460.218097156136	0.782240663567048	5.70631365438205	2.92139701227012	7.24539283290486	9.82169445348869	6.28919704931809	3.3059068286793	7.06858174486279	8.85858885918023	5.7583527645824	6.05923911015778	20.3747
LCS_524	-129.243492455974	1304.92145980273	1175.67796734676	0.712625254396935	5.70866686072456	2.89430328424762	6.59753142904402	5.697825599747	8.86320025151338	3.28676207648722	6.64086487389508	8.73326526191275	4.03990385979071	6.24776214138775	17.3361
LCS_525	-986.465069122892	1103.26123194575	116.796162822854	0.812638118520169	5.99624718863053	3.40390287706075	6.99003843349735	4.45313697790127	11.1090435408767	3.7488220844286	7.22718999624954	9.31191778214607	6.18023726582152	6.6281317102225	18.5421
LCS_527	-172.869873190638	2568.46854896596	2395.59867577532	0.576274704048085	5.62770911147532	3.12430647525306	8.36570598128447	10.320032701607	10.4454715921787	3.32806269708209	7.1382470443396	8.88551649417409	5.09030144231624	6.04502801934691	17.4243
LCS_528	-253.908643110841	4462.34285362128	4208.43421051044	0.34107459294862	5.90761365820277	3.75454253722948	6.84415679768251	3.92265371056634	6.07160822721458	3.46888146952836	5.14395229334651	9.45120932734826	3.95936359210867	6.39392460675492	9.95565
LCS_529	-1683.00775373879	386.884725608618	-1296.12302813017	0.915224593848394	5.75000310185504	3.50915012995151	8.68753826174503	11.0987148553286	6.15871456961696	3.34073906303247	6.35641985896199	9.16621541132834	4.60709228290758	6.27390585278622	16.0585
LCS_530	-1722.81588282704	881.415951816198	-841.399931010843	0.886310772109038	5.4680585137971	3.26813299782395	7.27638101767306	3.96686254622286	8.66043972099351	3.2790324206164	7.20964667086057	8.73808511246684	4.98886704350021	5.87570087110023	18.0101
LCS_536	968.628452432619	3163.35025632939	4131.97870876201	0.351602712982951	5.38586217195956	2.85436947191863	5.75648458900661	9.51867872331892	5.36808600745419	3.22024002144231	5.3970983248972	8.82589823871452	7.44463628102084	5.98062978320403	9.95565
LCS_537	-374.365567996126	3921.32548775548	3546.95991975935	0.430599181892479	5.59415890676005	2.99111062222455	7.02492152765376	4.33871603634212	6.44158272150272	3.33051299232884	7.05198536703427	9.05316661365646	6.24242371829825	6.22240011977863	9.95565
LCS_539	-1246.96105932859	571.711710387345	-675.249348941243	0.874753991438372	5.79648484395768	3.05524954372549	8.39626823095786	10.0984087494383	9.29190944550303	3.36398227880787	7.39031138145618	9.39487093870824	7.22982990318136	6.11774310119091	9.95565
LCS_540	-1859.11538149709	558.007462080499	-1301.10791941659	0.915519192758418	5.82454076802788	3.28508277742388	7.58992430615116	3.89718500312746	7.24517230723601	3.33218927029517	6.35077631832415	8.82669043843845	5.87942786380526	6.25353527750656	9.95565
LCS_541	-684.751933731234	1991.14725788875	1306.39532415752	0.699033802923045	5.6517574651631	4.72051467988921	7.83502449025609	9.39382194757796	5.66883994675967	3.33771328302822	7.53901972786085	8.8643341470883	4.76702811454613	6.08722101608665	9.95565
LCS_542	-2140.00594716023	172.764791253783	-1967.24115590644	0.950418000052259	5.64123921898229	3.43607417406944	7.63020260562514	3.55333711148641	7.91068474782587	3.34185257420855	8.4417594017114	8.71848769228679	6.69770569377162	6.68567901373326	15.7745
LCS_543	-442.943505956796	1786.48705234122	1343.54354638442	0.695124102726048	5.73246390385344	3.62200476542796	7.02739636144047	10.4843302836042	10.9934004605669	3.49769209840704	6.76627273369677	9.1652551498124	7.11523435827549	6.21305500420282	15.9859
LCS_544	-1768.41777608032	665.595646369296	-1102.82212971103	0.903424459292441	5.5276357810236	3.24831687456879	8.56168503025728	10.1075242040216	8.05132794405009	3.3283953790222	7.35225969243162	8.83994000694386	5.51799347384353	6.06185785335584	19.8357
LCS_545	-894.493605390053	1580.18230191996	685.68869652991	0.761197725217868	5.62045725499375	3.03310218906553	8.23970702205378	10.2569118867677	7.00799519040267	3.32851205005608	6.76853175836421	8.99462716379019	6.95249963545699	5.97988815903962	9.95565
LCS_546	-256.696376528105	834.987144963546	578.290768435441	0.771326480861476	5.7286863106094	3.08623348436495	6.46008698880228	5.1040384477029	5.65348960084246	3.24515529604241	5.99740739013686	8.77484983958775	4.4054987788501	6.11822988835946	18.1176
LCS_547	-658.284389976838	1388.69922242498	730.414832448137	0.756923637762204	5.49248737939567	2.96987001283098	7.93862333788997	9.80502435675275	7.33071385421613	3.30212292950037	7.12957159294289	8.9869749977491	4.75195857992541	5.93551854586003	19.3182
LCS_548	279.772042887333	3052.18030474733	3331.95234763466	0.458864839837542	5.79943200276524	3.84260865502196	5.65363789411657	9.36927003763396	8.85336886442875	3.22403599689905	6.84415412783676	8.86069508942844	6.30460147991231	6.35419149507403	9.95565
LCS_549	-679.27241256799	1344.65767212879	665.385259560799	0.763127131413909	5.87852095569581	2.99358649246815	7.22568633313713	6.59623601955705	7.90101363312296	3.46751496225199	7.3094553511735	8.97884032452139	4.21618013039367	6.70082826009063	14.898
LCS_550	-926.21720202217	1097.997848259	171.780646236826	0.807908126279973	5.54602821988847	3.00090127694725	6.78905510653599	4.40876168333356	10.2531279641461	3.42871218547058	6.65658791057362	8.93004066956148	5.73675435610969	5.94506138777881	18.954
LCS_551	885.332179694325	4283.1833521003	5168.51553179462	0.205653074782108	5.39562074672353	3.07136386713485	8.19424196262407	6.24061143154042	8.96975332460374	3.22128532299736	6.5244198865256	8.49623067657096	5.62879427209911	5.7501580555083	19.356
LCS_552	448.518530435538	1988.03634297334	2436.55487340888	0.571351062178	5.54261407870389	2.96013594933118	7.15027828118485	9.44484240534879	6.91854683456461	3.28020372471492	6.60223298905072	8.87312150268187	4.66693094256196	6.004421764206	19.7235
LCS_553	-765.244071148196	1182.35506205567	417.110990907474	0.786166936955717	5.50375551976653	3.01841715173231	8.92258825601703	10.1147190999345	7.74211981710439	3.32820717338732	6.8296105394238	8.77453203969442	5.05645713113944	5.96413253895421	18.2488
LCS_557	-731.070028069615	2540.34282216622	1809.2727940966	0.644392717031367	5.58470008110813	3.16835531553173	5.80920527265656	4.32260342919218	5.5384323801404	3.36013223703643	5.26524287930896	9.15930121192327	3.90176321710364	6.09013277399286	18.3307
LCS_558	-735.535888804043	1261.00005828588	525.464169481838	0.776238406216948	5.56876677873446	3.44555136344767	9.13526442461247	11.0421090335962	11.0899071714449	3.56791621487015	6.22256259879066	8.89566178950224	5.85606453004684	5.91499996711136	18.5644
