ID	StromalScore_mic	ImmuneScore_mic	ESTIMATEScore_mic	TumorPurity_mic	ABCB1_RNA	ABCC3_RNA	CYP2E1_RNA	UGT1A1_RNA	CYP2A6_RNA	SULT1A1_RNA	meta
LCS_501	-470.672697732706	2080.42831690595	1609.75561917325	0.666508648918248	7.26619237615512	8.21951065692241	7.11336530334968	7.6396517653696	5.10908134014506	6.82666153303995	17.4508
LCS_502	673.077446092575	3014.57890163221	3687.65634772478	0.411868810235354	8.02799717868551	8.70065828573848	7.16366237946323	9.01458580975572	9.46200474889615	6.70571172218194	12.4617
LCS_503	55.3353111621776	2519.74071297875	2575.07602414093	0.55454645047659	7.55165644563312	8.78968516312116	10.3305851910468	9.50835264394393	9.44580401286198	6.99194775064307	18.9336
LCS_504	-382.683021806808	2128.26656484136	1745.58354303455	0.651513464005902	7.29034577462308	8.05501709979477	11.5382808955142	8.63699240826631	5.71464879724076	6.32558539651979	11.7181
LCS_505	-1042.7325046965	1740.562055554	697.829550857494	0.760040766057954	7.07000412848621	6.83566839108335	10.1164687082373	7.76741775280678	5.62100368510581	6.37493471785857	14.6792
LCS_506	31.9338250645928	2258.86726124236	2290.80108630695	0.588777932623808	6.73900365409157	8.95566735010655	8.55861522847382	8.57679577082646	7.44153814961455	6.80281036966672	11.7181
LCS_507	-76.5914269340714	1839.28608248695	1762.69465555288	0.649605932443747	8.80787209780012	8.93253466563499	10.6113458207496	9.32976321224321	9.56776655013284	6.1880936415532	17.4312
LCS_508	-2357.11879390502	7.43541463960941	-2349.68337926541	0.966369167370311	6.98627231434455	9.32397509536583	5.29165995665757	9.39328129416181	7.85963496040416	6.65214392881868	17.9311
LCS_509	432.421691219434	3470.01141456103	3902.43310578047	0.38294037764497	7.47306849916716	7.0994910499806	5.47448437555519	9.48845105273877	4.98410894364786	6.09232690702246	18.6879
LCS_510	-1933.48920743981	413.682760319663	-1519.80644712015	0.927959237567297	4.86388819546119	6.89153451173182	11.4156720234557	7.79150029696036	7.37098584811267	6.83814575431929	11.7181
LCS_511	-747.168870623609	2837.62519011353	2090.45631948992	0.612290490488028	5.00969760204673	6.97769342341351	9.71892055080317	5.88322960907451	4.98391178330062	6.02823676168166	17.281
LCS_512	-1438.32455062577	1483.71956840484	45.3950177790673	0.818701290036842	7.50583179705248	8.47680780528185	8.89805729284073	8.95256695699036	8.08432600862484	7.06295254304015	11.7181
LCS_513	-1114.92092951233	1515.53941761458	400.618488102249	0.787660787287152	4.40589839947109	8.59417998949942	6.21362722909486	5.80922720004924	8.63308565204948	7.09935944720789	11.7181
LCS_514	-1843.02128116645	-95.5286535184085	-1938.54993468486	0.949099890773949	6.45216200362866	9.29342570905576	7.86323158774448	8.93616002864583	11.246254441841	6.85356106928609	14.7109
LCS_515	-337.529136913069	1886.7433412681	1549.21420435503	0.673107311739951	4.65243839283965	7.91686235052166	10.9476079710502	7.34367327211747	6.27336669344236	6.3880635229325	15.9722
LCS_516	-1496.26422088716	391.706039614699	-1104.55818127246	0.903533688588042	8.58081118107837	8.5286419129955	11.5498539017115	9.69689440115942	8.85530098475425	6.74169375775184	18.2267
LCS_517	-814.740814285405	1942.36460270668	1127.62378842127	0.717556039365337	7.36628611501003	9.36429572937423	5.26399894594296	8.78287953842777	11.7471325228474	8.30986543395496	11.7181
LCS_518	-170.056475920447	2055.63108749102	1885.57461157057	0.635787728125185	6.93674730535023	8.12877143895036	10.8480258054642	8.41995460613075	6.71846364545776	6.45912369045097	11.7181
LCS_519	-448.069378761734	1557.41726553608	1109.34788677435	0.719421950979402	7.26388569001666	9.42360430179768	8.05245436415642	9.05002776614926	7.51438509380683	6.59414248574419	11.7181
LCS_520	-1536.51292492728	1996.73102208341	460.218097156136	0.782240663567048	6.56740320692503	8.31596521827793	11.0223982055691	8.91357289649574	5.48989708700172	7.41606391737138	19.8682
LCS_524	-129.243492455974	1304.92145980273	1175.67796734676	0.712625254396935	6.77287456785439	8.82297935190375	7.37572316717831	7.7646983046263	9.46987135114058	7.7683581034368	16.9495
LCS_525	-986.465069122892	1103.26123194575	116.796162822854	0.812638118520169	6.06283785777646	9.14068876202613	8.18317200124494	8.96597548534879	10.7982079006954	7.07950419788372	11.7181
LCS_527	-172.869873190638	2568.46854896596	2395.59867577532	0.576274704048085	7.26294830623214	7.6889242124756	11.5893626088899	9.19652576565483	8.06910725191607	7.98052338114878	13.616
LCS_528	-253.908643110841	4462.34285362128	4208.43421051044	0.34107459294862	6.71779076599705	6.47853980857876	5.91086592078026	5.52038271350357	5.88016905544164	6.00224437287449	11.7181
LCS_529	-1683.00775373879	386.884725608618	-1296.12302813017	0.915224593848394	8.59134782821972	7.18794642274656	11.5969461137792	8.92790073246765	5.16119998666076	7.19537468747318	11.7181
LCS_530	-1722.81588282704	881.415951816198	-841.399931010843	0.886310772109038	6.29949219817845	7.62480157454398	8.22892179526709	8.3564963816312	7.13425819810122	6.98292231651314	11.7181
LCS_536	968.628452432619	3163.35025632939	4131.97870876201	0.351602712982951	6.8597081060515	8.05117859690093	5.64444595000836	9.10616135841591	4.60464969716424	5.87054293961558	11.7181
LCS_537	-374.365567996126	3921.32548775548	3546.95991975935	0.430599181892479	7.90719554189119	7.92559920772548	9.44341528633896	8.57029471365067	6.2461951364671	6.20326186130667	18.7135
LCS_539	-1246.96105932859	571.711710387345	-675.249348941243	0.874753991438372	8.10114882358953	8.7993270882437	10.6347349634902	8.58063038116535	8.34779773838014	7.24617131156044	11.7181
