ID	StromalScore_mic	ImmuneScore_mic	ESTIMATEScore_mic	TumorPurity_mic	DPYD_RNA	DPYS_RNA	NADH_upmeta	Thymine_upmeta	meta
LCS_501	-470.672697732706	2080.42831690595	1609.75561917325	0.666508648918248	7.47969582331694	7.1808538151671	18.9258	16.1162	20.5988
LCS_502	673.077446092575	3014.57890163221	3687.65634772478	0.411868810235354	7.71987581946837	9.12768948179179	17.9132	15.1474	19.3799
LCS_503	55.3353111621776	2519.74071297875	2575.07602414093	0.55454645047659	7.99983768870087	8.02923442857822	17.3772	10.4605	12.8929
LCS_504	-382.683021806808	2128.26656484136	1745.58354303455	0.651513464005902	6.9984955649984	8.71826306263038	18.2417	16.7583	14.7091
LCS_505	-1042.7325046965	1740.562055554	697.829550857494	0.760040766057954	8.48950842667555	8.42602301622776	14.5684	14.5121	16.413
LCS_506	31.9338250645928	2258.86726124236	2290.80108630695	0.588777932623808	7.86232590065226	7.02155236750604	17.0481	14.4036	19.6032
LCS_507	-76.5914269340714	1839.28608248695	1762.69465555288	0.649605932443747	8.08936925171879	8.91557305037508	17.6766	14.1533	12.8929
LCS_508	-2357.11879390502	7.43541463960941	-2349.68337926541	0.966369167370311	7.6236536671893	5.58763746636625	17.5744	15.8156	21.2029
LCS_509	432.421691219434	3470.01141456103	3902.43310578047	0.38294037764497	7.49245113658663	5.39831337995877	15.615	15.5144	19.9118
LCS_510	-1933.48920743981	413.682760319663	-1519.80644712015	0.927959237567297	8.30128142388577	8.07606213167902	16.5449	15.0856	16.71
LCS_511	-747.168870623609	2837.62519011353	2090.45631948992	0.612290490488028	8.09746838845618	7.70342707615654	12.2883	17.6692	19.9041
LCS_512	-1438.32455062577	1483.71956840484	45.3950177790673	0.818701290036842	8.21704843620039	8.64884443931902	15.696	16.5523	12.8929
LCS_513	-1114.92092951233	1515.53941761458	400.618488102249	0.787660787287152	7.12759037497214	4.72759215375509	12.2883	17.944	20.2677
LCS_514	-1843.02128116645	-95.5286535184085	-1938.54993468486	0.949099890773949	7.5806735609722	9.35609773967616	12.2883	15.4665	12.8929
LCS_515	-337.529136913069	1886.7433412681	1549.21420435503	0.673107311739951	7.63306630245097	7.83159226729605	19.4148	13.0566	16.1172
LCS_516	-1496.26422088716	391.706039614699	-1104.55818127246	0.903533688588042	6.76777806785098	9.21256873191451	16.9873	10.4605	12.8929
LCS_517	-814.740814285405	1942.36460270668	1127.62378842127	0.717556039365337	5.69502414384916	7.91700838166656	19.0355	14.4508	12.8929
LCS_518	-170.056475920447	2055.63108749102	1885.57461157057	0.635787728125185	8.03721264622654	8.47735694457186	12.2883	18.7979	18.1687
LCS_519	-448.069378761734	1557.41726553608	1109.34788677435	0.719421950979402	8.47332575995938	8.19333699836148	17.1308	16.139	17.9135
LCS_520	-1536.51292492728	1996.73102208341	460.218097156136	0.782240663567048	7.99649310258446	7.81799688723224	16.7189	16.0773	19.8133
LCS_524	-129.243492455974	1304.92145980273	1175.67796734676	0.712625254396935	7.62587828278819	8.00809386101762	15.2434	15.8776	19.0395
LCS_525	-986.465069122892	1103.26123194575	116.796162822854	0.812638118520169	7.36280020840882	8.37499613004737	16.2879	10.4605	12.8929
LCS_527	-172.869873190638	2568.46854896596	2395.59867577532	0.576274704048085	7.5512785972962	8.77870331976388	17.6022	15.4864	12.8929
LCS_528	-253.908643110841	4462.34285362128	4208.43421051044	0.34107459294862	7.10906533642454	5.20680157448727	13.9643	15.2842	12.8929
LCS_529	-1683.00775373879	386.884725608618	-1296.12302813017	0.915224593848394	7.13132472192104	7.73798138078626	12.2883	16.3079	12.8929
LCS_530	-1722.81588282704	881.415951816198	-841.399931010843	0.886310772109038	8.53765375795795	7.37854211079705	12.2883	18.4514	18.6901
LCS_536	968.628452432619	3163.35025632939	4131.97870876201	0.351602712982951	7.79767636818333	7.93509379512147	13.6254	15.5892	19.3793
LCS_537	-374.365567996126	3921.32548775548	3546.95991975935	0.430599181892479	7.68315671826285	8.28374510325213	17.9416	16.1699	17.1992
LCS_539	-1246.96105932859	571.711710387345	-675.249348941243	0.874753991438372	8.3919590130315	8.78611713214587	19.1186	10.4605	12.8929
LCS_540	-1859.11538149709	558.007462080499	-1301.10791941659	0.915519192758418	7.78054220845249	7.87072873675498	13.2018	18.9987	19.2655
LCS_541	-684.751933731234	1991.14725788875	1306.39532415752	0.699033802923045	8.62000527107847	7.95128447054717	17.3613	15.0569	17.0495
LCS_542	-2140.00594716023	172.764791253783	-1967.24115590644	0.950418000052259	7.9076823169873	8.42020060597179	12.2883	15.8428	20.4969
LCS_543	-442.943505956796	1786.48705234122	1343.54354638442	0.695124102726048	8.21986926636237	9.37489846312785	17.47	10.4605	12.8929
LCS_544	-1768.41777608032	665.595646369296	-1102.82212971103	0.903424459292441	5.10064959880698	8.52907320484423	16.9959	15.8982	12.8929
LCS_545	-894.493605390053	1580.18230191996	685.68869652991	0.761197725217868	8.88844117088558	9.43699531414769	17.4977	14.3276	15.2162
LCS_546	-256.696376528105	834.987144963546	578.290768435441	0.771326480861476	8.85277778009213	6.45329207729973	16.8465	15.6928	21.2397
LCS_547	-658.284389976838	1388.69922242498	730.414832448137	0.756923637762204	7.2667799111676	4.76090212359631	16.1005	17.4201	20.9319
LCS_548	279.772042887333	3052.18030474733	3331.95234763466	0.458864839837542	8.46431191989352	8.67201531095928	14.2945	14.7898	13.9197
LCS_549	-679.27241256799	1344.65767212879	665.385259560799	0.763127131413909	7.29748936975698	8.3888885182315	15.6585	10.4605	12.8929
