ID	StromalScore_mic	ImmuneScore_mic	ESTIMATEScore_mic	TumorPurity_mic	NMRK2_RNA	NUDT12_RNA	NMRK1_RNA	NAMPT_RNA	NT5C1A_RNA	ACP3_RNA	NT5C1B_RNA	NT5C2_RNA	NT5E_RNA	NMNAT1_RNA	NT5M_RNA	NT5C_RNA	NT5C3A_RNA	NT5C3B_RNA	NMNAT2_RNA	NMNAT3_RNA	meta
LCS_501	-470.672697732706	2080.42831690595	1609.75561917325	0.666508648918248	5.0007344597482	4.87276313789224	4.66935256556249	7.58548070046156	5.04499035509862	3.05338005993246	3.43074912896522	8.70191748138418	8.26404509116052	6.01057258774123	5.64638461632453	6.21511926819011	5.91224831268033	7.48291397818862	4.75152945159336	5.25378772337323	20.4779
LCS_502	673.077446092575	3014.57890163221	3687.65634772478	0.411868810235354	5.491096738384	6.01281396400147	5.34323027519719	8.53712250513177	5.3580892422344	3.26538347879872	3.48066153312875	7.51129291589054	6.95685161591411	6.08514724810665	5.90905127032072	6.52470151632214	4.99347654242485	7.60975756518241	5.14372563206596	4.85605281758987	21.1617
LCS_503	55.3353111621776	2519.74071297875	2575.07602414093	0.55454645047659	5.47720793122294	5.93147493910503	6.27549214064207	8.83553325599067	5.16789437175708	3.31040606131885	3.55531107555376	7.73484806220596	6.74273214087494	6.05719500873449	5.8152262734731	5.82357494934636	5.16435193248062	7.17783922554371	5.32884491747931	4.73522895365476	20.4257
LCS_504	-382.683021806808	2128.26656484136	1745.58354303455	0.651513464005902	5.54116885745524	6.31340214907977	5.72993962445688	8.22876492375133	5.30511061544467	3.201521128485	3.51931746887489	7.69040795629327	7.15466669143547	5.7627380208748	5.87388143169857	6.00942867538096	5.39314524273254	7.11401730430041	5.07810731800266	5.06769502007872	18.6844
LCS_505	-1042.7325046965	1740.562055554	697.829550857494	0.760040766057954	5.35960354499802	5.65270543922064	5.00650828432125	6.08620367883799	5.33859660737629	3.13018163111307	3.492044015742	8.54693469018568	7.41643486557558	5.98889049306436	5.78254664154886	5.8221140864939	5.32157742619248	7.16327563681861	5.15486994146154	4.89355536564938	15.2343
LCS_506	31.9338250645928	2258.86726124236	2290.80108630695	0.588777932623808	5.47377330916205	5.82565212037574	4.6659305394641	6.99755521529539	5.19173693484406	3.11151256218495	3.5643239870048	7.57745893421165	8.07293903558713	6.01171798391197	5.91913691959645	6.44858442573132	5.77868482263051	8.13011116891147	5.21142662753122	4.93878849248336	18.9742
LCS_507	-76.5914269340714	1839.28608248695	1762.69465555288	0.649605932443747	5.02224343149335	6.49851323393672	6.1800099374963	9.58341839975453	4.66600477419736	3.14571580040507	3.26986305624149	7.94349050872492	9.51333610299274	5.53017094884901	5.4283939214161	5.91484165829678	4.80598241976188	7.44403283326376	4.63988988223443	5.38050746105739	21.2213
LCS_508	-2357.11879390502	7.43541463960941	-2349.68337926541	0.966369167370311	5.41226653834964	5.30374953410777	6.2274181544574	8.29514867367773	5.29740660091059	2.99409218885871	3.44372932202612	7.31338122609006	8.24816586428276	5.90880734557766	5.82298058088649	6.2580201976198	5.30104680681749	7.84914472775627	5.07763871614642	5.14998300513737	21.7595
LCS_509	432.421691219434	3470.01141456103	3902.43310578047	0.38294037764497	5.09376093329698	5.76220003508107	5.52598256793323	9.08942581855612	4.89087257930157	3.75118287436342	3.30626719722797	7.84590862389866	5.29691610978295	5.73821880084658	5.56736962330217	6.79786195419136	5.12755234279144	7.52108462265778	4.68349690207157	5.18227212308865	20.5816
LCS_510	-1933.48920743981	413.682760319663	-1519.80644712015	0.927959237567297	5.18998801146282	5.66020622095241	4.676061531563	6.28016640087472	5.2690950359059	3.02476812551221	3.44777259541181	7.89155896508338	9.19511389337643	5.56215822166284	5.68537813594126	6.03927619891729	4.98218519016039	7.50875814343222	5.02362111163385	5.05459747600922	21.9824
LCS_511	-747.168870623609	2837.62519011353	2090.45631948992	0.612290490488028	5.12083709805263	4.85839866282356	4.5037130887759	7.35005923428159	5.03393990183372	3.11505141532162	3.37409061409356	8.12646116813905	8.43843343521539	5.59919216780589	5.63345278788227	6.58566323593223	6.29808277611651	8.15307366740464	4.84195613309708	4.98313269642613	13.16
LCS_512	-1438.32455062577	1483.71956840484	45.3950177790673	0.818701290036842	5.56499935811047	6.02660018766521	6.09485778035251	8.20280788267472	5.5283653920506	3.20006618934397	3.61106786878408	7.73825269053701	8.27026742127245	6.00005692857883	6.07010350790499	6.25165527161596	4.91808512229121	7.87801223686683	5.19917768254035	5.18652045384463	21.1209
LCS_513	-1114.92092951233	1515.53941761458	400.618488102249	0.787660787287152	5.51426543460728	5.46922431049696	5.0173235267696	6.3606740458277	5.46332968937186	3.04653315570544	3.57970334363009	7.05178040739145	7.50295580584998	6.02154168823881	5.94812976236176	6.35714670828126	5.53518373936885	5.83575484368112	5.2296216492812	4.69762513170173	20.0921
LCS_514	-1843.02128116645	-95.5286535184085	-1938.54993468486	0.949099890773949	5.45622122428718	6.29153455828864	5.55547260684319	8.41167338721124	5.32820441954661	2.96627127806024	3.51642677073069	6.8117186653803	6.84741755952819	6.13818749739532	5.92373987741747	6.07313386870254	5.10085000685412	7.04456865854803	4.97806627261174	4.71711854364316	21.5582
LCS_515	-337.529136913069	1886.7433412681	1549.21420435503	0.673107311739951	5.21421467923379	4.00063507656983	6.34426105243588	7.90395890276056	4.96067954733059	3.12497779525954	3.45014273165337	7.87139129108264	7.78038996245321	5.60471354886793	5.73703436909221	5.83495895690267	5.14914980471592	7.81289719212914	5.00243570352887	4.50080439138412	20.3938
LCS_516	-1496.26422088716	391.706039614699	-1104.55818127246	0.903533688588042	5.16840059488161	6.8126527425568	6.19793834434608	7.37351120002916	5.13358051385735	3.02365110068506	3.41450109614496	7.66363790546053	7.87281159992586	5.65246491968835	5.69696806766148	5.95440669179502	5.12819757378161	7.78339525328473	4.96914451829015	5.26394300199527	20.1758
LCS_517	-814.740814285405	1942.36460270668	1127.62378842127	0.717556039365337	5.38821480932253	6.27259925188496	6.55205973432913	9.30847930798561	5.15768847266248	3.03035751253788	3.49171969527921	8.02348232896783	8.69423649854252	5.83812922239701	5.8890805051997	5.86412282024972	5.46155492063691	8.25502550758109	5.00179248519969	5.31422951284913	20.8515
LCS_518	-170.056475920447	2055.63108749102	1885.57461157057	0.635787728125185	5.26789650613658	5.67987305517344	5.28438718927039	7.93948786320557	5.03662332904587	3.08811421595796	3.39605694195902	7.74412499115383	6.92778436018974	5.74279362955753	5.74143605616956	6.52768689912644	5.42560241740603	7.67237139228314	4.74604024085699	5.0608898808016	22.2548
