ID	StromalScore_mic	ImmuneScore_mic	ESTIMATEScore_mic	TumorPurity_mic	TYMP_RNA	SLC29A2_RNA	DPYD_RNA	meta
LCS_501	-470.672697732706	2080.42831690595	1609.75561917325	0.666508648918248	7.41480098387151	5.7786354440439	7.47969582331694	16.1162
LCS_502	673.077446092575	3014.57890163221	3687.65634772478	0.411868810235354	7.6536389429818	6.17518611162015	7.71987581946837	15.1474
LCS_503	55.3353111621776	2519.74071297875	2575.07602414093	0.55454645047659	7.46589113577458	6.06262003633279	7.99983768870087	10.4605
LCS_504	-382.683021806808	2128.26656484136	1745.58354303455	0.651513464005902	7.72268831847648	6.06777129244177	6.9984955649984	16.7583
LCS_505	-1042.7325046965	1740.562055554	697.829550857494	0.760040766057954	7.23199370401687	6.21100390991586	8.48950842667555	14.5121
LCS_506	31.9338250645928	2258.86726124236	2290.80108630695	0.588777932623808	7.36930385901134	6.28397109701569	7.86232590065226	14.4036
LCS_507	-76.5914269340714	1839.28608248695	1762.69465555288	0.649605932443747	6.94844490351077	5.92214278721439	8.08936925171879	14.1533
LCS_508	-2357.11879390502	7.43541463960941	-2349.68337926541	0.966369167370311	7.33387495170713	6.32852381220667	7.6236536671893	15.8156
LCS_509	432.421691219434	3470.01141456103	3902.43310578047	0.38294037764497	7.27094779983731	6.36618636125785	7.49245113658663	15.5144
LCS_510	-1933.48920743981	413.682760319663	-1519.80644712015	0.927959237567297	7.06335823215864	5.90167278249279	8.30128142388577	15.0856
LCS_511	-747.168870623609	2837.62519011353	2090.45631948992	0.612290490488028	7.4003730375542	6.62029542775974	8.09746838845618	17.6692
LCS_512	-1438.32455062577	1483.71956840484	45.3950177790673	0.818701290036842	7.60440116604227	6.12019513168798	8.21704843620039	16.5523
LCS_513	-1114.92092951233	1515.53941761458	400.618488102249	0.787660787287152	7.58999655947588	6.32173911924588	7.12759037497214	17.944
LCS_514	-1843.02128116645	-95.5286535184085	-1938.54993468486	0.949099890773949	7.60035035608291	5.88441836184739	7.5806735609722	15.4665
LCS_515	-337.529136913069	1886.7433412681	1549.21420435503	0.673107311739951	7.37972834760208	5.93776581209711	7.63306630245097	13.0566
LCS_516	-1496.26422088716	391.706039614699	-1104.55818127246	0.903533688588042	6.93968094808954	5.72218159987755	6.76777806785098	10.4605
LCS_517	-814.740814285405	1942.36460270668	1127.62378842127	0.717556039365337	7.72635773409235	5.88307845647991	5.69502414384916	14.4508
LCS_518	-170.056475920447	2055.63108749102	1885.57461157057	0.635787728125185	7.45185298146547	6.50968838358049	8.03721264622654	18.7979
LCS_519	-448.069378761734	1557.41726553608	1109.34788677435	0.719421950979402	7.20410849648526	6.6322082265274	8.47332575995938	16.139
LCS_520	-1536.51292492728	1996.73102208341	460.218097156136	0.782240663567048	7.34264092611858	6.11054546141896	7.99649310258446	16.0773
LCS_524	-129.243492455974	1304.92145980273	1175.67796734676	0.712625254396935	7.49156353693277	5.84948763852358	7.62587828278819	15.8776
LCS_525	-986.465069122892	1103.26123194575	116.796162822854	0.812638118520169	7.68645632602805	6.04091993388721	7.36280020840882	10.4605
LCS_527	-172.869873190638	2568.46854896596	2395.59867577532	0.576274704048085	7.62765856384363	5.74169669147551	7.5512785972962	15.4864
LCS_528	-253.908643110841	4462.34285362128	4208.43421051044	0.34107459294862	7.833271165299	6.17380434494346	7.10906533642454	15.2842
LCS_529	-1683.00775373879	386.884725608618	-1296.12302813017	0.915224593848394	7.31578065172172	5.95992510998154	7.13132472192104	16.3079
LCS_530	-1722.81588282704	881.415951816198	-841.399931010843	0.886310772109038	7.39289615201623	6.22594177455142	8.53765375795795	18.4514
LCS_536	968.628452432619	3163.35025632939	4131.97870876201	0.351602712982951	7.30124197598418	5.40286252006191	7.79767636818333	15.5892
LCS_537	-374.365567996126	3921.32548775548	3546.95991975935	0.430599181892479	7.57623244417947	5.74630639036757	7.68315671826285	16.1699
LCS_539	-1246.96105932859	571.711710387345	-675.249348941243	0.874753991438372	7.46254125315543	5.83481140999127	8.3919590130315	10.4605
LCS_540	-1859.11538149709	558.007462080499	-1301.10791941659	0.915519192758418	7.54999917932687	5.82951841466439	7.78054220845249	18.9987
LCS_541	-684.751933731234	1991.14725788875	1306.39532415752	0.699033802923045	7.3263458472769	6.33993198225417	8.62000527107847	15.0569
LCS_542	-2140.00594716023	172.764791253783	-1967.24115590644	0.950418000052259	7.21871788089297	6.06531161082138	7.9076823169873	15.8428
LCS_543	-442.943505956796	1786.48705234122	1343.54354638442	0.695124102726048	7.40755238908054	6.0568988080453	8.21986926636237	10.4605
LCS_544	-1768.41777608032	665.595646369296	-1102.82212971103	0.903424459292441	7.28237997180723	5.63006070565718	5.10064959880698	15.8982
LCS_545	-894.493605390053	1580.18230191996	685.68869652991	0.761197725217868	7.12294508469852	5.80605737165687	8.88844117088558	14.3276
LCS_546	-256.696376528105	834.987144963546	578.290768435441	0.771326480861476	7.09310311067509	5.92086038205963	8.85277778009213	15.6928
LCS_547	-658.284389976838	1388.69922242498	730.414832448137	0.756923637762204	7.02254372526891	5.84374144499007	7.2667799111676	17.4201
LCS_548	279.772042887333	3052.18030474733	3331.95234763466	0.458864839837542	7.70929487017419	6.17791124918678	8.46431191989352	14.7898
LCS_549	-679.27241256799	1344.65767212879	665.385259560799	0.763127131413909	7.70650296806572	6.61121488372383	7.29748936975698	10.4605
LCS_550	-926.21720202217	1097.997848259	171.780646236826	0.807908126279973	7.21308892968917	6.40682632037978	8.07355571152058	15.2835
