ID	StromalScore_mic	ImmuneScore_mic	ESTIMATEScore_mic	TumorPurity_mic	NAA60_RNA	NAA30_RNA	NAA20_RNA	NAA10_RNA	NAA15_RNA	NAA11_RNA	SLC15A4_RNA	SLC15A3_RNA	SLC15A1_RNA	CARNS1_RNA	CNDP2_RNA	CNDP1_RNA	meta
LCS_546	-256.696376528105	834.987144963546	578.290768435441	0.771326480861476	7.34533391292514	7.03373327639505	6.54445733205838	6.19546893879728	6.77278555897915	3.63968234407701	7.56896940878186	6.2177426810188	8.77209377889899	6.18026648591654	7.11444032687231	4.51956418972016	14.5834
LCS_547	-658.284389976838	1388.69922242498	730.414832448137	0.756923637762204	7.19025264429131	7.27924684946425	7.06764581675182	6.05146665380647	6.63149985713744	3.72836887062238	7.45348583550588	6.21918810898404	8.41213665016593	6.0872311600988	8.06135084202814	5.37819828388928	12.0423
LCS_548	279.772042887333	3052.18030474733	3331.95234763466	0.458864839837542	7.55275900975617	7.11634400961411	6.76875432095982	6.11746989967238	6.56096141150574	3.66145865243185	6.47287670800572	6.78061878101376	4.92666726239421	6.2157125889275	7.71015037723285	4.97661367479733	12.8366
LCS_549	-679.27241256799	1344.65767212879	665.385259560799	0.763127131413909	7.86037883487903	7.6376399956256	7.75341401328657	6.0410627651115	6.29969609164022	3.78736847783368	6.60527758182829	6.35568454206695	8.13026369952127	6.70696143422026	8.13265380179683	4.52048861306973	16.9895
LCS_550	-926.21720202217	1097.997848259	171.780646236826	0.807908126279973	7.39917020766573	7.42085490930214	7.43944109729354	5.87878510418579	6.39552314264221	3.85851276748266	7.19048901776629	5.99682092992722	7.84476517617058	6.00882438180162	7.51833939542617	4.70413358904361	12.0423
LCS_551	885.332179694325	4283.1833521003	5168.51553179462	0.205653074782108	7.45903352731742	7.016797950541	6.56992327074938	5.95146729446099	6.80366403554444	3.58581562053895	7.06275308306315	7.15859554026632	8.16025516833781	5.81969027071439	8.48217557696854	5.67788394704165	15.3447
LCS_552	448.518530435538	1988.03634297334	2436.55487340888	0.571351062178	7.34272462488653	7.17933652864068	6.99569001746192	6.19002069994003	7.14476825174193	3.6814507987788	7.39712687900458	6.62882377112438	7.37336678904367	6.03792430084891	7.91963307145639	4.85020403635193	17.2044
LCS_553	-765.244071148196	1182.35506205567	417.110990907474	0.786166936955717	7.6310180393684	7.26940902787772	6.80616487888672	6.02945403510454	7.000297694158	3.76686531880616	7.01215824734928	5.8132583233741	8.95867979725337	6.00970519631652	7.48198289946687	4.96994335349729	12.384
LCS_557	-731.070028069615	2540.34282216622	1809.2727940966	0.644392717031367	6.51960260558435	7.18484066527504	6.69210820431807	6.11220106742974	7.24619682872963	4.04499315992458	7.27301083309491	6.27598439200087	9.87437977594651	5.89743573332036	7.08851791453523	4.68431389717083	14.1315
LCS_558	-735.535888804043	1261.00005828588	525.464169481838	0.776238406216948	7.8363090884504	7.22685106533974	7.72976440936858	6.04709206544592	6.41078288808198	4.66913749248616	7.21598999161624	6.68083912193486	6.50607457565131	5.96944932045665	8.3292524634445	6.4827668758408	12.0423
LCS_559	-732.541401862142	2120.11861844145	1387.57721657931	0.690462975667497	7.42198412569602	7.48201389429374	6.608259561804	5.9736952200695	7.04488525775251	3.5872326852015	7.27210579241963	6.35014805263191	7.43016928076027	6.1297183445961	7.84549486263829	4.3214871023711	15.1676
LCS_560	1050.79795802234	2769.14090380943	3819.93886183177	0.394098179795824	7.3915094013446	7.21169675986671	6.69414978571855	6.08612060815998	6.60664122836295	3.69739851257105	6.86977976721067	6.48445983635076	7.53894932441445	6.15824852665518	8.3310324654744	7.06483229766466	12.0423
LCS_562	367.888319374694	2390.97516011786	2758.86347949255	0.531897678495312	7.60521803467643	7.39716075133738	6.60611107845104	5.93712053926191	6.51439794656431	4.3176935208354	6.30976557064812	6.67627829397518	8.6216844197519	6.01295078121947	8.10323339720142	6.09562032931955	15.3243
LCS_563	-1069.90207138095	1396.7756889601	326.873617579149	0.79428382385009	7.35658036421924	7.46529211709698	6.22752176530913	5.93318556810105	6.64433494479355	4.05339397878215	7.21079389979225	6.38236608852299	8.51064846283728	5.94198434842999	8.51154171746521	4.55344440431092	12.0423
LCS_564	-1358.85888056846	682.042223387104	-676.816657181351	0.874865449130554	6.979495576187	7.3493427585088	6.54487596684534	6.23187702493329	6.33133646628955	3.63032974567377	6.57134710497999	6.02555923295891	8.72436850462116	6.09362407356003	7.66623806610728	5.31088243254542	12.3953
LCS_565	-308.672207292931	1711.5607977257	1402.88859043277	0.688835440953126	7.13995122876388	7.27789529808333	6.47645093392306	5.94605229717835	6.33901085948327	4.11148021685107	6.45128571267108	5.89391084732795	7.6878761924859	6.38394000777927	7.69675897764762	7.23859165840002	15.5737
LCS_566	1032.81237406442	2891.97260970668	3924.7849837711	0.379907425827753	7.68268960301548	7.08122628188647	6.18699369488995	6.3461028052713	6.08929247440924	4.44182590529638	6.85522731683976	6.67344896800399	7.68548820417047	6.23546260194202	8.26195556652919	5.28387145883223	14.5713
LCS_567	200.288120444856	2361.8775291651	2562.16564960996	0.556122460814873	7.26328889622595	7.05149177225661	6.15059373354828	6.35872358460092	6.6146730909259	3.83928981484498	6.73882995870912	6.69626762645781	6.63932426489992	6.46016957174292	7.75551323576126	5.78308385715204	14.6092
LCS_584	-1919.20859057219	1011.19536340005	-908.013227172137	0.890796460581212	7.64778623560232	6.8515996509718	6.85174083150495	6.06690537627821	6.67209500094396	3.55871695144006	6.70452283093518	6.21999507248553	9.72479050150818	5.94333337582943	8.60977667729078	4.67315107283745	12.0423
