ID	StromalScore_mic	ImmuneScore_mic	ESTIMATEScore_mic	TumorPurity_mic	GGT7_RNA	GGT1_RNA	GGTLC2_RNA	GGT5_RNA	GGT6_RNA	SLC15A1_RNA	GGTLC1_RNA	SLC15A2_RNA	LAP3_RNA	ANPEP_RNA	NPEPPS_RNA	Glutathione_upmeta	meta
LCS_501	-470.672697732706	2080.42831690595	1609.75561917325	0.666508648918248	5.86848252707134	6.0787517692329	6.39204849345183	6.54892693556461	5.33579453744603	7.45475516258854	5.87570035769168	4.3748645359049	6.74902037795096	9.82916979582354	7.74177362502864	29.5573	21.299
LCS_502	673.077446092575	3014.57890163221	3687.65634772478	0.411868810235354	5.88206034808084	7.55945463250499	7.11741093256984	7.06652423748376	5.54942689572036	6.88814302054373	6.69385684523567	4.0944131118637	7.33122758063289	8.85340019156207	7.83212955514925	27.9703	22.0038
LCS_503	55.3353111621776	2519.74071297875	2575.07602414093	0.55454645047659	5.69983698455311	6.38782657118219	7.05865906634597	6.76744926544171	5.64592795229261	7.20875338041674	6.39612025445779	4.48472453978989	7.13418900273597	8.62979537553058	7.41414945495082	24.7882	17.6922
LCS_504	-382.683021806808	2128.26656484136	1745.58354303455	0.651513464005902	5.77709073564676	6.19533919140727	6.81096605912736	7.07164953281282	5.64112603481889	5.75050465298637	6.28988127825876	4.23084388417345	8.34311385288034	8.68135924078001	7.92761741432912	28.4971	20.2619
LCS_505	-1042.7325046965	1740.562055554	697.829550857494	0.760040766057954	5.97864918196034	7.51840544593472	7.20862995535245	6.69808214014607	5.61395955951827	7.73724209040443	6.57064187215263	4.32742613366625	6.7791835423348	9.36540719515874	7.56112531684625	24.4621	21.4164
LCS_506	31.9338250645928	2258.86726124236	2290.80108630695	0.588777932623808	6.19012294750016	6.65321274370887	7.01329446918511	6.85607373525176	5.93512728652934	8.88016267869599	6.4397501226385	4.12008952628818	6.52857075758306	9.32153053386752	8.81564131616438	26.6379	20.3006
LCS_507	-76.5914269340714	1839.28608248695	1762.69465555288	0.649605932443747	6.26965772446937	6.1419704217352	6.482579209865	6.78730728720446	5.00173919229395	8.767957530838	5.9263591147244	4.3842565234468	7.25004615168765	10.5761293030243	7.62976563470684	31.4638	20.7037
LCS_508	-2357.11879390502	7.43541463960941	-2349.68337926541	0.966369167370311	6.18412065565074	7.34600095968301	7.2092227576974	6.74648142691508	5.51672648791597	8.46964608637652	6.63214199754967	4.2226490359969	5.77487772673148	9.31267178139011	8.40625295546553	30.0954	27.533
LCS_509	432.421691219434	3470.01141456103	3902.43310578047	0.38294037764497	5.92541532448271	6.55697371727166	6.81336592131861	6.39690096951133	5.2455549646424	6.19569117503814	6.14452482344977	4.44629184397782	7.32875239744871	10.1782710196276	8.49401588532213	27.4517	21.868
LCS_510	-1933.48920743981	413.682760319663	-1519.80644712015	0.927959237567297	6.2684116181657	6.20875515775911	6.7829506053063	6.58205404890145	5.44816085507692	5.06359752497786	6.3265246064533	4.10444436321866	7.02622357551957	10.3756575933135	7.44027706914363	29.8234	23.3211
LCS_511	-747.168870623609	2837.62519011353	2090.45631948992	0.612290490488028	5.87723393393069	7.26639386455098	7.19304821817515	6.5857739593421	5.15968355860052	8.27372455670767	6.4790345841812	4.10975761479005	8.26733077757285	10.4861510623284	8.10950367736104	18.6159	19.7311
LCS_512	-1438.32455062577	1483.71956840484	45.3950177790673	0.818701290036842	6.03060775047732	6.36537851139692	6.87152685320626	6.81343427958387	5.91221258738824	8.59118022811735	6.32686569064392	3.9931053621612	6.82035647936252	9.83780938674372	7.74433502453058	27.8181	21.758
LCS_513	-1114.92092951233	1515.53941761458	400.618488102249	0.787660787287152	5.95005851806295	6.56721304690037	7.09707569763153	6.92193971916418	5.68775671203253	7.66574967583741	6.64454802642215	3.9210027746044	6.64520035723677	10.6777878486454	7.10079558113287	24.6119	19.9128
LCS_514	-1843.02128116645	-95.5286535184085	-1938.54993468486	0.949099890773949	5.59181814803345	6.19166303464451	6.69485544858348	6.53945961986473	5.60675848537438	8.13654863756694	6.38800608042079	4.0452101252531	6.83601986288191	10.6648630715153	7.28133709572883	28.4527	21.1104
LCS_515	-337.529136913069	1886.7433412681	1549.21420435503	0.673107311739951	5.78669211060106	6.72933594518151	7.26309964711829	6.86747303110617	5.45034022983109	8.2256038043812	6.53649816061211	3.91501243612085	6.72702530901319	9.99176252394183	7.45633305699299	28.7081	21.7078
LCS_516	-1496.26422088716	391.706039614699	-1104.55818127246	0.903533688588042	5.95686383953321	6.01015638327282	6.49137272666897	6.51444522603707	5.30738800850356	6.43697182031527	6.19658616937704	4.05618659447556	7.68271524477388	9.32099241259744	7.86868919059641	28.6661	17.0204
LCS_517	-814.740814285405	1942.36460270668	1127.62378842127	0.717556039365337	5.86797520619658	5.96533743559312	6.73261420355226	6.68512478631629	5.51869548067921	8.27734882205739	6.14823461208337	4.04352593888696	7.38761817249765	8.88017337216752	7.20762088169354	30.1426	22.3897
LCS_518	-170.056475920447	2055.63108749102	1885.57461157057	0.635787728125185	6.14881968068481	6.21069114652213	6.72944681097399	6.60084790121551	5.31202221476448	7.36500815348564	6.17824026499929	4.16842696703172	7.38815301986804	10.2583394618696	7.31246940737465	29.5075	21.2143
LCS_519	-448.069378761734	1557.41726553608	1109.34788677435	0.719421950979402	5.80151247533211	6.92633275873975	6.84259613809845	6.35249593231683	5.09638516544972	6.98454834811837	6.26725246468844	4.36980425061456	6.98751496333691	9.85529206876702	7.81867860223739	29.7594	21.8431
LCS_520	-1536.51292492728	1996.73102208341	460.218097156136	0.782240663567048	6.18610538921668	5.80281223922134	6.80475663715557	6.51946138952733	5.27149371665288	6.42090144742814	6.24557128185824	4.41977476455781	7.42252821450303	10.1778145614492	7.66065909808075	26.8717	18.2108
LCS_524	-129.243492455974	1304.92145980273	1175.67796734676	0.712625254396935	5.8587512504917	7.2289955979121	7.60492309890906	6.88745845901105	5.42489550460351	7.84857193563118	6.90360416439648	3.97335158127036	6.88185617856353	9.67089266884097	7.42011282124834	30.2907	22.2177
LCS_525	-986.465069122892	1103.26123194575	116.796162822854	0.812638118520169	6.31399316872582	6.06745544096151	6.95580828649758	6.83479826254161	5.56932998370996	7.80578325229193	6.37574851841725	4.08361310930047	6.26891914092743	10.3455252519034	7.16932678384965	28.2822	22.5889
LCS_527	-172.869873190638	2568.46854896596	2395.59867577532	0.576274704048085	5.56102804465421	7.54148004842804	7.25753470354867	6.77212689269167	5.24624296746033	7.70489747412183	6.69780682497968	4.24359758356366	8.24427150185154	10.2574125506637	7.63526174264377	29.4535	21.8998
LCS_528	-253.908643110841	4462.34285362128	4208.43421051044	0.34107459294862	5.78766732962303	6.59547259250448	6.71395683400164	6.8509058042369	5.48209599903047	5.92664724404828	6.46695227399107	4.59552212206971	7.53407580964289	8.24313810357086	7.63726923011274	27.0252	20.111
LCS_529	-1683.00775373879	386.884725608618	-1296.12302813017	0.915224593848394	5.81828868259008	5.82967157610605	6.65978760603346	6.59132085578298	5.52117515454245	4.77010038831196	6.12380850569469	4.06613175864605	7.50612538525328	10.2244978737163	7.79376111006321	26.5797	20.3815
LCS_530	-1722.81588282704	881.415951816198	-841.399931010843	0.886310772109038	5.95431475424631	7.36806338341954	7.1002853326736	6.19856814581377	5.86229545022752	7.08977505806525	6.54353969009306	3.90649585362173	7.11113850193061	10.0378942145363	8.07131108688268	24.7491	20.199
LCS_536	968.628452432619	3163.35025632939	4131.97870876201	0.351602712982951	5.78469636016325	6.46530259239457	6.89476057348227	6.68465480519171	5.07700035422087	8.1353506225885	6.28758280354029	4.14842288360032	7.13626149334505	10.2867210569535	8.64244230893667	26.0497	21.7527
LCS_537	-374.365567996126	3921.32548775548	3546.95991975935	0.430599181892479	5.47596234398579	7.48119769251555	7.30310045843907	6.5920947890969	5.43963155063608	7.54492681516188	6.69868802519463	4.26834334430958	7.91619997352964	8.65331221036123	7.38085700380179	26.6884	21.1211
LCS_539	-1246.96105932859	571.711710387345	-675.249348941243	0.874753991438372	5.84652201066511	6.23233645034208	6.85161672252571	6.65499118744583	5.59031206868433	7.41348686600036	6.2360351443244	4.15075499992301	7.12582920606022	9.60510185650029	7.08873291778049	29.8821	23.3458
LCS_540	-1859.11538149709	558.007462080499	-1301.10791941659	0.915519192758418	6.06066524379956	7.349842862197	7.49786867641266	6.48858133212673	5.39508805789556	7.66364697010027	6.78259581495007	3.96897060592194	6.49222768668486	10.1292678330216	8.40460619634292	27.1057	22.7354
LCS_541	-684.751933731234	1991.14725788875	1306.39532415752	0.699033802923045	5.65686523607151	7.36883222647863	7.48073481915567	6.52833051397299	5.27836800709864	7.35425557862543	6.71281869023808	4.05312029486515	7.09424007827741	9.99956044322391	7.96556945673205	26.5946	24.2959
LCS_542	-2140.00594716023	172.764791253783	-1967.24115590644	0.950418000052259	6.12574783247574	6.27354516880136	6.83039048936043	6.39605522699998	5.49619061655248	8.06609470553921	6.31284408734234	3.77031500974077	7.06580137334599	8.96987935119617	7.83663095120921	16.4494	12.7908
