ID	StromalScore_mic	ImmuneScore_mic	ESTIMATEScore_mic	TumorPurity_mic	LYZL1_RNA	AMY1B_RNA	AMY2A_RNA	meta
LCS_501	-470.672697732706	2080.42831690595	1609.75561917325	0.666508648918248	3.68138103191864	5.0723277810165	4.52717444402405	14.1368
LCS_502	673.077446092575	3014.57890163221	3687.65634772478	0.411868810235354	3.96364299604151	5.68910761550684	5.58345796526451	17.202
LCS_503	55.3353111621776	2519.74071297875	2575.07602414093	0.55454645047659	3.9942343028169	5.62705520971459	5.65079054257789	11.2883
LCS_504	-382.683021806808	2128.26656484136	1745.58354303455	0.651513464005902	4.0846891136646	5.63994002101096	5.53990336603101	16.9947
LCS_505	-1042.7325046965	1740.562055554	697.829550857494	0.760040766057954	3.88878819421289	5.81894859068777	5.68185260055236	18.33
LCS_506	31.9338250645928	2258.86726124236	2290.80108630695	0.588777932623808	4.03030514434693	5.83930990348328	5.78395491662342	18.401
LCS_507	-76.5914269340714	1839.28608248695	1762.69465555288	0.649605932443747	3.68733749131546	6.93426854020782	7.36766893191791	15.7553
LCS_508	-2357.11879390502	7.43541463960941	-2349.68337926541	0.966369167370311	3.98089325497896	4.98568996495313	4.06666744502497	15.4181
LCS_509	432.421691219434	3470.01141456103	3902.43310578047	0.38294037764497	3.77352629041078	6.56047471243322	6.91174036415401	18.8729
LCS_510	-1933.48920743981	413.682760319663	-1519.80644712015	0.927959237567297	3.97479171033144	5.65536304092851	5.55100841832247	17.5062
LCS_511	-747.168870623609	2837.62519011353	2090.45631948992	0.612290490488028	3.70021676348466	5.14214833962879	4.89047286680472	16.0681
LCS_512	-1438.32455062577	1483.71956840484	45.3950177790673	0.818701290036842	4.09635504549591	6.1554789206748	6.31035017168777	19.3957
LCS_513	-1114.92092951233	1515.53941761458	400.618488102249	0.787660787287152	3.9988529816195	5.09330273235036	4.57266568303506	18.8425
LCS_514	-1843.02128116645	-95.5286535184085	-1938.54993468486	0.949099890773949	3.88973221315945	6.06289286103949	6.16700144843679	15.9629
LCS_515	-337.529136913069	1886.7433412681	1549.21420435503	0.673107311739951	3.82994828147355	5.14668364289111	5.02836381909091	16.3243
LCS_516	-1496.26422088716	391.706039614699	-1104.55818127246	0.903533688588042	3.77712848013269	6.06405303995759	6.12495119779696	17.9318
LCS_517	-814.740814285405	1942.36460270668	1127.62378842127	0.717556039365337	3.84222337356945	6.11340068151266	6.23709824520567	17.2926
LCS_518	-170.056475920447	2055.63108749102	1885.57461157057	0.635787728125185	3.79504282074511	5.75306721810086	5.87662959777433	16.6388
LCS_519	-448.069378761734	1557.41726553608	1109.34788677435	0.719421950979402	3.69935430241393	5.3797477663592	5.13458490367303	11.2883
LCS_520	-1536.51292492728	1996.73102208341	460.218097156136	0.782240663567048	3.77367515519649	4.89358021956137	4.07031490420031	16.1799
