ID	StromalScore_mic	ImmuneScore_mic	ESTIMATEScore_mic	TumorPurity_mic	SULT1A1_RNA	meta
LCS_501	-470.672697732706	2080.42831690595	1609.75561917325	0.666508648918248	6.82666153303995	22.0807
LCS_502	673.077446092575	3014.57890163221	3687.65634772478	0.411868810235354	6.70571172218194	21.6002
LCS_503	55.3353111621776	2519.74071297875	2575.07602414093	0.55454645047659	6.99194775064307	18.8468
LCS_504	-382.683021806808	2128.26656484136	1745.58354303455	0.651513464005902	6.32558539651979	24.2622
LCS_505	-1042.7325046965	1740.562055554	697.829550857494	0.760040766057954	6.37493471785857	14.5783
LCS_506	31.9338250645928	2258.86726124236	2290.80108630695	0.588777932623808	6.80281036966672	17.7069
LCS_507	-76.5914269340714	1839.28608248695	1762.69465555288	0.649605932443747	6.1880936415532	22.3369
LCS_508	-2357.11879390502	7.43541463960941	-2349.68337926541	0.966369167370311	6.65214392881868	22.5067
LCS_509	432.421691219434	3470.01141456103	3902.43310578047	0.38294037764497	6.09232690702246	23.0352
LCS_510	-1933.48920743981	413.682760319663	-1519.80644712015	0.927959237567297	6.83814575431929	20.1251
LCS_511	-747.168870623609	2837.62519011353	2090.45631948992	0.612290490488028	6.02823676168166	21.3288
LCS_512	-1438.32455062577	1483.71956840484	45.3950177790673	0.818701290036842	7.06295254304015	18.5139
LCS_513	-1114.92092951233	1515.53941761458	400.618488102249	0.787660787287152	7.09935944720789	22.8966
LCS_514	-1843.02128116645	-95.5286535184085	-1938.54993468486	0.949099890773949	6.85356106928609	19.4359
LCS_515	-337.529136913069	1886.7433412681	1549.21420435503	0.673107311739951	6.3880635229325	20.2743
LCS_516	-1496.26422088716	391.706039614699	-1104.55818127246	0.903533688588042	6.74169375775184	21.2173
LCS_517	-814.740814285405	1942.36460270668	1127.62378842127	0.717556039365337	8.30986543395496	22.3527
LCS_518	-170.056475920447	2055.63108749102	1885.57461157057	0.635787728125185	6.45912369045097	23.5919
LCS_519	-448.069378761734	1557.41726553608	1109.34788677435	0.719421950979402	6.59414248574419	20.7727
LCS_520	-1536.51292492728	1996.73102208341	460.218097156136	0.782240663567048	7.41606391737138	20.4288
LCS_524	-129.243492455974	1304.92145980273	1175.67796734676	0.712625254396935	7.7683581034368	20.219
LCS_525	-986.465069122892	1103.26123194575	116.796162822854	0.812638118520169	7.07950419788372	19.5456
LCS_527	-172.869873190638	2568.46854896596	2395.59867577532	0.576274704048085	7.98052338114878	20.4535
LCS_528	-253.908643110841	4462.34285362128	4208.43421051044	0.34107459294862	6.00224437287449	23.117
LCS_529	-1683.00775373879	386.884725608618	-1296.12302813017	0.915224593848394	7.19537468747318	21.1353
LCS_530	-1722.81588282704	881.415951816198	-841.399931010843	0.886310772109038	6.98292231651314	18.8951
LCS_536	968.628452432619	3163.35025632939	4131.97870876201	0.351602712982951	5.87054293961558	21.2885
LCS_537	-374.365567996126	3921.32548775548	3546.95991975935	0.430599181892479	6.20326186130667	20.4322
LCS_539	-1246.96105932859	571.711710387345	-675.249348941243	0.874753991438372	7.24617131156044	18.8565
LCS_540	-1859.11538149709	558.007462080499	-1301.10791941659	0.915519192758418	7.71382506096634	17.0063
LCS_541	-684.751933731234	1991.14725788875	1306.39532415752	0.699033802923045	6.12050228767845	17.5057
LCS_542	-2140.00594716023	172.764791253783	-1967.24115590644	0.950418000052259	6.05176643139913	22.8658
LCS_543	-442.943505956796	1786.48705234122	1343.54354638442	0.695124102726048	7.39489582815567	18.9483
LCS_544	-1768.41777608032	665.595646369296	-1102.82212971103	0.903424459292441	6.74129345025073	19.7017
LCS_545	-894.493605390053	1580.18230191996	685.68869652991	0.761197725217868	6.38062151371561	17.9185
LCS_546	-256.696376528105	834.987144963546	578.290768435441	0.771326480861476	6.34695568295855	20.5567
LCS_547	-658.284389976838	1388.69922242498	730.414832448137	0.756923637762204	6.26306454475374	20.5407
LCS_548	279.772042887333	3052.18030474733	3331.95234763466	0.458864839837542	6.77808568501639	20.6068
LCS_549	-679.27241256799	1344.65767212879	665.385259560799	0.763127131413909	7.63086561717926	21.1903
LCS_550	-926.21720202217	1097.997848259	171.780646236826	0.807908126279973	6.60025755763001	18.7932
LCS_551	885.332179694325	4283.1833521003	5168.51553179462	0.205653074782108	7.05592012944251	19.5796
LCS_552	448.518530435538	1988.03634297334	2436.55487340888	0.571351062178	6.45016606718088	17.5651
LCS_553	-765.244071148196	1182.35506205567	417.110990907474	0.786166936955717	6.67915649235793	21.445
LCS_557	-731.070028069615	2540.34282216622	1809.2727940966	0.644392717031367	5.79574353896222	20.2574
LCS_558	-735.535888804043	1261.00005828588	525.464169481838	0.776238406216948	7.32250893855009	16.4223
LCS_559	-732.541401862142	2120.11861844145	1387.57721657931	0.690462975667497	6.2557982525392	20.1563
LCS_560	1050.79795802234	2769.14090380943	3819.93886183177	0.394098179795824	6.90871373195781	17.3255
LCS_562	367.888319374694	2390.97516011786	2758.86347949255	0.531897678495312	7.1349835380751	16.3581
LCS_563	-1069.90207138095	1396.7756889601	326.873617579149	0.79428382385009	6.2896155511021	20.6802
LCS_564	-1358.85888056846	682.042223387104	-676.816657181351	0.874865449130554	6.22935336308523	20.4871
LCS_565	-308.672207292931	1711.5607977257	1402.88859043277	0.688835440953126	7.60462083148709	18.2782
LCS_566	1032.81237406442	2891.97260970668	3924.7849837711	0.379907425827753	6.69331031123507	20.6255
LCS_567	200.288120444856	2361.8775291651	2562.16564960996	0.556122460814873	6.38073439572489	20.498
