ID	StromalScore_mic	ImmuneScore_mic	ESTIMATEScore_mic	TumorPurity_mic	SLCO1A2_RNA	SLC27A2_RNA	SLCO1B3_RNA	SLC27A5_RNA	SLC7A9_RNA	ACOT8_RNA	ABCC3_RNA	SLC10A2_RNA	SLCO1B1_RNA	SLC10A1_RNA	ABCB11_RNA	CYP3A4_RNA	CYP7A1_RNA	SULT2A1_RNA	meta
LCS_501	-470.672697732706	2080.42831690595	1609.75561917325	0.666508648918248	3.26327741532742	7.9601432450869	10.1726502198871	6.44436053823793	6.39254358045881	5.54588691538435	8.21951065692241	3.23776748763301	8.61493609408568	7.88151082013435	5.59776049183288	6.32377553672757	3.8266807843919	6.20113211946226	11.7603
LCS_502	673.077446092575	3014.57890163221	3687.65634772478	0.411868810235354	3.09415481524961	9.47660896268518	5.7456639846149	7.47977800936343	6.48701884476944	5.77199850813232	8.70065828573848	3.47902556335984	9.65650182064599	8.39069216692309	6.87423544483866	9.36139263702459	7.79996021380228	8.73393726825711	11.7603
LCS_503	55.3353111621776	2519.74071297875	2575.07602414093	0.55454645047659	3.53344216141025	10.0695044207269	10.7693832251347	8.64152654765991	6.28832157557416	5.81817604939084	8.78968516312116	3.24612151375654	10.1380875739065	9.62059921008727	8.46112051003053	10.9153353135036	10.104827604221	10.0503140210933	11.7603
LCS_504	-382.683021806808	2128.26656484136	1745.58354303455	0.651513464005902	3.11870155068163	9.29707904629526	10.6020352649821	8.29393588109591	6.11283856199526	5.69377669585169	8.05501709979477	3.32786679890711	9.55148017295857	8.72454226845305	8.81366229238157	11.7338953981021	8.00013575850856	10.0707962469543	15.6033
LCS_505	-1042.7325046965	1740.562055554	697.829550857494	0.760040766057954	3.32462995885054	8.8280206493549	10.6015939815432	6.61388809217413	7.36521619552453	5.55602712599259	6.83566839108335	3.24835169709893	10.5968324502081	5.1994160375586	8.39661458313386	7.46384251313887	5.69838108860121	6.55059600538633	11.7603
LCS_506	31.9338250645928	2258.86726124236	2290.80108630695	0.588777932623808	3.15597314887293	9.41492060747662	8.39365779875081	7.25232677233005	7.0369326889572	5.8784094402875	8.95566735010655	3.0602178448656	9.10496559616081	5.90521931373222	5.98945996432249	8.21133329498285	7.38671991162444	8.18058525914609	11.7603
LCS_507	-76.5914269340714	1839.28608248695	1762.69465555288	0.649605932443747	3.40532251022338	10.2537378653406	10.3196661411092	8.64488710253718	6.81566569967007	6.14206821172726	8.93253466563499	2.98474301010122	10.6783699168535	10.9418234570012	9.97145415990742	11.3743462699579	7.24710611995731	9.7085333201285	14.4253
LCS_508	-2357.11879390502	7.43541463960941	-2349.68337926541	0.966369167370311	4.4722660328046	7.47861118046362	3.78453098280226	6.37844928584382	7.41309664579319	5.53471316977687	9.32397509536583	3.16468991671819	7.21638206010858	5.04764629386574	5.43580117869149	5.24512173407776	3.59374957039399	4.84772772607191	11.7603
LCS_509	432.421691219434	3470.01141456103	3902.43310578047	0.38294037764497	3.17611734004158	6.36410494817525	5.75319345508659	6.1729289095565	4.98841075485041	5.88988195857938	7.0994910499806	3.23174000026996	5.56600362065387	4.74255837201606	3.58840785905313	8.71718359595215	5.9953391581693	6.39525116416677	16.2102
LCS_510	-1933.48920743981	413.682760319663	-1519.80644712015	0.927959237567297	3.51975012315592	8.38800760196802	9.31549137236877	7.79391009058525	6.57254867837626	5.64117956164053	6.89153451173182	3.03829086278443	9.02289196807952	7.31976385867752	6.43823476028101	7.97727480229309	5.70595177977743	8.55258362525113	17.8962
LCS_511	-747.168870623609	2837.62519011353	2090.45631948992	0.612290490488028	3.73461780685269	8.08372054107329	10.2877970227773	6.1186243964569	6.5098227061267	5.78513589444323	6.97769342341351	3.0633208079684	7.91481810607126	4.91447843906019	4.81238685805912	5.98717980309659	7.81940920712286	6.56152841564146	13.8108
LCS_512	-1438.32455062577	1483.71956840484	45.3950177790673	0.818701290036842	3.10137440505288	9.73496464160345	9.67101503064689	7.38357380363575	6.54417458717437	6.04590694270447	8.47680780528185	3.31399024360825	9.15760189582467	9.96912446859107	7.83987798136998	9.23853142579359	7.59351207464324	9.86137784632435	17.9392
LCS_513	-1114.92092951233	1515.53941761458	400.618488102249	0.787660787287152	3.05944594257748	7.33196502105834	6.37530585776127	6.69859561206728	6.75555966504555	5.80143634100077	8.59417998949942	3.30764120011173	8.52263482768116	8.76631143931566	5.86448579944197	5.76705037072036	3.71665884298169	7.27895638845079	18.17
LCS_514	-1843.02128116645	-95.5286535184085	-1938.54993468486	0.949099890773949	3.12956976751526	10.8805625216392	4.64595860855815	9.22445615557889	6.24227780845097	5.64906990092528	9.29342570905576	3.07717613990381	11.0296386073074	11.1655655233271	10.0311089645132	6.34623960543739	10.8767772588205	9.8527407207684	21.6228
LCS_515	-337.529136913069	1886.7433412681	1549.21420435503	0.673107311739951	2.93509877915464	9.53156186773737	9.66466366098125	7.23029043735558	6.64072258865752	5.75002830308798	7.91686235052166	3.17018865970657	10.5244310617397	8.25018393189529	7.92964241686065	8.80912272934234	9.62343615577713	8.71102830867054	11.7603
