ID	StromalScore_mic	ImmuneScore_mic	ESTIMATEScore_mic	TumorPurity_mic	QTRT1_RNA	QTRT2_RNA	PNP_RNA	SLC29A2_RNA	HPRT1_RNA	GDA_RNA	meta
LCS_501	-470.672697732706	2080.42831690595	1609.75561917325	0.666508648918248	6.87102915744956	5.58428224303509	7.11047749765409	5.7786354440439	6.26451484804672	5.36371390601279	22.8248
LCS_502	673.077446092575	3014.57890163221	3687.65634772478	0.411868810235354	6.89702169883069	5.06748066596123	6.81859076189113	6.17518611162015	5.6602349157265	6.44394123757039	21.2236
LCS_503	55.3353111621776	2519.74071297875	2575.07602414093	0.55454645047659	6.77150660049563	4.8718965041885	6.68565577649683	6.06262003633279	5.4548969709176	7.35741230970316	16.7683
LCS_504	-382.683021806808	2128.26656484136	1745.58354303455	0.651513464005902	7.28628196164569	5.24103154155179	6.11992836673424	6.06777129244177	6.36862702917258	6.74736862272708	18.8794
LCS_505	-1042.7325046965	1740.562055554	697.829550857494	0.760040766057954	6.66275181439959	5.22956439595893	6.90270315648777	6.21100390991586	5.13853953810594	5.05811486780843	17.2746
LCS_506	31.9338250645928	2258.86726124236	2290.80108630695	0.588777932623808	6.66175953852528	5.17364445960642	7.50549186066404	6.28397109701569	5.84283097166817	8.15362214904648	20.28
LCS_507	-76.5914269340714	1839.28608248695	1762.69465555288	0.649605932443747	6.99327865950577	5.58421721588461	6.29073973616331	5.92214278721439	6.743355626738	8.78492930244843	17.8502
LCS_508	-2357.11879390502	7.43541463960941	-2349.68337926541	0.966369167370311	6.74172953239649	5.37806579488642	6.5951402655157	6.32852381220667	7.0049529914201	7.73655644825073	19.6752
LCS_509	432.421691219434	3470.01141456103	3902.43310578047	0.38294037764497	7.18215011072636	5.51453154726373	7.06963110435736	6.36618636125785	5.96699749419068	7.30714008375782	15.4725
LCS_510	-1933.48920743981	413.682760319663	-1519.80644712015	0.927959237567297	7.29967422500652	5.28289654824509	5.84856271289608	5.90167278249279	6.36607279198396	4.99694242524931	21.226
LCS_511	-747.168870623609	2837.62519011353	2090.45631948992	0.612290490488028	6.91711873589698	5.39634575043799	6.82674410695997	6.62029542775974	6.12996785555433	4.58315356130728	24.1817
LCS_512	-1438.32455062577	1483.71956840484	45.3950177790673	0.818701290036842	7.06159083936108	4.93102970140675	6.94449025596329	6.12019513168798	5.76372712556903	8.53580109348976	17.2142
LCS_513	-1114.92092951233	1515.53941761458	400.618488102249	0.787660787287152	6.96607436354462	4.88687104515148	6.16949544616655	6.32173911924588	6.31011615958096	7.07686936454149	20.8374
LCS_514	-1843.02128116645	-95.5286535184085	-1938.54993468486	0.949099890773949	7.03356737804979	5.17224950876991	6.52147131136828	5.88441836184739	5.6434554184995	8.11454171709723	15.6996
LCS_515	-337.529136913069	1886.7433412681	1549.21420435503	0.673107311739951	7.12741721351063	5.33753093748685	6.7123864050508	5.93776581209711	6.16160822120342	7.49886424086561	19.6681
LCS_516	-1496.26422088716	391.706039614699	-1104.55818127246	0.903533688588042	7.33343042907447	5.29232328710876	5.97841260474767	5.72218159987755	5.28947670163024	7.37950011279376	16.1614
LCS_517	-814.740814285405	1942.36460270668	1127.62378842127	0.717556039365337	7.25359905434093	5.14392062567244	5.54894178273525	5.88307845647991	6.28806957809878	8.20196115763688	17.7733
LCS_518	-170.056475920447	2055.63108749102	1885.57461157057	0.635787728125185	7.12811712571323	5.27234457364211	6.59080279901497	6.50968838358049	5.87247112348609	9.52419468357234	18.7256
LCS_519	-448.069378761734	1557.41726553608	1109.34788677435	0.719421950979402	6.6162278268978	5.47595021348064	7.14675924098681	6.6322082265274	6.10704572260848	7.30112828163744	20.674
LCS_520	-1536.51292492728	1996.73102208341	460.218097156136	0.782240663567048	7.35625097927716	5.40455033761129	6.47499052330987	6.11054546141896	6.04957129325777	7.40342290047909	19.9645
LCS_524	-129.243492455974	1304.92145980273	1175.67796734676	0.712625254396935	7.33189710236553	5.75169073614486	8.04805747993846	5.84948763852358	6.32975813438939	8.34464275474545	19.4888
LCS_525	-986.465069122892	1103.26123194575	116.796162822854	0.812638118520169	7.13501655464965	5.05375624289663	6.1595526339087	6.04091993388721	5.35822952690404	8.77307296678374	18.5931
LCS_527	-172.869873190638	2568.46854896596	2395.59867577532	0.576274704048085	7.1477050895399	5.15930949749912	6.21650982995808	5.74169669147551	5.94826359529955	8.62274250095311	18.81
LCS_528	-253.908643110841	4462.34285362128	4208.43421051044	0.34107459294862	6.81360500562373	4.96449070898855	6.47249092555931	6.17380434494346	6.51482381282069	5.27950867022255	25.0773
LCS_529	-1683.00775373879	386.884725608618	-1296.12302813017	0.915224593848394	7.1874561614393	5.28369413204868	6.13546260863088	5.95992510998154	6.69688200092201	6.5147494700615	13.4475
LCS_530	-1722.81588282704	881.415951816198	-841.399931010843	0.886310772109038	6.69635476352799	5.2818971902622	6.96377164022103	6.22594177455142	7.34896221285659	7.93197702878873	21.0119
LCS_536	968.628452432619	3163.35025632939	4131.97870876201	0.351602712982951	6.85403231471619	5.45446448913379	7.10263793782918	5.40286252006191	6.25570870863757	8.0924786707022	18.9336
LCS_537	-374.365567996126	3921.32548775548	3546.95991975935	0.430599181892479	6.7933210059468	5.40264823448056	6.45139194120324	5.74630639036757	6.87544954722556	8.80029692193503	20.9884
LCS_539	-1246.96105932859	571.711710387345	-675.249348941243	0.874753991438372	7.16785103635741	5.08501757436448	5.60074409824302	5.83481140999127	6.30529138706932	8.15567961915078	19.036
