ID	StromalScore_mic	ImmuneScore_mic	ESTIMATEScore_mic	TumorPurity_mic	URAD_RNA	meta
LCS_501	-470.672697732706	2080.42831690595	1609.75561917325	0.666508648918248	4.34822009930972	12.7682
LCS_502	673.077446092575	3014.57890163221	3687.65634772478	0.411868810235354	4.49791888536623	12.7682
LCS_503	55.3353111621776	2519.74071297875	2575.07602414093	0.55454645047659	4.82374357120236	17.7036
LCS_504	-382.683021806808	2128.26656484136	1745.58354303455	0.651513464005902	4.64589420226573	17.032
LCS_505	-1042.7325046965	1740.562055554	697.829550857494	0.760040766057954	4.45300025859093	12.7682
LCS_506	31.9338250645928	2258.86726124236	2290.80108630695	0.588777932623808	4.62613292811331	16.2455
LCS_507	-76.5914269340714	1839.28608248695	1762.69465555288	0.649605932443747	4.5245384283483	16.5487
LCS_508	-2357.11879390502	7.43541463960941	-2349.68337926541	0.966369167370311	4.65391486550047	12.7682
LCS_509	432.421691219434	3470.01141456103	3902.43310578047	0.38294037764497	4.39225280082142	12.7682
LCS_510	-1933.48920743981	413.682760319663	-1519.80644712015	0.927959237567297	4.45061202924624	16.8612
LCS_511	-747.168870623609	2837.62519011353	2090.45631948992	0.612290490488028	4.45443681760305	12.7682
LCS_512	-1438.32455062577	1483.71956840484	45.3950177790673	0.818701290036842	4.75804399339394	12.7682
LCS_513	-1114.92092951233	1515.53941761458	400.618488102249	0.787660787287152	5.0225747320422	12.7682
LCS_514	-1843.02128116645	-95.5286535184085	-1938.54993468486	0.949099890773949	4.8869696164621	12.7682
LCS_515	-337.529136913069	1886.7433412681	1549.21420435503	0.673107311739951	4.52958454376108	15.9003
LCS_516	-1496.26422088716	391.706039614699	-1104.55818127246	0.903533688588042	4.36420685862513	12.7682
LCS_517	-814.740814285405	1942.36460270668	1127.62378842127	0.717556039365337	4.70296097258016	12.7682
LCS_518	-170.056475920447	2055.63108749102	1885.57461157057	0.635787728125185	4.36545084511357	12.7682
LCS_519	-448.069378761734	1557.41726553608	1109.34788677435	0.719421950979402	4.32145417893977	15.726
LCS_520	-1536.51292492728	1996.73102208341	460.218097156136	0.782240663567048	4.81072925149813	12.7682
LCS_524	-129.243492455974	1304.92145980273	1175.67796734676	0.712625254396935	4.36214899687698	12.7682
LCS_525	-986.465069122892	1103.26123194575	116.796162822854	0.812638118520169	5.0384573711038	17.3575
LCS_527	-172.869873190638	2568.46854896596	2395.59867577532	0.576274704048085	4.4001044694903	17.901
LCS_528	-253.908643110841	4462.34285362128	4208.43421051044	0.34107459294862	4.91910127772473	12.7682
LCS_529	-1683.00775373879	386.884725608618	-1296.12302813017	0.915224593848394	4.67938157111485	17.4512
LCS_530	-1722.81588282704	881.415951816198	-841.399931010843	0.886310772109038	4.48981245322392	12.7682
LCS_536	968.628452432619	3163.35025632939	4131.97870876201	0.351602712982951	4.29812310252072	12.7682
LCS_537	-374.365567996126	3921.32548775548	3546.95991975935	0.430599181892479	4.5326126526374	12.7682
LCS_539	-1246.96105932859	571.711710387345	-675.249348941243	0.874753991438372	4.5441503634777	18.0471
LCS_540	-1859.11538149709	558.007462080499	-1301.10791941659	0.915519192758418	4.40140926299446	12.7682
LCS_541	-684.751933731234	1991.14725788875	1306.39532415752	0.699033802923045	4.2179308677969	12.7682
LCS_542	-2140.00594716023	172.764791253783	-1967.24115590644	0.950418000052259	4.40958591840458	17.4515
LCS_543	-442.943505956796	1786.48705234122	1343.54354638442	0.695124102726048	4.64340707990443	18.3792
LCS_544	-1768.41777608032	665.595646369296	-1102.82212971103	0.903424459292441	4.64867056546677	12.7682
LCS_545	-894.493605390053	1580.18230191996	685.68869652991	0.761197725217868	4.52572606888223	16.0537
LCS_546	-256.696376528105	834.987144963546	578.290768435441	0.771326480861476	4.59197802882474	12.7682
LCS_547	-658.284389976838	1388.69922242498	730.414832448137	0.756923637762204	4.45475615240902	17.2175
LCS_548	279.772042887333	3052.18030474733	3331.95234763466	0.458864839837542	4.58164437172289	12.7682
LCS_549	-679.27241256799	1344.65767212879	665.385259560799	0.763127131413909	4.80824939871346	12.7682
LCS_550	-926.21720202217	1097.997848259	171.780646236826	0.807908126279973	4.60688081541564	12.7682
LCS_551	885.332179694325	4283.1833521003	5168.51553179462	0.205653074782108	4.18817455938566	12.7682
LCS_552	448.518530435538	1988.03634297334	2436.55487340888	0.571351062178	4.4658388621191	15.7047
LCS_553	-765.244071148196	1182.35506205567	417.110990907474	0.786166936955717	4.44539981179446	16.6638
LCS_557	-731.070028069615	2540.34282216622	1809.2727940966	0.644392717031367	4.39137504175066	12.7682
LCS_558	-735.535888804043	1261.00005828588	525.464169481838	0.776238406216948	4.53586475447336	17.1224
LCS_559	-732.541401862142	2120.11861844145	1387.57721657931	0.690462975667497	4.49282993063246	12.7682
LCS_560	1050.79795802234	2769.14090380943	3819.93886183177	0.394098179795824	4.47455587241835	12.7682
LCS_562	367.888319374694	2390.97516011786	2758.86347949255	0.531897678495312	4.42163672396326	16.3249
LCS_563	-1069.90207138095	1396.7756889601	326.873617579149	0.79428382385009	4.44633636738359	16.7368
LCS_564	-1358.85888056846	682.042223387104	-676.816657181351	0.874865449130554	4.41745172014305	16.4661
LCS_565	-308.672207292931	1711.5607977257	1402.88859043277	0.688835440953126	4.9646373721697	12.7682
LCS_566	1032.81237406442	2891.97260970668	3924.7849837711	0.379907425827753	4.58524133128242	16.2819
LCS_567	200.288120444856	2361.8775291651	2562.16564960996	0.556122460814873	4.31981916445544	12.7682
