ID	StromalScore_mic	ImmuneScore_mic	ESTIMATEScore_mic	TumorPurity_mic	LYZL1_RNA	AMY1B_RNA	AMY2A_RNA	GANC_RNA	GAA_RNA	MGAM_RNA	Maltotetraose_upmeta	meta
LCS_549	-679.27241256799	1344.65767212879	665.385259560799	0.763127131413909	3.81860554833548	5.02015747357905	4.42182875732098	6.8960236098099	7.51213862810611	3.7502704394133	19.443	21.1684
LCS_550	-926.21720202217	1097.997848259	171.780646236826	0.807908126279973	3.9582125298266	6.76259578210134	7.2301801455659	8.23341041987292	6.99965914793527	3.99149884056122	19.6389	21.8932
LCS_551	885.332179694325	4283.1833521003	5168.51553179462	0.205653074782108	3.64138617675455	5.92171776742746	6.2344534072661	7.14149255929128	6.80229412943728	3.74879678048916	18.3607	19.8909
LCS_552	448.518530435538	1988.03634297334	2436.55487340888	0.571351062178	3.74163614542159	5.48634182691685	5.4497751549325	6.47135713649801	7.41196964603059	3.74403001672268	18.8682	20.4887
LCS_553	-765.244071148196	1182.35506205567	417.110990907474	0.786166936955717	3.74538747654227	6.68596702630813	7.12392490486435	6.48372729252409	7.0694558982769	3.75837276970656	16.8675	18.8642
LCS_557	-731.070028069615	2540.34282216622	1809.2727940966	0.644392717031367	4.0468911767676	7.04666180171124	7.58465316862364	6.67358130217095	7.40069644799879	3.85610108459147	11.2883	13.6609
LCS_558	-735.535888804043	1261.00005828588	525.464169481838	0.776238406216948	3.77180635170845	5.54339955882093	5.69435296336413	8.11186875617776	7.47318414148806	3.71742683077428	16.3498	19.156
LCS_559	-732.541401862142	2120.11861844145	1387.57721657931	0.690462975667497	3.67112356647611	5.24622825708218	4.93060629010595	7.08623307382024	7.47467710908521	4.31267780469579	17.9805	19.7862
LCS_560	1050.79795802234	2769.14090380943	3819.93886183177	0.394098179795824	3.77535885717521	5.90896055738306	6.07398130797623	7.33276729089627	7.64634458611619	4.26101930383051	19.8551	22.0629
LCS_562	367.888319374694	2390.97516011786	2758.86347949255	0.531897678495312	3.79544824880751	5.95951691901865	6.29691064077041	7.98956571974551	7.46967657022432	4.06804168157587	21.6966	22.9996
LCS_563	-1069.90207138095	1396.7756889601	326.873617579149	0.79428382385009	3.660162055047	6.0142891717758	6.21512304386395	7.71802008980606	8.04960530109717	3.7934987170857	15.8224	17.6188
LCS_564	-1358.85888056846	682.042223387104	-676.816657181351	0.874865449130554	3.81509473127286	7.58924964502997	7.8267332967473	7.02504039213787	7.32266598148664	4.11194476004329	18.22	20.1808
LCS_565	-308.672207292931	1711.5607977257	1402.88859043277	0.688835440953126	4.10836353288962	6.27347698381656	6.63978873356959	7.52630228769866	7.55727532417402	4.07181722596843	15.9105	17.0173
LCS_566	1032.81237406442	2891.97260970668	3924.7849837711	0.379907425827753	3.87529394278708	5.38311610777309	5.386312245896	7.25082045859718	7.53168088503035	3.80587625012885	17.9318	20.348
LCS_567	200.288120444856	2361.8775291651	2562.16564960996	0.556122460814873	3.88749453176004	5.43231784125763	5.36752653046861	6.69099305994195	7.40893015293339	4.17018024677776	13.3636	19.4026
LCS_584	-1919.20859057219	1011.19536340005	-908.013227172137	0.890796460581212	3.55171861969836	4.85274778913797	3.71890441765354	6.44840877755606	7.28525949135188	3.82591660025369	14.3362	13.6609
