ID	StromalScore_mic	ImmuneScore_mic	ESTIMATEScore_mic	TumorPurity_mic	DPYS_RNA	DPYSL2_RNA	UPB1_RNA	meta
LCS_501	-470.672697732706	2080.42831690595	1609.75561917325	0.666508648918248	7.1808538151671	8.80667941491003	6.79458950985026	20.5784
LCS_502	673.077446092575	3014.57890163221	3687.65634772478	0.411868810235354	9.12768948179179	8.3111739392092	7.86931052366799	20.067
LCS_503	55.3353111621776	2519.74071297875	2575.07602414093	0.55454645047659	8.02923442857822	7.44773955763952	7.31979150428016	21.1946
LCS_504	-382.683021806808	2128.26656484136	1745.58354303455	0.651513464005902	8.71826306263038	8.28837107842217	7.87733492859529	21.3344
LCS_505	-1042.7325046965	1740.562055554	697.829550857494	0.760040766057954	8.42602301622776	7.03309273087414	7.03072127939496	18.5071
LCS_506	31.9338250645928	2258.86726124236	2290.80108630695	0.588777932623808	7.02155236750604	7.80590942215509	7.2475087374975	20.3831
LCS_507	-76.5914269340714	1839.28608248695	1762.69465555288	0.649605932443747	8.91557305037508	7.40108370052054	8.56820567497301	16.243
LCS_508	-2357.11879390502	7.43541463960941	-2349.68337926541	0.966369167370311	5.58763746636625	6.87506516914423	6.89752839503848	21.745
LCS_509	432.421691219434	3470.01141456103	3902.43310578047	0.38294037764497	5.39831337995877	8.19388107126616	5.95542846596731	21.0878
LCS_510	-1933.48920743981	413.682760319663	-1519.80644712015	0.927959237567297	8.07606213167902	6.31395902477398	8.23929243701905	18.4279
LCS_511	-747.168870623609	2837.62519011353	2090.45631948992	0.612290490488028	7.70342707615654	7.19911209541637	5.50599283937685	23.3866
LCS_512	-1438.32455062577	1483.71956840484	45.3950177790673	0.818701290036842	8.64884443931902	8.92638753365965	7.73006802258407	15.6044
LCS_513	-1114.92092951233	1515.53941761458	400.618488102249	0.787660787287152	4.72759215375509	7.18203094057378	8.60345316885131	13.7304
LCS_514	-1843.02128116645	-95.5286535184085	-1938.54993468486	0.949099890773949	9.35609773967616	7.48254184796938	9.35757291873866	13.7304
LCS_515	-337.529136913069	1886.7433412681	1549.21420435503	0.673107311739951	7.83159226729605	7.14036050812685	8.14104676686341	17.8262
LCS_516	-1496.26422088716	391.706039614699	-1104.55818127246	0.903533688588042	9.21256873191451	7.50805650733827	7.40068803208883	17.0076
LCS_517	-814.740814285405	1942.36460270668	1127.62378842127	0.717556039365337	7.91700838166656	6.84970913749805	7.62950037524915	13.7304
LCS_518	-170.056475920447	2055.63108749102	1885.57461157057	0.635787728125185	8.47735694457186	8.38036784437823	7.2773002423985	21.1572
LCS_519	-448.069378761734	1557.41726553608	1109.34788677435	0.719421950979402	8.19333699836148	7.15536822502076	8.0669257810525	18.8574
LCS_520	-1536.51292492728	1996.73102208341	460.218097156136	0.782240663567048	7.81799688723224	6.96149090297527	7.29148787186944	17.8507
LCS_524	-129.243492455974	1304.92145980273	1175.67796734676	0.712625254396935	8.00809386101762	7.63857658815259	8.3169128028198	16.0514
LCS_525	-986.465069122892	1103.26123194575	116.796162822854	0.812638118520169	8.37499613004737	7.55985327768321	8.57031724245985	16.9625
LCS_527	-172.869873190638	2568.46854896596	2395.59867577532	0.576274704048085	8.77870331976388	7.26035907782062	8.73523132138005	13.7304
LCS_528	-253.908643110841	4462.34285362128	4208.43421051044	0.34107459294862	5.20680157448727	7.28908750876715	5.58959290918856	19.3653
LCS_529	-1683.00775373879	386.884725608618	-1296.12302813017	0.915224593848394	7.73798138078626	7.60872601023887	7.28637048865735	18.0349
LCS_530	-1722.81588282704	881.415951816198	-841.399931010843	0.886310772109038	7.37854211079705	6.64430542785667	7.89854993125526	19.366
LCS_536	968.628452432619	3163.35025632939	4131.97870876201	0.351602712982951	7.93509379512147	9.20594121606496	7.38566165446722	21.8639
LCS_537	-374.365567996126	3921.32548775548	3546.95991975935	0.430599181892479	8.28374510325213	7.34075349691976	7.35754154373134	17.3548
LCS_539	-1246.96105932859	571.711710387345	-675.249348941243	0.874753991438372	8.78611713214587	6.11082416171135	8.70198404289133	17.3548
LCS_540	-1859.11538149709	558.007462080499	-1301.10791941659	0.915519192758418	7.87072873675498	7.41128544741186	9.04510501920712	13.7304
LCS_541	-684.751933731234	1991.14725788875	1306.39532415752	0.699033802923045	7.95128447054717	6.93198997539402	7.38869177130368	19.3305
LCS_542	-2140.00594716023	172.764791253783	-1967.24115590644	0.950418000052259	8.42020060597179	7.40528637285684	7.61957468169469	19.1266
LCS_543	-442.943505956796	1786.48705234122	1343.54354638442	0.695124102726048	9.37489846312785	7.2626367365716	9.00790889063109	13.7304
LCS_544	-1768.41777608032	665.595646369296	-1102.82212971103	0.903424459292441	8.52907320484423	6.63336280638099	8.28211256074823	13.7304
LCS_545	-894.493605390053	1580.18230191996	685.68869652991	0.761197725217868	9.43699531414769	7.31291098689597	8.98491197772419	17.9239
LCS_546	-256.696376528105	834.987144963546	578.290768435441	0.771326480861476	6.45329207729973	7.33132828822727	5.53757794501593	21.7346
LCS_547	-658.284389976838	1388.69922242498	730.414832448137	0.756923637762204	4.76090212359631	7.08982810154004	7.59065679415554	16.3149
LCS_548	279.772042887333	3052.18030474733	3331.95234763466	0.458864839837542	8.67201531095928	8.24539666819586	8.64173226807684	16.7676
LCS_549	-679.27241256799	1344.65767212879	665.385259560799	0.763127131413909	8.3888885182315	7.10619854546191	9.29974762047817	13.7304
LCS_550	-926.21720202217	1097.997848259	171.780646236826	0.807908126279973	7.61630799773425	6.8204915279136	8.00010478087854	18.1466
