ID	StromalScore_mic	ImmuneScore_mic	ESTIMATEScore_mic	TumorPurity_mic	ABCC3_RNA	SLC10A2_RNA	SLC51B_RNA	ABCC4_RNA	BAAT_RNA	SLC10A1_RNA	SLC51A_RNA	ABCB11_RNA	SULT2A1_RNA	meta
LCS_501	-470.672697732706	2080.42831690595	1609.75561917325	0.666508648918248	8.21951065692241	3.23776748763301	5.41405358780549	6.83633456822081	9.03762233766838	7.88151082013435	5.72745880901503	5.59776049183288	6.20113211946226	21.5584
LCS_502	673.077446092575	3014.57890163221	3687.65634772478	0.411868810235354	8.70065828573848	3.47902556335984	5.25692083164458	6.17522041392318	10.4043239491836	8.39069216692309	6.13186647968455	6.87423544483866	8.73393726825711	23.0267
LCS_503	55.3353111621776	2519.74071297875	2575.07602414093	0.55454645047659	8.78968516312116	3.24612151375654	5.27129646067949	4.13181066610796	11.5748738655826	9.62059921008727	5.99461574767391	8.46112051003053	10.0503140210933	26.119
LCS_504	-382.683021806808	2128.26656484136	1745.58354303455	0.651513464005902	8.05501709979477	3.32786679890711	5.50196970934703	4.55039377845002	11.7988236024917	8.72454226845305	6.07210877648353	8.81366229238157	10.0707962469543	25.4054
LCS_505	-1042.7325046965	1740.562055554	697.829550857494	0.760040766057954	6.83566839108335	3.24835169709893	5.44238605594186	5.28240167587916	8.6879705862026	5.1994160375586	5.86024889907178	8.39661458313386	6.55059600538633	20.7711
LCS_506	31.9338250645928	2258.86726124236	2290.80108630695	0.588777932623808	8.95566735010655	3.0602178448656	5.31116148238432	7.50099781880523	9.75499670730138	5.90521931373222	5.92952651354353	5.98945996432249	8.18058525914609	20.9979
LCS_507	-76.5914269340714	1839.28608248695	1762.69465555288	0.649605932443747	8.93253466563499	2.98474301010122	5.3519009483601	6.60108260439134	11.1604925438088	10.9418234570012	6.86813628474116	9.97145415990742	9.7085333201285	26.7417
LCS_508	-2357.11879390502	7.43541463960941	-2349.68337926541	0.966369167370311	9.32397509536583	3.16468991671819	5.5479138954902	7.04100291346569	9.67723379457423	5.04764629386574	5.9685806837981	5.43580117869149	4.84772772607191	17.5397
LCS_509	432.421691219434	3470.01141456103	3902.43310578047	0.38294037764497	7.0994910499806	3.23174000026996	5.1033082162509	8.50560793765288	10.1637635828096	4.74255837201606	5.52262817352408	3.58840785905313	6.39525116416677	20.0542
LCS_510	-1933.48920743981	413.682760319663	-1519.80644712015	0.927959237567297	6.89153451173182	3.03829086278443	5.39394765544736	3.81793245597055	9.29276467529	7.31976385867752	5.82607833278192	6.43823476028101	8.55258362525113	22.9196
LCS_511	-747.168870623609	2837.62519011353	2090.45631948992	0.612290490488028	6.97769342341351	3.0633208079684	4.87347644968477	7.89933160751469	10.1699794917332	4.91447843906019	7.02714567480784	4.81238685805912	6.56152841564146	21.2045
LCS_512	-1438.32455062577	1483.71956840484	45.3950177790673	0.818701290036842	8.47680780528185	3.31399024360825	5.77756483580176	6.7916008837566	10.6772090397436	9.96912446859107	7.21262640571355	7.83987798136998	9.86137784632435	25.2497
LCS_513	-1114.92092951233	1515.53941761458	400.618488102249	0.787660787287152	8.59417998949942	3.30764120011173	5.92667090685903	6.57783186779615	10.4416894666188	8.76631143931566	6.65156142316533	5.86448579944197	7.27895638845079	22.4892
LCS_514	-1843.02128116645	-95.5286535184085	-1938.54993468486	0.949099890773949	9.29342570905576	3.07717613990381	8.04947307615179	7.7832257248333	11.8255679369252	11.1655655233271	6.69161986232624	10.0311089645132	9.8527407207684	25.8186
LCS_515	-337.529136913069	1886.7433412681	1549.21420435503	0.673107311739951	7.91686235052166	3.17018865970657	5.20143629123347	7.13728535898138	10.377466090092	8.25018393189529	6.48680121377	7.92964241686065	8.71102830867054	24.1947
LCS_516	-1496.26422088716	391.706039614699	-1104.55818127246	0.903533688588042	8.5286419129955	3.15518908997555	5.18036799242747	4.68654487476315	11.4536273808459	10.702324897025	7.0074876953053	10.6753449087937	9.11729961194166	29.3284
LCS_517	-814.740814285405	1942.36460270668	1127.62378842127	0.717556039365337	9.36429572937423	2.98921650347206	7.29927236536663	6.93681780278246	12.0411647295165	11.1364489883453	6.10241291459806	9.28310649411615	9.73546553844584	24.0547
LCS_518	-170.056475920447	2055.63108749102	1885.57461157057	0.635787728125185	8.12877143895036	3.07416789874873	6.19679696565689	8.06321141663149	8.39961187538218	8.64661262043103	5.72224983757265	7.71201344942243	7.63207045372916	17.2987
LCS_519	-448.069378761734	1557.41726553608	1109.34788677435	0.719421950979402	9.42360430179768	3.05179471127339	5.6127320133349	6.53606436269603	8.68444936532441	8.587601872115	7.64244617943181	8.9195209203424	8.78241472346257	21.7493
LCS_520	-1536.51292492728	1996.73102208341	460.218097156136	0.782240663567048	8.31596521827793	3.12442380409481	5.18139041815632	4.63795170821578	9.51090514467912	8.86753651921744	6.08282311050708	7.7902533324527	8.59089341550121	22.7834
LCS_524	-129.243492455974	1304.92145980273	1175.67796734676	0.712625254396935	8.82297935190375	3.07671508994144	7.03488462672894	7.19831721829409	10.2896351907018	9.47914393962727	7.33353634769383	8.77441991673501	8.77603694888943	23.7145
LCS_525	-986.465069122892	1103.26123194575	116.796162822854	0.812638118520169	9.14068876202613	3.45599130358721	7.54676600509513	6.15997334394687	11.3998886169577	11.0177538969715	6.42854397855705	9.56148830034127	9.4700706963204	22.9542
LCS_527	-172.869873190638	2568.46854896596	2395.59867577532	0.576274704048085	7.6889242124756	3.09740492701643	5.4810150287657	4.77901670254378	11.166250222642	9.88331526767371	7.70764349265927	10.0147422241252	9.97972321526685	26.4753
LCS_528	-253.908643110841	4462.34285362128	4208.43421051044	0.34107459294862	6.47853980857876	3.38203302320897	5.43707507781868	5.67496086779734	5.7376271055155	5.32151345180415	6.47765969925426	5.33407467055419	3.76292083550707	18.4536
LCS_529	-1683.00775373879	386.884725608618	-1296.12302813017	0.915224593848394	7.18794642274656	3.18845821069807	4.94876778789819	5.94865852973156	10.5698012648368	7.53979866869155	6.30658731093819	9.38968964454956	8.6376242891116	27.1618
LCS_530	-1722.81588282704	881.415951816198	-841.399931010843	0.886310772109038	7.62480157454398	3.02311573890338	5.61283216090722	6.34782207004611	9.30219020390413	9.33782536266979	6.80625142296285	8.34525446640096	8.37991827466955	24.7467
LCS_536	968.628452432619	3163.35025632939	4131.97870876201	0.351602712982951	8.05117859690093	3.00679569522934	5.10775878102382	8.22140772941198	10.6420885657195	4.5761995189102	5.43337188647446	3.57226983744763	6.77958001232024	18.5136
LCS_537	-374.365567996126	3921.32548775548	3546.95991975935	0.430599181892479	7.92559920772548	3.1064448923012	5.38178432474549	5.27344962349261	11.3311578479209	9.40853160756176	5.74916094022024	8.72214236126754	8.90356115131628	22.2373
LCS_539	-1246.96105932859	571.711710387345	-675.249348941243	0.874753991438372	8.7993270882437	3.10857297610176	5.530242104071	4.1725277123452	10.5185284548021	10.0474739066271	7.37823471100584	9.52576401289065	8.32549563250935	28.231
LCS_540	-1859.11538149709	558.007462080499	-1301.10791941659	0.915519192758418	9.44708900698298	3.11740452565225	5.24891145478855	8.24290439748479	10.3228930975467	8.73928578016055	5.87738380169093	7.14271836991087	7.98853110574515	21.1012
LCS_541	-684.751933731234	1991.14725788875	1306.39532415752	0.699033802923045	7.55420401784208	3.06180836877748	5.51605986522014	7.06559974864979	8.8540341918325	5.64370756959056	5.50485523498049	7.51506204370739	7.70378934512011	19.0386
LCS_542	-2140.00594716023	172.764791253783	-1967.24115590644	0.950418000052259	6.69298147675521	2.93666502481406	5.5653242145093	7.61243198077925	11.1548001333436	10.8613702129259	5.8306061512739	8.75925029360887	8.53597533979016	28.2926
LCS_543	-442.943505956796	1786.48705234122	1343.54354638442	0.695124102726048	8.75549782452894	3.16784535810604	5.4358839095389	5.19539045070744	11.1372498713781	10.6454754330494	7.61880031027742	9.27877053260623	10.0747200175554	26.0266
LCS_544	-1768.41777608032	665.595646369296	-1102.82212971103	0.903424459292441	8.95194838259633	3.14686725070044	5.48449844273746	5.44657023298855	11.4805434862587	9.73967210550957	7.00629385164339	10.1729684728815	9.7989685054011	23.9192
LCS_545	-894.493605390053	1580.18230191996	685.68869652991	0.761197725217868	7.48393068900129	3.12806137899273	5.14440631671737	5.39134820863567	10.7217862087597	7.26909113066837	6.08669999691484	8.93339170708126	9.45157710611334	21.096
LCS_546	-256.696376528105	834.987144963546	578.290768435441	0.771326480861476	8.3977795912852	2.99051001678383	5.01603283529743	6.81940842467076	7.53212723498214	4.77272535184203	6.00983038885932	4.41019367459602	4.34901223781253	16.3993
LCS_547	-658.284389976838	1388.69922242498	730.414832448137	0.756923637762204	8.02880137686324	3.21693043225482	5.17003428996181	6.70213495680311	10.7381756223338	7.26245345442984	6.27096580937383	4.03663716892672	8.94568457796052	23.9351
LCS_548	279.772042887333	3052.18030474733	3331.95234763466	0.458864839837542	8.35328435761667	3.01980993753475	5.49565130287263	5.95712069560982	10.9855937829632	9.76178736949348	6.97654023865389	8.71652372690244	9.93688846839149	24.8477
