ID	StromalScore_mic	ImmuneScore_mic	ESTIMATEScore_mic	TumorPurity_mic	SLCO1B3_RNA	SLCO1A2_RNA	SLC7A9_RNA	ABCC3_RNA	SLC10A2_RNA	SLC51B_RNA	ABCC4_RNA	ABCC1_RNA	BAAT_RNA	SLC10A1_RNA	SLC51A_RNA	ABCB11_RNA	CYP3A4_RNA	SULT2A1_RNA	meta
LCS_501	-470.672697732706	2080.42831690595	1609.75561917325	0.666508648918248	10.1726502198871	3.26327741532742	6.39254358045881	8.21951065692241	3.23776748763301	5.41405358780549	6.83633456822081	6.52079351889231	9.03762233766838	7.88151082013435	5.72745880901503	5.59776049183288	6.32377553672757	6.20113211946226	22.2691
LCS_502	673.077446092575	3014.57890163221	3687.65634772478	0.411868810235354	5.7456639846149	3.09415481524961	6.48701884476944	8.70065828573848	3.47902556335984	5.25692083164458	6.17522041392318	6.8780423119598	10.4043239491836	8.39069216692309	6.13186647968455	6.87423544483866	9.36139263702459	8.73393726825711	22.7676
LCS_503	55.3353111621776	2519.74071297875	2575.07602414093	0.55454645047659	10.7693832251347	3.53344216141025	6.28832157557416	8.78968516312116	3.24612151375654	5.27129646067949	4.13181066610796	6.46713517959454	11.5748738655826	9.62059921008727	5.99461574767391	8.46112051003053	10.9153353135036	10.0503140210933	24.2867
LCS_504	-382.683021806808	2128.26656484136	1745.58354303455	0.651513464005902	10.6020352649821	3.11870155068163	6.11283856199526	8.05501709979477	3.32786679890711	5.50196970934703	4.55039377845002	6.1627338408153	11.7988236024917	8.72454226845305	6.07210877648353	8.81366229238157	11.7338953981021	10.0707962469543	24.2122
LCS_505	-1042.7325046965	1740.562055554	697.829550857494	0.760040766057954	10.6015939815432	3.32462995885054	7.36521619552453	6.83566839108335	3.24835169709893	5.44238605594186	5.28240167587916	5.98820168744651	8.6879705862026	5.1994160375586	5.86024889907178	8.39661458313386	7.46384251313887	6.55059600538633	21.7477
LCS_506	31.9338250645928	2258.86726124236	2290.80108630695	0.588777932623808	8.39365779875081	3.15597314887293	7.0369326889572	8.95566735010655	3.0602178448656	5.31116148238432	7.50099781880523	6.89137695928145	9.75499670730138	5.90521931373222	5.92952651354353	5.98945996432249	8.21133329498285	8.18058525914609	19.6131
LCS_507	-76.5914269340714	1839.28608248695	1762.69465555288	0.649605932443747	10.3196661411092	3.40532251022338	6.81566569967007	8.93253466563499	2.98474301010122	5.3519009483601	6.60108260439134	6.42230418002993	11.1604925438088	10.9418234570012	6.86813628474116	9.97145415990742	11.3743462699579	9.7085333201285	25.0565
LCS_508	-2357.11879390502	7.43541463960941	-2349.68337926541	0.966369167370311	3.78453098280226	4.4722660328046	7.41309664579319	9.32397509536583	3.16468991671819	5.5479138954902	7.04100291346569	7.10548557879642	9.67723379457423	5.04764629386574	5.9685806837981	5.43580117869149	5.24512173407776	4.84772772607191	17.1207
LCS_509	432.421691219434	3470.01141456103	3902.43310578047	0.38294037764497	5.75319345508659	3.17611734004158	4.98841075485041	7.0994910499806	3.23174000026996	5.1033082162509	8.50560793765288	7.26262784200459	10.1637635828096	4.74255837201606	5.52262817352408	3.58840785905313	8.71718359595215	6.39525116416677	18.206
LCS_510	-1933.48920743981	413.682760319663	-1519.80644712015	0.927959237567297	9.31549137236877	3.51975012315592	6.57254867837626	6.89153451173182	3.03829086278443	5.39394765544736	3.81793245597055	5.62828417371544	9.29276467529	7.31976385867752	5.82607833278192	6.43823476028101	7.97727480229309	8.55258362525113	23.8522
LCS_511	-747.168870623609	2837.62519011353	2090.45631948992	0.612290490488028	10.2877970227773	3.73461780685269	6.5098227061267	6.97769342341351	3.0633208079684	4.87347644968477	7.89933160751469	6.35421911672522	10.1699794917332	4.91447843906019	7.02714567480784	4.81238685805912	5.98717980309659	6.56152841564146	21.4742
LCS_512	-1438.32455062577	1483.71956840484	45.3950177790673	0.818701290036842	9.67101503064689	3.10137440505288	6.54417458717437	8.47680780528185	3.31399024360825	5.77756483580176	6.7916008837566	6.70886883047444	10.6772090397436	9.96912446859107	7.21262640571355	7.83987798136998	9.23853142579359	9.86137784632435	24.2088
LCS_513	-1114.92092951233	1515.53941761458	400.618488102249	0.787660787287152	6.37530585776127	3.05944594257748	6.75555966504555	8.59417998949942	3.30764120011173	5.92667090685903	6.57783186779615	6.1506754038832	10.4416894666188	8.76631143931566	6.65156142316533	5.86448579944197	5.76705037072036	7.27895638845079	22.2063
LCS_514	-1843.02128116645	-95.5286535184085	-1938.54993468486	0.949099890773949	4.64595860855815	3.12956976751526	6.24227780845097	9.29342570905576	3.07717613990381	8.04947307615179	7.7832257248333	5.70474987259709	11.8255679369252	11.1655655233271	6.69161986232624	10.0311089645132	6.34623960543739	9.8527407207684	20.9675
LCS_515	-337.529136913069	1886.7433412681	1549.21420435503	0.673107311739951	9.66466366098125	2.93509877915464	6.64072258865752	7.91686235052166	3.17018865970657	5.20143629123347	7.13728535898138	5.91276023263554	10.377466090092	8.25018393189529	6.48680121377	7.92964241686065	8.80912272934234	8.71102830867054	25.0669
LCS_516	-1496.26422088716	391.706039614699	-1104.55818127246	0.903533688588042	11.5631269790842	3.00438315136364	6.64036031974502	8.5286419129955	3.15518908997555	5.18036799242747	4.68654487476315	5.63436107723103	11.4536273808459	10.702324897025	7.0074876953053	10.6753449087937	12.1271357450101	9.11729961194166	27.8013
