ID	StromalScore_mic	ImmuneScore_mic	ESTIMATEScore_mic	TumorPurity_mic	SLCO1B3_RNA	ACOT7_RNA	SLCO1A2_RNA	SLC7A9_RNA	ABCC2_RNA	SLC10A2_RNA	ABCC1_RNA	BAAT_RNA	ACOT4_RNA	ACOT6_RNA	SLC10A1_RNA	ACOT1_RNA	STS_RNA	CYP3A4_RNA	SLC27A2_RNA	UGT2B7_RNA	UGT2A3_RNA	SULT2A1_RNA	SLC27A5_RNA	meta
LCS_501	-470.672697732706	2080.42831690595	1609.75561917325	0.666508648918248	10.1726502198871	6.27129732425995	3.26327741532742	6.39254358045881	8.6415109911521	3.23776748763301	6.52079351889231	9.03762233766838	4.47949434788309	3.32829897531244	7.88151082013435	7.4825398426012	6.06857270394899	6.32377553672757	7.9601432450869	8.04990419345032	6.65997238827114	6.20113211946226	6.44436053823793	14.1667
LCS_502	673.077446092575	3014.57890163221	3687.65634772478	0.411868810235354	5.7456639846149	6.42771005809537	3.09415481524961	6.48701884476944	9.3865740499193	3.47902556335984	6.8780423119598	10.4043239491836	4.28324440888469	3.58227226138786	8.39069216692309	8.03006754099602	6.42823216252009	9.36139263702459	9.47660896268518	9.19730756436	7.13065701047238	8.73393726825711	7.47977800936343	14.2338
LCS_503	55.3353111621776	2519.74071297875	2575.07602414093	0.55454645047659	10.7693832251347	6.41503016115327	3.53344216141025	6.28832157557416	9.62128005692123	3.24612151375654	6.46713517959454	11.5748738655826	4.32328924786036	3.7610582212509	9.62059921008727	6.89392261948441	7.57456143644735	10.9153353135036	10.0695044207269	10.5209439924542	5.33939079273089	10.0503140210933	8.64152654765991	17.6545
LCS_504	-382.683021806808	2128.26656484136	1745.58354303455	0.651513464005902	10.6020352649821	6.27383949179459	3.11870155068163	6.11283856199526	9.7259709990598	3.32786679890711	6.1627338408153	11.7988236024917	4.20782879907635	3.37620342872861	8.72454226845305	7.48965166678307	5.84916261693315	11.7338953981021	9.29707904629526	9.42823682350603	5.91748703354175	10.0707962469543	8.29393588109591	10.6935
LCS_505	-1042.7325046965	1740.562055554	697.829550857494	0.760040766057954	10.6015939815432	6.36598564244567	3.32462995885054	7.36521619552453	9.21179587262516	3.24835169709893	5.98820168744651	8.6879705862026	4.08862139385431	3.04304414827546	5.1994160375586	7.77056344923459	5.62021793931962	7.46384251313887	8.8280206493549	7.25974971406516	6.95561102201765	6.55059600538633	6.61388809217413	13.74
LCS_506	31.9338250645928	2258.86726124236	2290.80108630695	0.588777932623808	8.39365779875081	6.42709255715489	3.15597314887293	7.0369326889572	9.25478433554925	3.0602178448656	6.89137695928145	9.75499670730138	4.37151542398504	3.23969923233391	5.90521931373222	7.66354772277933	5.8036390604734	8.21133329498285	9.41492060747662	9.11905705331878	6.55640630863091	8.18058525914609	7.25232677233005	13.265
LCS_507	-76.5914269340714	1839.28608248695	1762.69465555288	0.649605932443747	10.3196661411092	6.03477798163174	3.40532251022338	6.81566569967007	10.3669587649328	2.98474301010122	6.42230418002993	11.1604925438088	4.78991394682808	3.04606510753132	10.9418234570012	7.54183899126234	6.9957643366484	11.3743462699579	10.2537378653406	9.93347279131521	6.99605139652151	9.7085333201285	8.64488710253718	15.8982
LCS_508	-2357.11879390502	7.43541463960941	-2349.68337926541	0.966369167370311	3.78453098280226	6.44220637222901	4.4722660328046	7.41309664579319	10.5599061871062	3.16468991671819	7.10548557879642	9.67723379457423	3.64035789278291	3.06184685187842	5.04764629386574	7.18038157196109	5.37517574618197	5.24512173407776	7.47861118046362	9.2206822139736	7.44910599553734	4.84772772607191	6.37844928584382	15.0436
LCS_509	432.421691219434	3470.01141456103	3902.43310578047	0.38294037764497	5.75319345508659	6.48005757076136	3.17611734004158	4.98841075485041	9.2028955105384	3.23174000026996	7.26262784200459	10.1637635828096	3.98732762686715	3.22803161742841	4.74255837201606	6.82849967961629	7.32623709310787	8.71718359595215	6.36410494817525	7.66517315825496	6.55229087708085	6.39525116416677	6.1729289095565	17.8936
LCS_510	-1933.48920743981	413.682760319663	-1519.80644712015	0.927959237567297	9.31549137236877	6.55934094827715	3.51975012315592	6.57254867837626	9.64626813880999	3.03829086278443	5.62828417371544	9.29276467529	4.2162754857622	3.23365944787186	7.31976385867752	7.69260861742107	5.28643784904812	7.97727480229309	8.38800760196802	8.68943995809568	5.87764532098925	8.55258362525113	7.79391009058525	18.1769
